AgencyCd,SiteNo,LithologyDescription
TWDB,663204,Surface
TWDB,663204,Caliche
TWDB,663204,Caliche and Sand Mixed
TWDB,663204,Caliche
TWDB,663204,Sand and Clay
TWDB,663204,Sandy Caliche
TWDB,663204,Clay and Sand
TWDB,663204,"Good Water Sand, Light Gravel"
TWDB,663204,Red Bed
TWDB,1112701,Top Soil
TWDB,1112701,Caliche
TWDB,1112701,Sand
TWDB,1112701,Clay
TWDB,1112701,Sandstone
TWDB,1112701,Sand and Gravel
TWDB,1112701,Clay
TWDB,1112701,Red and Blue Clay
TWDB,654902,Top Soil
TWDB,654902,Caliche
TWDB,654902,Rock
TWDB,654902,Caliche
TWDB,654902,Rock
TWDB,654902,Caliche
TWDB,654902,Sandy
TWDB,654902,Caliche
TWDB,654902,Sand and Gravel
TWDB,654902,Caliche
TWDB,654902,Shale
TWDB,654902,Loose Sand (Water)
TWDB,654902,Red Bed
TWDB,654902,TD
TWDB,656702,Surface
TWDB,656702,Medium Sand
TWDB,656702,Coarse Sand and Gravel
TWDB,656702,Medium Sand w/ Streaks Clay
TWDB,656702,Coarse Sand and Gravel
TWDB,656702,Medium Sand and Streaks Clay
TWDB,656702,Rock
TWDB,656702,Coarse Sand and Gravel
TWDB,656702,Clay
TWDB,656702,Coarse Sand and Gravel
TWDB,656702,Clay
TWDB,656702,Coarse Sand and Gravel
TWDB,656702,Red Clay - TR
TWDB,660902,Top Soil
TWDB,660902,Caliche Clay
TWDB,660902,Fine Sand
TWDB,660902,Fine Sand
TWDB,660902,Rock
TWDB,660902,Fine Sand
TWDB,660902,Fine Sand
TWDB,660902,Fine Sand
TWDB,660902,Fine Sand
TWDB,660902,Red Bed
TWDB,661608,Top Soil and Clay
TWDB,661608,Caliche
TWDB,661608,Limestone and Caliche
TWDB,661608,Limestone
TWDB,661608,Sand and Gravel
TWDB,661608,Red Bed
TWDB,662301,Top Soil
TWDB,662301,Caliche
TWDB,662301,Caliche Rock and Caliche
TWDB,662301,Sandstone
TWDB,662301,Layers of Rock and Clay
TWDB,662301,Sand and Rock
TWDB,662301,Sand
TWDB,662301,Red Bed
TWDB,664404,Top Soil
TWDB,664404,Sand and Gravel
TWDB,664404,Clay
TWDB,664404,Soft Rock
TWDB,664404,Sandrock and Clay
TWDB,664404,Sand and Gravel
TWDB,664404,Clay
TWDB,664404,Sand and Gravel
TWDB,664404,Red Bed
TWDB,1104101,Top Soil
TWDB,1104101,Caliche
TWDB,1104101,Sandy Clay
TWDB,1104101,Sandstone
TWDB,1104101,Brown Clay
TWDB,1104101,Sandy Clay
TWDB,1104101,Sand and Gravel
TWDB,1104101,Brown Clay
TWDB,1104101,Sand and Gravel
TWDB,1104101,White Clay
TWDB,1104101,Gray Sandstone and Blue Clay
TWDB,1104101,Red Clay
TWDB,655504,topsoil
TWDB,655504,caliche
TWDB,655504,sandy clay - sandrock
TWDB,655504,rock
TWDB,655504,sandy clay - sandrock
TWDB,655504,coarse sand
TWDB,655504,sandy clay - sandrock
TWDB,655504,"coarse sand, sandrock"
TWDB,655504,sandy clay - sandrock
TWDB,655504,coarse sand - clay stringes
TWDB,655504,coarse sand - fine gravel
TWDB,655504,sandy clay - sandrock
TWDB,655504,"fine sand, sandrock"
TWDB,655504,"med sand, fine gravel"
TWDB,655504,clay
TWDB,655504,"coarse sand, fine gravel"
TWDB,655504,clay
TWDB,655504,red bed
CODWR,1173,TOPSOIL
CODWR,1173,CLAY
CODWR,1173,SAND WITH CLAY/SILT
CODWR,1173,"SAND, MED-COARSE"
CODWR,1173,SAND WITH GRAVEL
CODWR,1173,CLAY
CODWR,1173,SAND WITH CLAY/SILT
CODWR,1173,"SAND, FINE-MED"
CODWR,1173,CLAY
CODWR,1173,"SAND, FINE-MED"
CODWR,1173,"SAND, FINE-MED"
CODWR,1173,"SAND, FINE-MED"
CODWR,1173,"SAND, FINE-MED"
CODWR,1173,"SAND, FINE-MED"
CODWR,1173,SHALE
CODWR,1176,TOPSOIL
CODWR,1176,TOPSOIL
CODWR,1176,SILT
CODWR,1176,SILT
CODWR,1176,"SAND, MED-COARSE"
CODWR,1176,"SAND, MED-COARSE"
CODWR,1176,SAND WITH CLAY/SILT
CODWR,1176,SAND WITH CLAY/SILT
CODWR,1176,GRAVEL WITH CLAY/SILT
CODWR,1176,GRAVEL WITH CLAY/SILT
CODWR,1176,SAND WITH GRAVEL
CODWR,1176,SAND WITH GRAVEL
CODWR,1176,GRAVEL WITH CLAY/SILT
CODWR,1176,GRAVEL WITH CLAY/SILT
CODWR,1176,"SAND, FINE-MED"
CODWR,1176,"SAND, FINE-MED"
CODWR,1176,"SAND, FINE-MED"
CODWR,1176,"SAND, FINE-MED"
CODWR,1176,SHALE
CODWR,1176,SHALE
CODWR,1178,TOPSOIL
CODWR,1178,SAND WITH CLAY/SILT
CODWR,1178,GRAVEL
CODWR,1178,SANDSTONE
CODWR,1219,TOPSOIL
CODWR,1219,GRAVEL WITH CLAY/SILT
CODWR,1219,SAND WITH GRAVEL
CODWR,1219,GRAVEL
CODWR,1219,SAND WITH GRAVEL
CODWR,1219,GRAVEL WITH CLAY/SILT
CODWR,1219,CLAY
CODWR,1219,SHALE
CODWR,1133,CLAY
CODWR,1133,SAND WITH CLAY/SILT
CODWR,1133,CLAY
CODWR,1133,SAND WITH CLAY/SILT
CODWR,1133,"SAND, FINE-MED"
CODWR,1133,"SAND, MED-COARSE"
CODWR,1133,"SAND, FINE-MED"
CODWR,1133,SAND WITH GRAVEL
CODWR,1133,SAND WITH CLAY/SILT
CODWR,1133,"SAND, FINE-MED"
CODWR,1133,SAND WITH CLAY/SILT
CODWR,1133,SHALE
CODWR,1158,TOPSOIL
CODWR,1204,TOPSOIL
CODWR,1204,CLAY
CODWR,1204,SAND WITH CLAY/SILT
CODWR,1204,"SAND, MED-COARSE"
CODWR,1204,"SAND, MED-COARSE"
CODWR,1204,SHALE
CODWR,1164,SAND WITH CLAY/SILT
CODWR,1164,SAND WITH GRAVEL
CODWR,1164,SAND WITH CLAY/SILT
CODWR,1164,SANDSTONE
CODWR,1164,SHALE
CODWR,1164,SANDSTONE
CODWR,1164,SHALE
CODWR,1172,TOPSOIL
CODWR,1172,CLAY
CODWR,1172,SAND WITH CLAY/SILT
CODWR,1172,SAND WITH GRAVEL
CODWR,1172,SAND WITH CLAY/SILT
CODWR,1172,CLAY
CODWR,1172,SAND WITH GRAVEL
CODWR,1172,SAND WITH GRAVEL
CODWR,1172,SAND WITH GRAVEL
CODWR,1172,SAND WITH GRAVEL
CODWR,1172,SAND WITH GRAVEL
CODWR,1172,SAND WITH GRAVEL
CODWR,1172,SAND WITH GRAVEL
CODWR,1172,SHALE
CODWR,1128,SILT
CODWR,1128,GRAVEL WITH CLAY/SILT
CODWR,1128,GRAVEL
CODWR,1128,GRAVEL WITH CLAY/SILT
CODWR,1128,GRAVEL
CODWR,1128,GRAVEL
CODWR,1128,GRAVEL WITH CLAY/SILT
CODWR,1128,"SAND, MED-COARSE"
CODWR,1128,GRAVEL WITH CLAY/SILT
CODWR,1128,SAND WITH CLAY/SILT
CODWR,1128,"SAND, MED-COARSE"
CODWR,1128,CLAY
CODWR,1128,GRAVEL
CODWR,1128,GRAVEL WITH CLAY/SILT
CODWR,1128,SAND WITH GRAVEL
CODWR,1128,LIMESTONE
CODWR,1128,GRAVEL
CODWR,1128,GRAVEL
CODWR,1128,SAND WITH GRAVEL
CODWR,1128,CLAY
CODWR,1128,GRAVEL WITH CLAY/SILT
CODWR,1128,GRAVEL
CODWR,1128,GRAVEL
CODWR,1128,LIMESTONE
CODWR,1128,GRAVEL
CODWR,1128,CLAY
CODWR,1128,GRAVEL
CODWR,1128,SHALE
CODWR,1128,SHALE
CODWR,1128,LIMESTONE
CODWR,1128,SHALE
CODWR,1128,SANDSTONE
CODWR,1128,SHALE
CODWR,1128,SHALE
CODWR,1128,SANDSTONE
CODWR,1128,LIMESTONE
CODWR,1128,LIMESTONE
CODWR,1128,SHALE
CODWR,1128,SANDSTONE
CODWR,1128,LIMESTONE
CODWR,1128,SHALE
CODWR,1128,SHALE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,LIMESTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,LIMESTONE
CODWR,1128,SANDSTONE
CODWR,1128,LIMESTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1128,SANDSTONE
CODWR,1129,TOPSOIL
CODWR,1129,SAND WITH CLAY/SILT
CODWR,1129,CLAY
CODWR,1129,SAND WITH GRAVEL
CODWR,1129,SHALE
CODWR,1177,TOPSOIL
CODWR,1177,SILT
CODWR,1177,"SAND, MED-COARSE"
CODWR,1177,SAND WITH CLAY/SILT
CODWR,1177,GRAVEL WITH CLAY/SILT
CODWR,1177,SAND WITH GRAVEL
CODWR,1177,GRAVEL WITH CLAY/SILT
CODWR,1177,"SAND, FINE-MED"
CODWR,1177,"SAND, FINE-MED"
CODWR,1177,SHALE
CODWR,1181,TOPSOIL
CODWR,1181,SAND WITH CLAY/SILT
CODWR,1181,SAND WITH CLAY/SILT
CODWR,1181,SAND WITH GRAVEL
CODWR,1181,SAND WITH GRAVEL
CODWR,1181,CLAY
CODWR,1181,"SAND, FINE-MED"
CODWR,1181,SAND WITH CLAY/SILT
CODWR,1181,SAND WITH CLAY/SILT
CODWR,1181,SAND WITH CLAY/SILT
CODWR,1181,"SAND, FINE-MED"
CODWR,1181,"SAND, FINE-MED"
CODWR,1181,"SAND, FINE-MED"
CODWR,1181,"SAND, FINE-MED"
CODWR,1181,SHALE
CODWR,1148,TOPSOIL
CODWR,1148,SAND WITH CLAY/SILT
CODWR,1148,"SAND, MED-COARSE"
CODWR,1148,SAND WITH GRAVEL
CODWR,1206,TOPSOIL
CODWR,1206,SAND WITH CLAY/SILT
CODWR,1206,SAND WITH GRAVEL
CODWR,1206,SHALE
TWDB,1049104,Top Soil
TWDB,1049104,Caliche
TWDB,1049104,Sand
TWDB,1049104,"Coarse Sand, SR"
TWDB,1049104,"Sand, SR"
TWDB,1049104,SR Clay and Gravel
TWDB,1049104,Red Bed
TWDB,1058502,Soil
TWDB,1058502,Sandy Clay
TWDB,1058502,Sand
TWDB,1058502,Caliche and Clay
TWDB,1058502,White Sand and Clay
TWDB,1058502,Yellow Sandy Clay
TWDB,1058502,Sand
TWDB,1058502,Water Sand
TWDB,1058502,Water Sand
TWDB,1058502,Gray-Blue Clay
TWDB,1058502,Red Bed
TWDB,1043501,Top Soil
TWDB,1043501,Caliche
TWDB,1043501,Sand and Sand Rock
TWDB,1043501,Sand and Red Clay
TWDB,1043501,Sand and Sand Rock
TWDB,1043501,Coarse Sand and Gravel
TWDB,1043501,Rock
TWDB,1043501,Coarse Sand and Gravel
TWDB,1043501,Red Bed
TWDB,1042904,Top Soil
TWDB,1042904,Caliche
TWDB,1042904,Fine Sand
TWDB,1042904,Coarse Sand
TWDB,1042904,Sand Rock
TWDB,1042904,Coarse Sand
TWDB,1042904,Sand Rock and Sandy Clay
TWDB,1042904,Fine Gravel
TWDB,1042904,Gravel and Clay
TWDB,1042904,Red Bed
TWDB,1051616,Top Soil
TWDB,1051616,Caliche and Rock
TWDB,1051616,Caliche and Sand Rock
TWDB,1051616,Sand
TWDB,1051616,Sand Red
TWDB,1051616,Sand Red
TWDB,1051616,"Sand, Sandrock, Caliche and Clay"
TWDB,1051616,Little Clay
TWDB,1051616,Red Bed
TWDB,964301,Soil
TWDB,964301,Red Sand
TWDB,964301,Hard Sand
TWDB,964301,Dry Sand
TWDB,964301,Water Sand
TWDB,964301,White Sand
TWDB,964301,Red Clay
TWDB,964301,Gray Clay
TWDB,964301,Brown Sandy Clay
TWDB,964301,Red Clay
TWDB,964301,Good Sand
TWDB,964301,Red Clay
TWDB,964301,Sand
TWDB,964301,Red Bed
TWDB,1051909,Sand
TWDB,1051909,"Sand, Clay Layers"
TWDB,1051909,Sand
TWDB,1051909,"Sand Rock, Sand, Some Clay Layers"
TWDB,1051909,Sand
TWDB,1051909,"Sand, Sand Rock"
TWDB,1051909,"Clay, Sand Rock"
TWDB,1051909,Sand
TWDB,1051909,"Clay, Sand Rock"
TWDB,1051909,Gravel
TWDB,1051909,Red Bed
TWDB,1137914,sand rocks and caliche rocks
TWDB,1137914,"sand rocks, caliche rocks and some clay"
TWDB,1137914,gravel
TWDB,1137914,red bed
TWDB,1138109,surface
TWDB,1138109,caliche
TWDB,1138109,brown sand
TWDB,1138109,White sand and {unreadable}
TWDB,1138109,Water begins
TWDB,1138109,sand
TWDB,1138109,Quartz rock
TWDB,1138109,White rock and sandy clay
TWDB,1138109,brown clay
TWDB,1138109,_____ gravel
TWDB,1138109,blue clay
TWDB,1145314,top soil
TWDB,1145314,red clay and caliche
TWDB,1145314,cap rock
TWDB,1145314,sand red clay and sand rocks
TWDB,1145314,"sand, sand rocks, caliche rocks and some clay"
TWDB,1145314,white sandy clay
TWDB,1145314,"sand and sand rock, streaks"
TWDB,1145314,white sandy clay
TWDB,1145314,joint clay
TWDB,1145314,blue sandy clay
TWDB,1138921,top soil
TWDB,1138921,caliche
TWDB,1138921,cap rock
TWDB,1138921,dry sand
TWDB,1138921,water formation begins
TWDB,1138921,"sand, sand rocks, and caliche rocks"
TWDB,1138921,clay and sand rocks
TWDB,1146214,"clay, blue"
TWDB,1146214,"clay, gray"
TWDB,1146214,"sand, brown"
TWDB,1146214,"sand, white"
TWDB,1146214,"shale, red"
TWDB,1146214,"clay, red"
TWDB,1139605,top soil
TWDB,1139605,caliche white
TWDB,1139605,white rock
TWDB,1139605,dry sand
TWDB,1139605,white sand
TWDB,1139605,"sand and gravel, water"
TWDB,1139605,red sand
TWDB,1139605,blue clay
TWDB,1139605,red clay
TWDB,1138728,top soil
TWDB,1138728,red clay
TWDB,1138728,caliche
TWDB,1138728,fine sand
TWDB,1138728,sand water
TWDB,1138728,caliche
TWDB,1138728,blue clay
TWDB,1138728,red bed
TWDB,2803901,soil
TWDB,2803901,caliche
TWDB,2803901,"lime, yellow (cavities)"
TWDB,2803901,blue clay
TWDB,2803901,white sand
TWDB,2803901,red beds
TWDB,637458,surface caliche clay sand
TWDB,637458,fine sand
TWDB,637458,med. to coarse sand w/gravel strips
TWDB,637458,fine sand sandy clay
TWDB,637458,brown red clay
TWDB,639956,Surface
TWDB,639956,Med Sand w/clay (Verry Muddy)
TWDB,639956,Fine sand & sandy clay w/rock strips
TWDB,639956,Clay-Brown & blue
TWDB,639956,Med sand
TWDB,639956,Coarse sand & gravel w/clay strips
TWDB,639956,Brown clay
TWDB,639956,Fine sand w/clay strips
