"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0663204","TWDB.0663204.LITH.1","Surface","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0663204","TWDB.0663204.LITH.2","Caliche","","eng","ft","4.00","feet","28.00","feet"
"TWDB","0663204","TWDB.0663204.LITH.3","Caliche and Sand Mixed","","eng","ft","28.00","feet","96.00","feet"
"TWDB","0663204","TWDB.0663204.LITH.4","Caliche","","eng","ft","96.00","feet","155.00","feet"
"TWDB","0663204","TWDB.0663204.LITH.5","Sand and Clay","","eng","ft","155.00","feet","170.00","feet"
"TWDB","0663204","TWDB.0663204.LITH.6","Sandy Caliche","","eng","ft","170.00","feet","223.00","feet"
"TWDB","0663204","TWDB.0663204.LITH.7","Clay and Sand","","eng","ft","223.00","feet","240.00","feet"
"TWDB","0663204","TWDB.0663204.LITH.8","Good Water Sand, Light Gravel","","eng","ft","240.00","feet","298.00","feet"
"TWDB","0663204","TWDB.0663204.LITH.9","Red Bed","","eng","ft","298.00","feet","308.00","feet"
"TWDB","1112701","TWDB.1112701.LITH.1","Top Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","1112701","TWDB.1112701.LITH.2","Caliche","","eng","ft","5.00","feet","20.00","feet"
"TWDB","1112701","TWDB.1112701.LITH.3","Sand","","eng","ft","20.00","feet","40.00","feet"
"TWDB","1112701","TWDB.1112701.LITH.4","Clay","","eng","ft","40.00","feet","80.00","feet"
"TWDB","1112701","TWDB.1112701.LITH.5","Sandstone","","eng","ft","80.00","feet","132.00","feet"
"TWDB","1112701","TWDB.1112701.LITH.6","Sand and Gravel","","eng","ft","132.00","feet","179.00","feet"
"TWDB","1112701","TWDB.1112701.LITH.7","Clay","","eng","ft","179.00","feet","182.00","feet"
"TWDB","1112701","TWDB.1112701.LITH.8","Red and Blue Clay","","eng","ft","182.00","feet","184.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.2","Caliche","","eng","ft","4.00","feet","67.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.3","Rock","","eng","ft","67.00","feet","70.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.4","Caliche","","eng","ft","70.00","feet","168.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.5","Rock","","eng","ft","168.00","feet","173.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.6","Caliche","","eng","ft","173.00","feet","230.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.7","Sandy","","eng","ft","230.00","feet","236.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.8","Caliche","","eng","ft","236.00","feet","291.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.9","Sand and Gravel","","eng","ft","291.00","feet","314.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.10","Caliche","","eng","ft","314.00","feet","332.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.11","Shale","","eng","ft","332.00","feet","346.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.12","Loose Sand (Water)","","eng","ft","346.00","feet","363.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.13","Red Bed","","eng","ft","363.00","feet","370.00","feet"
"TWDB","0654902","TWDB.0654902.LITH.14","TD","","eng","ft","370.00","","",""
"TWDB","0656702","TWDB.0656702.LITH.1","Surface","","eng","ft","0.00","feet","300.00","feet"
"TWDB","0656702","TWDB.0656702.LITH.2","Medium Sand","","eng","ft","300.00","feet","326.00","feet"
"TWDB","0656702","TWDB.0656702.LITH.3","Coarse Sand and Gravel","","eng","ft","326.00","feet","361.00","feet"
"TWDB","0656702","TWDB.0656702.LITH.4","Medium Sand w/ Streaks Clay","","eng","ft","361.00","feet","372.00","feet"
"TWDB","0656702","TWDB.0656702.LITH.5","Coarse Sand and Gravel","","eng","ft","372.00","feet","390.00","feet"
"TWDB","0656702","TWDB.0656702.LITH.6","Medium Sand and Streaks Clay","","eng","ft","390.00","feet","402.00","feet"
"TWDB","0656702","TWDB.0656702.LITH.7","Rock","","eng","ft","402.00","feet","403.00","feet"
