"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"CODWR","1173","CODWR.1173.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","10","feet"
"CODWR","1173","CODWR.1173.LITH.2","CLAY","HIGH PLAINS AQUIFER","eng","ft","10","feet","62","feet"
"CODWR","1173","CODWR.1173.LITH.3","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","62","feet","102","feet"
"CODWR","1173","CODWR.1173.LITH.4","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","102","feet","118","feet"
"CODWR","1173","CODWR.1173.LITH.5","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","118","feet","133","feet"
"CODWR","1173","CODWR.1173.LITH.6","CLAY","HIGH PLAINS AQUIFER","eng","ft","133","feet","146","feet"
"CODWR","1173","CODWR.1173.LITH.7","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","146","feet","160","feet"
"CODWR","1173","CODWR.1173.LITH.8","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","160","feet","194","feet"
"CODWR","1173","CODWR.1173.LITH.9","CLAY","HIGH PLAINS AQUIFER","eng","ft","194","feet","205","feet"
"CODWR","1173","CODWR.1173.LITH.10","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","205","feet","251","feet"
"CODWR","1173","CODWR.1173.LITH.11","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","251","feet","305","feet"
"CODWR","1173","CODWR.1173.LITH.12","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","305","feet","390","feet"
"CODWR","1173","CODWR.1173.LITH.13","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","390","feet","400","feet"
"CODWR","1173","CODWR.1173.LITH.14","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","400","feet","406","feet"
"CODWR","1173","CODWR.1173.LITH.15","SHALE","HIGH PLAINS AQUIFER","eng","ft","406","feet","408","feet"
"CODWR","1176","CODWR.1176.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","10","feet"
"CODWR","1176","CODWR.1176.LITH.11","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","10","feet"
"CODWR","1176","CODWR.1176.LITH.2","SILT","HIGH PLAINS AQUIFER","eng","ft","10","feet","42","feet"
"CODWR","1176","CODWR.1176.LITH.12","SILT","HIGH PLAINS AQUIFER","eng","ft","10","feet","42","feet"
"CODWR","1176","CODWR.1176.LITH.3","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","42","feet","55","feet"
"CODWR","1176","CODWR.1176.LITH.13","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","42","feet","55","feet"
