"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","1049104","TWDB.1049104.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","1049104","TWDB.1049104.LITH.2","Caliche","","eng","ft","3.00","feet","33.00","feet"
"TWDB","1049104","TWDB.1049104.LITH.3","Sand","","eng","ft","33.00","feet","72.00","feet"
"TWDB","1049104","TWDB.1049104.LITH.4","Coarse Sand, SR","","eng","ft","72.00","feet","136.00","feet"
"TWDB","1049104","TWDB.1049104.LITH.5","Sand, SR","","eng","ft","136.00","feet","171.00","feet"
"TWDB","1049104","TWDB.1049104.LITH.6","SR Clay and Gravel","","eng","ft","171.00","feet","200.00","feet"
"TWDB","1049104","TWDB.1049104.LITH.7","Red Bed","","eng","ft","200.00","feet","202.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.1","Soil","","eng","ft","0.00","feet","10.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.2","Sandy Clay","","eng","ft","10.00","feet","20.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.3","Sand","","eng","ft","20.00","feet","50.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.4","Caliche and Clay","","eng","ft","50.00","feet","72.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.5","White Sand and Clay","","eng","ft","72.00","feet","85.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.6","Yellow Sandy Clay","","eng","ft","85.00","feet","105.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.7","Sand","","eng","ft","105.00","feet","107.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.8","Water Sand","","eng","ft","107.00","feet","140.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.9","Water Sand","","eng","ft","107.00","feet","140.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.10","Gray-Blue Clay","","eng","ft","140.00","feet","144.00","feet"
"TWDB","1058502","TWDB.1058502.LITH.11","Red Bed","","eng","ft","144.00","feet","151.00","feet"
"TWDB","1043501","TWDB.1043501.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","1043501","TWDB.1043501.LITH.2","Caliche","","eng","ft","3.00","feet","30.00","feet"
"TWDB","1043501","TWDB.1043501.LITH.3","Sand and Sand Rock","","eng","ft","30.00","feet","70.00","feet"
"TWDB","1043501","TWDB.1043501.LITH.4","Sand and Red Clay","","eng","ft","70.00","feet","105.00","feet"
"TWDB","1043501","TWDB.1043501.LITH.5","Sand and Sand Rock","","eng","ft","105.00","feet","145.00","feet"
"TWDB","1043501","TWDB.1043501.LITH.6","Coarse Sand and Gravel","","eng","ft","145.00","feet","280.00","feet"
"TWDB","1043501","TWDB.1043501.LITH.7","Rock","","eng","ft","280.00","feet","283.00","feet"
"TWDB","1043501","TWDB.1043501.LITH.8","Coarse Sand and Gravel","","eng","ft","283.00","feet","295.00","feet"
"TWDB","1043501","TWDB.1043501.LITH.9","Red Bed","","eng","ft","295.00","feet","318.00","feet"
"TWDB","1042904","TWDB.1042904.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1042904","TWDB.1042904.LITH.2","Caliche","","eng","ft","4.00","feet","33.00","feet"
"TWDB","1042904","TWDB.1042904.LITH.3","Fine Sand","","eng","ft","33.00","feet","40.00","feet"
"TWDB","1042904","TWDB.1042904.LITH.4","Coarse Sand","","eng","ft","40.00","feet","107.00","feet"
"TWDB","1042904","TWDB.1042904.LITH.5","Sand Rock","","eng","ft","107.00","feet","122.00","feet"
"TWDB","1042904","TWDB.1042904.LITH.6","Coarse Sand","","eng","ft","122.00","feet","145.00","feet"
"TWDB","1042904","TWDB.1042904.LITH.7","Sand Rock and Sandy Clay","","eng","ft","145.00","feet","179.00","feet"
"TWDB","1042904","TWDB.1042904.LITH.8","Fine Gravel","","eng","ft","179.00","feet","201.00","feet"
