"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","1137914","TWDB.1137914.LITH.1","sand rocks and caliche rocks","","eng","ft","159.00","feet","170.00","feet"
"TWDB","1137914","TWDB.1137914.LITH.2","sand rocks, caliche rocks and some clay","","eng","ft","170.00","feet","204.00","feet"
"TWDB","1137914","TWDB.1137914.LITH.3","gravel","","eng","ft","204.00","feet","225.00","feet"
"TWDB","1137914","TWDB.1137914.LITH.4","red bed","","eng","ft","225.00","feet","232.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.1","surface","","eng","ft","0.00","feet","6.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.2","caliche","","eng","ft","6.00","feet","22.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.3","brown sand","","eng","ft","22.00","feet","86.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.4","White sand and {unreadable}","","eng","ft","86.00","feet","125.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.5","Water begins","","eng","ft","125.00","","",""
"TWDB","1138109","TWDB.1138109.LITH.6","sand","","eng","ft","125.00","feet","130.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.7","Quartz rock","","eng","ft","130.00","feet","160.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.8","White rock and sandy clay","","eng","ft","160.00","feet","182.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.9","brown clay","","eng","ft","182.00","feet","197.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.10","_____ gravel","","eng","ft","197.00","feet","202.00","feet"
"TWDB","1138109","TWDB.1138109.LITH.11","blue clay","","eng","ft","202.00","feet","205.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.1","top soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.2","red clay and caliche","","eng","ft","4.00","feet","45.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.3","cap rock","","eng","ft","45.00","feet","50.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.4","sand red clay and sand rocks","","eng","ft","50.00","feet","80.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.5","sand, sand rocks, caliche rocks and some clay","","eng","ft","80.00","feet","150.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.6","white sandy clay","","eng","ft","150.00","feet","183.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.7","sand and sand rock, streaks","","eng","ft","183.00","feet","190.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.8","white sandy clay","","eng","ft","190.00","feet","210.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.9","joint clay","","eng","ft","210.00","feet","230.00","feet"
"TWDB","1145314","TWDB.1145314.LITH.10","blue sandy clay","","eng","ft","230.00","","",""
"TWDB","1138921","TWDB.1138921.LITH.1","top soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","1138921","TWDB.1138921.LITH.2","caliche","","eng","ft","5.00","feet","35.00","feet"
"TWDB","1138921","TWDB.1138921.LITH.3","cap rock","","eng","ft","35.00","feet","50.00","feet"
"TWDB","1138921","TWDB.1138921.LITH.4","dry sand","","eng","ft","50.00","feet","89.00","feet"
"TWDB","1138921","TWDB.1138921.LITH.5","water formation begins","","eng","ft","89.00","","",""
"TWDB","1138921","TWDB.1138921.LITH.6","sand, sand rocks, and caliche rocks","","eng","ft","89.00","feet","130.00","feet"
"TWDB","1138921","TWDB.1138921.LITH.7","clay and sand rocks","","eng","ft","130.00","feet","148.00","feet"
"TWDB","1146214","TWDB.1146214.LITH.1","clay, blue","","eng","ft","0.00","feet","25.00","feet"
"TWDB","1146214","TWDB.1146214.LITH.2","clay, gray","","eng","ft","25.00","feet","60.00","feet"
"TWDB","1146214","TWDB.1146214.LITH.3","sand, brown","","eng","ft","60.00","feet","115.00","feet"
"TWDB","1146214","TWDB.1146214.LITH.4","sand, white","","eng","ft","115.00","feet","125.00","feet"
"TWDB","1146214","TWDB.1146214.LITH.5","shale, red","","eng","ft","125.00","feet","145.00","feet"
"TWDB","1146214","TWDB.1146214.LITH.6","clay, red","","eng","ft","145.00","feet","155.00","feet"
"TWDB","1139605","TWDB.1139605.LITH.1","top soil","","eng","ft","0.00","feet","20.00","feet"
"TWDB","1139605","TWDB.1139605.LITH.2","caliche white","","eng","ft","20.00","feet","80.00","feet"
"TWDB","1139605","TWDB.1139605.LITH.3","white rock","","eng","ft","80.00","feet","95.00","feet"
"TWDB","1139605","TWDB.1139605.LITH.4","dry sand","","eng","ft","95.00","feet","180.00","feet"
"TWDB","1139605","TWDB.1139605.LITH.5","white sand","","eng","ft","180.00","feet","192.00","feet"
"TWDB","1139605","TWDB.1139605.LITH.6","sand and gravel, water","","eng","ft","192.00","feet","245.00","feet"
"TWDB","1139605","TWDB.1139605.LITH.7","red sand","","eng","ft","245.00","feet","250.00","feet"
"TWDB","1139605","TWDB.1139605.LITH.8","blue clay","","eng","ft","250.00","feet","257.00","feet"
"TWDB","1139605","TWDB.1139605.LITH.9","red clay","","eng","ft","257.00","feet","267.00","feet"
"TWDB","1138728","TWDB.1138728.LITH.1","top soil","","eng","ft","1.00","feet","4.00","feet"
"TWDB","1138728","TWDB.1138728.LITH.2","red clay","","eng","ft","4.00","feet","20.00","feet"
"TWDB","1138728","TWDB.1138728.LITH.3","caliche","","eng","ft","20.00","feet","60.00","feet"
"TWDB","1138728","TWDB.1138728.LITH.4","fine sand","","eng","ft","60.00","feet","90.00","feet"
"TWDB","1138728","TWDB.1138728.LITH.5","sand water","","eng","ft","90.00","feet","160.00","feet"
"TWDB","1138728","TWDB.1138728.LITH.6","caliche","","eng","ft","160.00","feet","175.00","feet"
"TWDB","1138728","TWDB.1138728.LITH.7","blue clay","","eng","ft","175.00","feet","180.00","feet"
"TWDB","1138728","TWDB.1138728.LITH.8","red bed","","eng","ft","180.00","","",""
