"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0637458","TWDB.0637458.LITH.1","surface caliche clay sand","","eng","ft","0.00","feet","400.00","feet"
"TWDB","0637458","TWDB.0637458.LITH.2","fine sand","","eng","ft","400.00","feet","540.00","feet"
"TWDB","0637458","TWDB.0637458.LITH.3","med. to coarse sand w/gravel strips","","eng","ft","540.00","feet","580.00","feet"
"TWDB","0637458","TWDB.0637458.LITH.4","fine sand sandy clay","","eng","ft","580.00","feet","610.00","feet"
"TWDB","0637458","TWDB.0637458.LITH.5","brown red clay","","eng","ft","610.00","feet","620.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.1","Surface","","eng","ft","0.00","feet","280.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.2","Med Sand w/clay (Verry Muddy)","","eng","ft","280.00","feet","295.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.3","Fine sand & sandy clay w/rock strips","","eng","ft","295.00","feet","339.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.4","Clay-Brown & blue","","eng","ft","339.00","feet","360.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.5","Med sand","","eng","ft","360.00","feet","385.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.6","Coarse sand & gravel w/clay strips","","eng","ft","385.00","feet","484.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.7","Brown clay","","eng","ft","484.00","feet","502.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.8","Fine sand w/clay strips","","eng","ft","502.00","feet","523.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.9","Brown clay","","eng","ft","523.00","feet","535.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.10","Fine sand w/clay strips","","eng","ft","535.00","feet","570.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.11","Med sand w/clay strips - Hard strips","","eng","ft","570.00","feet","599.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.12","Fine sand & clay -- Hard and muddy","","eng","ft","599.00","feet","614.00","feet"
"TWDB","0639956","TWDB.0639956.LITH.13","Red clay and shale -- Hard","","eng","ft","614.00","feet","630.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.1","White Chalk Rock","","eng","ft","0.00","feet","10.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.2","Reddish Sandy Clay and Rock","","eng","ft","10.00","feet","59.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.3","Reddish Clay","","eng","ft","59.00","feet","76.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.4","Red Sandy Clay and Rock","","eng","ft","76.00","feet","87.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.5","Hard Rock","","eng","ft","87.00","feet","91.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.6","Soft Rock, Sandy Clay","","eng","ft","91.00","feet","97.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.7","Hard Rock","","eng","ft","97.00","feet","101.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.8","Soft Rock, Sandy Clay","","eng","ft","101.00","feet","107.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.9","Hard Rock, Sandy Clay","","eng","ft","107.00","feet","112.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.10","Soft Sandy Clay","","eng","ft","112.00","feet","120.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.11","Hard Clay and Rock","","eng","ft","120.00","feet","125.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.12","Sandy Clay","","eng","ft","125.00","feet","132.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.13","Yellow Clay","","eng","ft","132.00","feet","156.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.14","Yellow Clay and Gravel","","eng","ft","156.00","feet","175.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.15","Yellow Sandy Clay some Fine Gravel","","eng","ft","175.00","feet","196.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.16","Some Grayish Water Sand and Gravel and some Clay Streaks","","eng","ft","196.00","feet","210.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.17","Yellow Sandy Clay","","eng","ft","210.00","feet","214.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.18","Grayish Water Sand, Streak Clay and Gravel","","eng","ft","214.00","feet","238.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.19","More Sand, Less Clay","","eng","ft","238.00","feet","251.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.20","Yellow Clay, some Sandy Streaks","","eng","ft","251.00","feet","271.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.21","Soft Sand, very little Clay","","eng","ft","271.00","feet","285.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.22","Yellowish Hard Clay, Sand Streaks some Gravel","","eng","ft","285.00","feet","289.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.23","Soft Sand, some Gravel","","eng","ft","289.00","feet","295.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.24","Hard Sand Streaks, Clay","","eng","ft","295.00","feet","302.00","feet"
"TWDB","0629703","TWDB.0629703.LITH.25","Loose Clean Water Sand","","eng","ft","302.00","feet","330.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.1","Topsoil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.2","Caliche, rock, clay, fine sand","","eng","ft","4.00","feet","45.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.3","Clay, fine sand","","eng","ft","45.00","feet","80.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.4","Fine sand sandstone, rock, clay","","eng","ft","80.00","feet","110.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.5","sandy clay, rock","","eng","ft","145.00","feet","175.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.6","Sandy clay, coarse sand, gravel","","eng","ft","175.00","feet","205.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.7","Sandy clay, rock","","eng","ft","205.00","feet","235.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.8","Sandy clay","","eng","ft","235.00","feet","265.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.9","Sandy clay, rock","","eng","ft","265.00","feet","295.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.10","Sandy clay, coarse sand","","eng","ft","295.00","feet","325.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.11","Coarse sand, gravel, sandy clay","","eng","ft","325.00","feet","355.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.12","Coarse sand, sandy clay","","eng","ft","355.00","feet","385.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.13","Coarse sand, gravel","","eng","ft","385.00","feet","400.00","feet"
"TWDB","0647554","TWDB.0647554.LITH.14","Blue clay, red bed","","eng","ft","400.00","feet","410.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.1","surface","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.2","caliche","","eng","ft","4.00","feet","22.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.3","clay","","eng","ft","22.00","feet","125.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.4","sand","","eng","ft","125.00","feet","135.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.5","sand and clay","","eng","ft","135.00","feet","185.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.6","sand","","eng","ft","185.00","feet","190.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.7","sand and clay","","eng","ft","190.00","feet","225.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.8","clay and rock","","eng","ft","225.00","feet","260.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.9","sand and clay","","eng","ft","260.00","feet","400.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.10","sand","","eng","ft","400.00","feet","460.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.11","sand rock","","eng","ft","460.00","feet","490.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.12","sand rock","","eng","ft","490.00","feet","500.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.13","sand and clay","","eng","ft","500.00","feet","550.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.14","coarse sand","","eng","ft","550.00","feet","580.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.15","hard sand","","eng","ft","580.00","feet","615.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.16","soft sand","","eng","ft","615.00","feet","625.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.17","clay and sand","","eng","ft","625.00","feet","630.00","feet"
"TWDB","0644102","TWDB.0644102.LITH.18","blue clay","","eng","ft","630.00","feet","743.00","feet"
"TWDB","0630401","TWDB.0630401.LITH.1","Top Soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","0630401","TWDB.0630401.LITH.2","Caliche","","eng","ft","2.00","feet","30.00","feet"
"TWDB","0630401","TWDB.0630401.LITH.3","Sand, White Gravel","","eng","ft","30.00","feet","99.00","feet"
"TWDB","0630401","TWDB.0630401.LITH.4","Sand Gravel","","eng","ft","99.00","feet","120.00","feet"
"TWDB","0630401","TWDB.0630401.LITH.5","Heavy Sand Gravel","","eng","ft","120.00","feet","135.00","feet"
