"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","1048302","TWDB.1048302.LITH.1","Soil and Caliche","","eng","ft","0.00","feet","18.00","feet"
"TWDB","1048302","TWDB.1048302.LITH.2","Clay and Shale","","eng","ft","18.00","feet","66.00","feet"
"TWDB","1048302","TWDB.1048302.LITH.3","Cap Rock","","eng","ft","66.00","feet","86.00","feet"
"TWDB","1048302","TWDB.1048302.LITH.4","Tight Sand and Shale","","eng","ft","86.00","feet","140.00","feet"
"TWDB","1048302","TWDB.1048302.LITH.5","Fine Sand","","eng","ft","140.00","feet","190.00","feet"
"TWDB","1048302","TWDB.1048302.LITH.6","Tight Sand (Coarse)","","eng","ft","190.00","feet","246.00","feet"
"TWDB","1048302","TWDB.1048302.LITH.7","Coarse Water Sand","","eng","ft","246.00","feet","305.00","feet"
"TWDB","1048302","TWDB.1048302.LITH.8","River Sand and Gravel","","eng","ft","305.00","feet","358.00","feet"
"TWDB","1048302","TWDB.1048302.LITH.9","Red Bed","","eng","ft","358.00","feet","361.00","feet"
"TWDB","1032803","TWDB.1032803.LITH.1","Surface","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1032803","TWDB.1032803.LITH.2","Caliche","","eng","ft","4.00","feet","19.00","feet"
"TWDB","1032803","TWDB.1032803.LITH.3","Dry Sand and clay","","eng","ft","19.00","feet","186.00","feet"
"TWDB","1032803","TWDB.1032803.LITH.4","Tight sand and clay","","eng","ft","186.00","feet","236.00","feet"
"TWDB","1032803","TWDB.1032803.LITH.5","Sand, caly and rock ledges","","eng","ft","236.00","feet","289.00","feet"
"TWDB","1032803","TWDB.1032803.LITH.6","Red Bed","","eng","ft","289.00","feet","294.50","feet"
"TWDB","1037101","TWDB.1037101.LITH.1","Top soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1037101","TWDB.1037101.LITH.2","Cliche","","eng","ft","4.00","feet","85.00","feet"
