"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2524601","TWDB.2524601.LITH.1","Loose Sand","","eng","ft","0.00","feet","2.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.2","Red Sandy Clay","","eng","ft","2.00","feet","6.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.3","Caliche and Caliche Rock","","eng","ft","6.00","feet","18.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.4","Sandy Clay","","eng","ft","18.00","feet","32.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.5","Sand Rock","","eng","ft","32.00","feet","38.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.6","Hard Rock","","eng","ft","38.00","feet","42.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.7","Sandy Clay w/ Sandstone","","eng","ft","42.00","feet","78.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.8","Hard Rock","","eng","ft","78.00","feet","84.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.9","Sandy Rock","","eng","ft","84.00","feet","96.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.10","Sandy Clay w/ Sandstone","","eng","ft","96.00","feet","138.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.11","Sand and Gravel","","eng","ft","138.00","feet","168.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.12","Sandy Clay","","eng","ft","168.00","feet","176.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.13","Loose Sand and Gravel","","eng","ft","176.00","feet","205.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.14","Yellow Clay","","eng","ft","205.00","feet","207.00","feet"
"TWDB","2524601","TWDB.2524601.LITH.15","Blue Clay","","eng","ft","207.00","feet","210.00","feet"
"TWDB","2417504","TWDB.2417504.LITH.1","TOP SOIL","","eng","ft","0.00","feet","5.00","feet"
"TWDB","2417504","TWDB.2417504.LITH.2","CALICHE","","eng","ft","5.00","feet","20.00","feet"
"TWDB","2417504","TWDB.2417504.LITH.3","SANDSTONE","","eng","ft","20.00","feet","70.00","feet"
"TWDB","2417504","TWDB.2417504.LITH.4","BROWN CLAY & ROCK","","eng","ft","70.00","feet","180.00","feet"
"TWDB","2417504","TWDB.2417504.LITH.5","SAND & GRAVEL","","eng","ft","180.00","feet","187.00","feet"
"TWDB","2417504","TWDB.2417504.LITH.6","YELLOW CLAY","","eng","ft","187.00","feet","197.00","feet"
"TWDB","2417504","TWDB.2417504.LITH.7","BLUE CLAY","","eng","ft","197.00","feet","200.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.1","Surface and clay","","eng","ft","0.00","feet","6.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.2","Clay","","eng","ft","6.00","feet","60.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.3","Clay and rock ledges","","eng","ft","60.00","feet","79.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.4","Sandy clay","","eng","ft","79.00","feet","97.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.5","Rock","","eng","ft","97.00","feet","98.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.6","Packsand","","eng","ft","98.00","feet","112.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.7","Sand and clay silt","","eng","ft","112.00","feet","131.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.8","Sand, hard","","eng","ft","131.00","feet","140.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.9","Clay and rock ledges","","eng","ft","140.00","feet","164.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.10","Sandy clay","","eng","ft","164.00","feet","187.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.11","Sand and gravel","","eng","ft","187.00","feet","214.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.12","Clay","","eng","ft","214.00","feet","226.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.13","Sand, gravel and clay streaks","","eng","ft","226.00","feet","281.00","feet"
"TWDB","2428401","TWDB.2428401.LITH.14","Light blue clay","","eng","ft","281.00","feet","283.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.1","Surface","","eng","ft","0.00","feet","4.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.2","Sandy Clay and Caliche","","eng","ft","4.00","feet","45.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.3","Clay and Rock","","eng","ft","45.00","feet","77.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.4","Sandy Clay","","eng","ft","77.00","feet","102.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.5","Sand and Clay Silt","","eng","ft","102.00","feet","114.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.6","Sand, Silt and Rock","","eng","ft","114.00","feet","123.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.7","Sand and Silt","","eng","ft","123.00","feet","147.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.8","Sand, Silt and Rock","","eng","ft","147.00","feet","162.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.9","Sandy Silt and Clay","","eng","ft","162.00","feet","177.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.10","Sand, Gravel, some Clay","","eng","ft","177.00","feet","197.00","feet"
"TWDB","2419902","TWDB.2419902.LITH.11","Impervious Clays","","eng","ft","197.00","feet","200.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.1","Top Soil","","eng","ft","0.00","feet","10.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.2","Caliche Rock","","eng","ft","10.00","feet","20.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.3","Dry Sand","","eng","ft","20.00","feet","70.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.4","Hard Lime Rock","","eng","ft","70.00","feet","74.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.5","Sandy Clay","","eng","ft","74.00","feet","110.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.6","Water Sand","","eng","ft","110.00","feet","130.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.7","Dry Sand","","eng","ft","130.00","feet","150.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.8","Water Sand","","eng","ft","150.00","feet","170.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.9","Water Sand and Gravel","","eng","ft","170.00","feet","190.00","feet"
"TWDB","2411803","TWDB.2411803.LITH.10","Blue Clay","","eng","ft","190.00","feet","192.00","feet"
"TWDB","2410702","TWDB.2410702.LITH.1","Top Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","2410702","TWDB.2410702.LITH.2","Caliche","","eng","ft","5.00","feet","25.00","feet"
"TWDB","2410702","TWDB.2410702.LITH.3","Sandy Caliche","","eng","ft","25.00","feet","40.00","feet"
"TWDB","2410702","TWDB.2410702.LITH.4","Gray Lime","","eng","ft","40.00","feet","50.00","feet"
"TWDB","2410702","TWDB.2410702.LITH.5","Sand","","eng","ft","50.00","feet","90.00","feet"
"TWDB","2410702","TWDB.2410702.LITH.6","Sand and Stone","","eng","ft","90.00","feet","107.00","feet"
"TWDB","2410702","TWDB.2410702.LITH.7","Water","","eng","ft","107.00","feet","144.00","feet"
"TWDB","2410702","TWDB.2410702.LITH.8","Yellow and Blue Clay","","eng","ft","144.00","feet","147.00","feet"
