"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2331201","TWDB.2331201.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.2","Caliche","","eng","ft","3.00","feet","13.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.3","Cap Rock, Soft Spots","","eng","ft","13.00","feet","46.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.4","Sandy Clay, Sandrock","","eng","ft","46.00","feet","136.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.5","Sandy Clay Strips of Fine Loose Sand","","eng","ft","136.00","feet","202.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.6","White Sandy Clay, Some Sand","","eng","ft","202.00","feet","285.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.7","Loose Coarse Sand and Broken Sandstone","","eng","ft","285.00","feet","310.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.8","Medium Soft Sandstone, Strips of Sand, Medium Coarse","","eng","ft","310.00","feet","345.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.9","Cemented Gravel, Strips of Medium Coarse Sand","","eng","ft","345.00","feet","400.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.10","Medium Loose Fine Sand, Strips of Sandstone","","eng","ft","400.00","feet","426.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.11","Medium Coarse Gravel","","eng","ft","426.00","feet","457.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.12","Hard Rock","","eng","ft","457.00","feet","459.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.13","Blue Clay and Boulders","","eng","ft","459.00","feet","461.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.14","Cemented Gravel","","eng","ft","461.00","feet","475.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.15","Blue Clay","","eng","ft","475.00","feet","487.00","feet"
"TWDB","2331201","TWDB.2331201.LITH.16","Red Bed","","eng","ft","487.00","feet","490.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.1","Soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.2","Rock (hard)","","eng","ft","2.00","feet","5.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.3","Caliche, Clay and Rock","","eng","ft","5.00","feet","16.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.4","Sandstone and Clay Streaks","","eng","ft","16.00","feet","24.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.5","Fine Sand, Sandy Clay and Sandstone","","eng","ft","24.00","feet","35.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.6","Fine Sand and Sandstone","","eng","ft","35.00","feet","64.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.7","Sandstone, Fine Sand and Clay","","eng","ft","64.00","feet","80.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.8","Sand, Clay and Sandy Streaks","","eng","ft","80.00","feet","104.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.9","Sandy Clay and Streaks Sandstone and Sand","","eng","ft","104.00","feet","150.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.10","Sand, gravel and Streaks Sandstone","","eng","ft","150.00","feet","166.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.11","Sandy Clay","","eng","ft","166.00","feet","170.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.12","Sandy Clay, Sandstone and Rock Streaks","","eng","ft","170.00","feet","212.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.13","Sandy Clay, Rock and Sand Streaks","","eng","ft","212.00","feet","228.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.14","Rock","","eng","ft","228.00","feet","234.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.15","Red and Blue Clay","","eng","ft","234.00","feet","246.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.16","Sand (Cemented) and Rock","","eng","ft","246.00","feet","251.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.17","Blue Clay and Rock Streaks","","eng","ft","251.00","feet","301.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.18","Yellow Sandstone and Sand","","eng","ft","301.00","feet","315.00","feet"
"TWDB","2336301","TWDB.2336301.LITH.19","Blue and Red","","eng","ft","315.00","feet","350.00","feet"
