"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0251702","TWDB.0251702.LITH.1","surface","","eng","ft","0.00","feet","250.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.2","coarse sand small gravel thin streaks clay and caliche","","eng","ft","250.00","feet","268.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.3","coarse sand small gravel clean","","eng","ft","268.00","feet","295.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.4","some traces clay","","eng","ft","295.00","feet","322.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.5","soft sandy clay and hard streaks","","eng","ft","322.00","feet","365.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.6","coarse sand clean with hard streaks","","eng","ft","365.00","feet","418.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.7","rock","","eng","ft","418.00","feet","422.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.8","coarse sand some gravel traces blue clay","","eng","ft","422.00","feet","472.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.9","rock","","eng","ft","472.00","feet","474.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.10","coarse sand some clay","","eng","ft","474.00","feet","503.00","feet"
"TWDB","0251702","TWDB.0251702.LITH.11","yellow hard clay","","eng","ft","503.00","feet","524.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.1","top soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.2","clay and caliche","","eng","ft","3.00","feet","115.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.3","sand gravel","","eng","ft","115.00","feet","144.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.4","clay sand & clay","","eng","ft","144.00","feet","175.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.5","fine & med. sand","","eng","ft","175.00","feet","202.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.6","med. & fine sand","","eng","ft","202.00","feet","262.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.7","clay - sandy clay& course sand","","eng","ft","262.00","feet","352.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.8","medium & course sand","","eng","ft","352.00","feet","412.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.9","coarse sand - sandy clay","","eng","ft","412.00","feet","442.00","feet"
"TWDB","0252301","TWDB.0252301.LITH.10","clay sand - red bed (red beds @ 470)","","eng","ft","442.00","feet","471.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.1","surface","","eng","ft","0.00","feet","50.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.2","sand","","eng","ft","50.00","feet","90.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.3","coarse sand and gravel (dry)","","eng","ft","90.00","feet","210.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.4","fine sand","","eng","ft","210.00","feet","300.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.5","gravel","","eng","ft","300.00","feet","320.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.6","coarse sand","","eng","ft","320.00","feet","360.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.7","fine sand","","eng","ft","360.00","feet","400.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.8","fine to med. with fine gravel","","eng","ft","400.00","feet","450.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.9","fine to med. sand","","eng","ft","450.00","feet","480.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.10","med. to coarse sand","","eng","ft","480.00","feet","510.00","feet"
"TWDB","0253201","TWDB.0253201.LITH.11","red bed","","eng","ft","510.00","feet","515.00","feet"
"TWDB","0258102","TWDB.0258102.LITH.1","top soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0258102","TWDB.0258102.LITH.2","caliche","","eng","ft","4.00","feet","21.00","feet"
"TWDB","0258102","TWDB.0258102.LITH.3","caprock","","eng","ft","21.00","feet","24.00","feet"
"TWDB","0258102","TWDB.0258102.LITH.4","clay & sand w/thin rock","","eng","ft","24.00","feet","200.00","feet"
"TWDB","0258102","TWDB.0258102.LITH.5","nedium sand w/clay streaks","","eng","ft","200.00","feet","270.00","feet"
"TWDB","0258102","TWDB.0258102.LITH.6","coarse sand & gravel","","eng","ft","270.00","feet","390.00","feet"
"TWDB","0258102","TWDB.0258102.LITH.7","coarse sand and clay streaks","","eng","ft","390.00","feet","420.00","feet"
"TWDB","0258102","TWDB.0258102.LITH.8","cemented sand gravel","","eng","ft","420.00","feet","424.00","feet"
"TWDB","0258102","TWDB.0258102.LITH.9","red clay","","eng","ft","424.00","feet","428.00","feet"
"TWDB","0260201","TWDB.0260201.LITH.1","top soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","0260201","TWDB.0260201.LITH.2","caliche & clay","","eng","ft","5.00","feet","90.00","feet"
"TWDB","0260201","TWDB.0260201.LITH.3","sand & clay","","eng","ft","90.00","feet","150.00","feet"
"TWDB","0260201","TWDB.0260201.LITH.4","clay","","eng","ft","150.00","feet","200.00","feet"
"TWDB","0260201","TWDB.0260201.LITH.5","sand & clay","","eng","ft","200.00","feet","250.00","feet"
"TWDB","0260201","TWDB.0260201.LITH.6","fine to med sand","","eng","ft","250.00","feet","320.00","feet"
"TWDB","0260201","TWDB.0260201.LITH.7","clay","","eng","ft","320.00","feet","340.00","feet"
