"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2716803","TWDB.2716803.LITH.1","Top Soil","","eng","ft","0.00","feet","6.00","feet"
"TWDB","2716803","TWDB.2716803.LITH.2","Caliche & Rock","","eng","ft","6.00","feet","68.00","feet"
"TWDB","2716803","TWDB.2716803.LITH.3","Sand & Gravel","","eng","ft","68.00","feet","104.00","feet"
"TWDB","2716803","TWDB.2716803.LITH.4","Brown Sandy Clay","","eng","ft","104.00","feet","136.00","feet"
"TWDB","2716803","TWDB.2716803.LITH.5","Sand","","eng","ft","136.00","feet","142.00","feet"
"TWDB","2716803","TWDB.2716803.LITH.6","Clay with Sand Streaks","","eng","ft","142.00","feet","161.00","feet"
"TWDB","2716803","TWDB.2716803.LITH.7","Sand, Gravel & Limestone","","eng","ft","161.00","feet","184.00","feet"
"TWDB","2716803","TWDB.2716803.LITH.8","Clay","","eng","ft","184.00","feet","188.00","feet"
"TWDB","2716803","TWDB.2716803.LITH.9","Limestone & Shale","","eng","ft","188.00","feet","194.00","feet"
"TWDB","2716803","TWDB.2716803.LITH.10","Yellow and Blue Clay","","eng","ft","194.00","feet","200.00","feet"
"TWDB","2708505","TWDB.2708505.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2708505","TWDB.2708505.LITH.2","Caliche","","eng","ft","3.00","feet","18.00","feet"
"TWDB","2708505","TWDB.2708505.LITH.3","Rock","","eng","ft","18.00","feet","25.00","feet"
"TWDB","2708505","TWDB.2708505.LITH.4","Caliche","","eng","ft","25.00","feet","65.00","feet"
"TWDB","2708505","TWDB.2708505.LITH.5","Sand Gravel","","eng","ft","65.00","feet","107.00","feet"
"TWDB","2708505","TWDB.2708505.LITH.6","Lime Rock Yellow Clay","","eng","ft","107.00","feet","110.00","feet"
"TWDB","2732601","TWDB.2732601.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","2732601","TWDB.2732601.LITH.2","Caliche","","eng","ft","4.00","feet","46.00","feet"
"TWDB","2732601","TWDB.2732601.LITH.3","Rock and Clay","","eng","ft","46.00","feet","57.00","feet"
"TWDB","2732601","TWDB.2732601.LITH.4","Sand","","eng","ft","57.00","feet","127.00","feet"
"TWDB","2732601","TWDB.2732601.LITH.5","Red Bed","","eng","ft","127.00","","",""
"TWDB","2724902","TWDB.2724902.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2724902","TWDB.2724902.LITH.2","Brown Clay","","eng","ft","3.00","feet","12.00","feet"
"TWDB","2724902","TWDB.2724902.LITH.3","Caliche","","eng","ft","12.00","feet","18.00","feet"
"TWDB","2724902","TWDB.2724902.LITH.4","Brown Clay","","eng","ft","18.00","feet","30.00","feet"
"TWDB","2724902","TWDB.2724902.LITH.5","Lime Rock","","eng","ft","30.00","feet","62.00","feet"
"TWDB","2724902","TWDB.2724902.LITH.6","Sand and Gravel","","eng","ft","62.00","feet","145.00","feet"
"TWDB","2724902","TWDB.2724902.LITH.7","Red Clay","","eng","ft","145.00","feet","150.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.1","Top Soil","","eng","ft","0.00","feet","6.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.2","Caliche","","eng","ft","6.00","feet","47.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.3","Sand and Soft Limestone","","eng","ft","47.00","feet","59.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.4","Clay","","eng","ft","59.00","feet","63.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.5","Sandstone","","eng","ft","63.00","feet","71.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.6","Rock","","eng","ft","71.00","feet","82.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.7","Sand w/ Few Clay Streaks","","eng","ft","82.00","feet","133.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.8","Clay","","eng","ft","133.00","feet","142.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.9","Sand","","eng","ft","142.00","feet","151.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.10","Clay w/ Sand Streaks","","eng","ft","151.00","feet","163.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.11","Sandy Clay","","eng","ft","163.00","feet","171.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.12","Sand and Gravel","","eng","ft","171.00","feet","181.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.13","Limestone and Gravel","","eng","ft","181.00","feet","200.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.14","Blue Clay","","eng","ft","200.00","feet","204.00","feet"
"TWDB","2716802","TWDB.2716802.LITH.15","Red Bed","","eng","ft","204.00","feet","210.00","feet"
"TWDB","2809908","TWDB.2809908.LITH.1","Top Soil","","eng","ft","0.00","feet","6.00","feet"
"TWDB","2809908","TWDB.2809908.LITH.2","Caliche","","eng","ft","6.00","feet","38.00","feet"
"TWDB","2809908","TWDB.2809908.LITH.3","Sandy Clay","","eng","ft","38.00","feet","96.00","feet"
"TWDB","2809908","TWDB.2809908.LITH.4","Sand and Gravel","","eng","ft","96.00","feet","108.00","feet"
"TWDB","2809908","TWDB.2809908.LITH.5","Sandy Clay","","eng","ft","108.00","feet","142.00","feet"
"TWDB","2809908","TWDB.2809908.LITH.6","Clay","","eng","ft","142.00","feet","152.00","feet"
"TWDB","2809908","TWDB.2809908.LITH.7","Sand and Gravel","","eng","ft","152.00","feet","181.00","feet"
"TWDB","2809908","TWDB.2809908.LITH.8","Red Bed","","eng","ft","181.00","feet","186.00","feet"
