"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0752616","TWDB.0752616.LITH.1","surface","","eng","ft","0.00","feet","245.00","feet"
"TWDB","0752616","TWDB.0752616.LITH.2","fine sand w/ sandy clay","","eng","ft","245.00","feet","280.00","feet"
"TWDB","0752616","TWDB.0752616.LITH.3","fine sand-fairly clean","","eng","ft","280.00","feet","316.00","feet"
"TWDB","0752616","TWDB.0752616.LITH.4","clay - red bed?","","eng","ft","316.00","feet","337.00","feet"
"TWDB","0757502","TWDB.0757502.LITH.1","soil","","eng","ft","0.00","feet","1.00","feet"
"TWDB","0757502","TWDB.0757502.LITH.2","caliche and clay","","eng","ft","1.00","feet","27.00","feet"
"TWDB","0757502","TWDB.0757502.LITH.3","rock","","eng","ft","27.00","feet","28.00","feet"
"TWDB","0757502","TWDB.0757502.LITH.4","sandy clay","","eng","ft","28.00","feet","75.00","feet"
"TWDB","0757502","TWDB.0757502.LITH.5","med-loose to tight sand w/sandstone","","eng","ft","75.00","feet","194.00","feet"
"TWDB","0757502","TWDB.0757502.LITH.6","rock","","eng","ft","194.00","feet","195.00","feet"
"TWDB","0757502","TWDB.0757502.LITH.7","med-loose to tight sand w/clay streaks","","eng","ft","195.00","feet","255.00","feet"
"TWDB","0757502","TWDB.0757502.LITH.8","loose, med-fine sand","","eng","ft","255.00","feet","282.00","feet"
"TWDB","0757502","TWDB.0757502.LITH.9","red beds","","eng","ft","282.00","feet","284.00","feet"
"TWDB","0758601","TWDB.0758601.LITH.1","soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","0758601","TWDB.0758601.LITH.2","caliche","","eng","ft","2.00","feet","28.00","feet"
"TWDB","0758601","TWDB.0758601.LITH.3","rock","","eng","ft","28.00","feet","33.00","feet"
"TWDB","0758601","TWDB.0758601.LITH.4","med-loose to tight sand w/sandstone","","eng","ft","33.00","feet","93.00","feet"
"TWDB","0758601","TWDB.0758601.LITH.5","tight to med-loose sand w/sandstone and sandy clay streaks","","eng","ft","93.00","feet","213.00","feet"
"TWDB","0758601","TWDB.0758601.LITH.6","med-loose sand w/sandstone","","eng","ft","213.00","feet","341.00","feet"
"TWDB","0758601","TWDB.0758601.LITH.7","med-loose to med-fine sand w/clay streaks","","eng","ft","341.00","feet","348.00","feet"
"TWDB","0758601","TWDB.0758601.LITH.8","med-loose to tight sand w/sandy clay","","eng","ft","348.00","feet","365.00","feet"
"TWDB","0758601","TWDB.0758601.LITH.9","red beds","","eng","ft","365.00","feet","368.00","feet"
"TWDB","0759101","TWDB.0759101.LITH.1","top soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0759101","TWDB.0759101.LITH.2","caliche","","eng","ft","4.00","feet","60.00","feet"
"TWDB","0759101","TWDB.0759101.LITH.3","sandy clay","","eng","ft","60.00","feet","105.00","feet"
"TWDB","0759101","TWDB.0759101.LITH.4","sand and stone","","eng","ft","105.00","feet","265.00","feet"
"TWDB","0759101","TWDB.0759101.LITH.5","clean brown sand","","eng","ft","265.00","feet","305.00","feet"
"TWDB","0759101","TWDB.0759101.LITH.6","shell","","eng","ft","305.00","feet","310.00","feet"
"TWDB","0759101","TWDB.0759101.LITH.7","sand","","eng","ft","310.00","feet","328.00","feet"
"TWDB","0759101","TWDB.0759101.LITH.8","red bed","","eng","ft","328.00","feet","334.00","feet"
"TWDB","0759201","TWDB.0759201.LITH.1","surface","","eng","ft","0.00","feet","300.00","feet"
"TWDB","0759201","TWDB.0759201.LITH.2","fine brown sand, thin streaks sandy","","eng","ft","300.00","feet","330.00","feet"
"TWDB","0759201","TWDB.0759201.LITH.3","fine sand","","eng","ft","330.00","feet","377.00","feet"
"TWDB","0759201","TWDB.0759201.LITH.4","sandy clay, streaks finesand","","eng","ft","377.00","feet","396.00","feet"
"TWDB","0759201","TWDB.0759201.LITH.5","blue clay and streaks fine sand","","eng","ft","396.00","feet","404.00","feet"
"TWDB","0759201","TWDB.0759201.LITH.6","red clay","","eng","ft","404.00","feet","419.00","feet"
"TWDB","0759501","TWDB.0759501.LITH.1","surface soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","0759501","TWDB.0759501.LITH.2","sand and clay","","eng","ft","5.00","feet","90.00","feet"
"TWDB","0759501","TWDB.0759501.LITH.3","sand and caliche shells","","eng","ft","90.00","feet","230.00","feet"
"TWDB","0759501","TWDB.0759501.LITH.4","light color sand","","eng","ft","230.00","feet","340.00","feet"
"TWDB","0759501","TWDB.0759501.LITH.5","yellow clay, gravel","","eng","ft","340.00","feet","375.00","feet"
"TWDB","0759501","TWDB.0759501.LITH.6","red bed","","eng","ft","375.00","feet","381.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.1","top soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.2","caliche","","eng","ft","3.00","feet","60.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.3","coarse white sand","","eng","ft","60.00","feet","150.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.4","sand and sandrock","","eng","ft","160.00","feet","210.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.5","fine white sand","","eng","ft","210.00","feet","225.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.6","rock","","eng","ft","225.00","feet","226.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.7","fine white sand and rock","","eng","ft","226.00","feet","270.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.8","med. fine sand","","eng","ft","270.00","feet","320.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.9","med. sand and sandy clay","","eng","ft","320.00","feet","360.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.10","sandy clay","","eng","ft","360.00","feet","370.00","feet"
"TWDB","0759602","TWDB.0759602.LITH.11","red bed","","eng","ft","370.00","feet","375.00","feet"
"TWDB","0760101","TWDB.0760101.LITH.1","surface","","eng","ft","0.00","feet","280.00","feet"
"TWDB","0760101","TWDB.0760101.LITH.2","medium blue sand, clean","","eng","ft","280.00","feet","315.00","feet"
"TWDB","0760101","TWDB.0760101.LITH.3","same, only sand ins red","","eng","ft","315.00","feet","380.00","feet"
"TWDB","0760101","TWDB.0760101.LITH.4","fine blue sand","","eng","ft","380.00","feet","395.00","feet"
"TWDB","0760101","TWDB.0760101.LITH.5","same, some blue clay","","eng","ft","395.00","feet","407.00","feet"
"TWDB","0760101","TWDB.0760101.LITH.6","red bed","","eng","ft","407.00","feet","420.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.1","soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.2","caliche, clay and sandy clay","","eng","ft","4.00","feet","50.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.3","hard rock","","eng","ft","50.00","feet","53.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.4","soft sandrock","","eng","ft","53.00","feet","58.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.5","sandy clay","","eng","ft","58.00","feet","115.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.6","med-loose, med-fine sand w/ clay @ 121'","","eng","ft","115.00","feet","148.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.7","rock","","eng","ft","148.00","feet","149.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.8","med-loose to loose, fine sand","","eng","ft","149.00","feet","168.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.9","gravel","","eng","ft","168.00","feet","169.00","feet"
"TWDB","1001401","TWDB.1001401.LITH.10","red beds","","eng","ft","169.00","feet","172.00","feet"
"TWDB","1009101","TWDB.1009101.LITH.1","surface","","eng","ft","0.00","feet","5.00","feet"
"TWDB","1009101","TWDB.1009101.LITH.2","flint rock","","eng","ft","5.00","feet","8.00","feet"
"TWDB","1009101","TWDB.1009101.LITH.3","caliche","","eng","ft","8.00","feet","20.00","feet"
"TWDB","1009101","TWDB.1009101.LITH.4","caliche with streak sand","","eng","ft","20.00","feet","85.00","feet"
"TWDB","1009101","TWDB.1009101.LITH.5","rock","","eng","ft","85.00","feet","87.00","feet"
"TWDB","1009101","TWDB.1009101.LITH.6","coarse sand","","eng","ft","87.00","feet","128.00","feet"
"TWDB","1009101","TWDB.1009101.LITH.7","' '","","eng","ft","128.00","feet","145.00","feet"
"TWDB","1009101","TWDB.1009101.LITH.8","red clay","","eng","ft","145.00","feet","175.00","feet"
"TWDB","1009601","TWDB.1009601.LITH.1","top soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","1009601","TWDB.1009601.LITH.2","caliche","","eng","ft","3.00","feet","28.00","feet"
"TWDB","1009601","TWDB.1009601.LITH.3","cap rock","","eng","ft","28.00","feet","30.00","feet"
"TWDB","1009601","TWDB.1009601.LITH.4","sand stone","","eng","ft","30.00","feet","45.00","feet"
"TWDB","1009601","TWDB.1009601.LITH.5","fine brown sand","","eng","ft","45.00","feet","78.00","feet"
"TWDB","1009601","TWDB.1009601.LITH.6","medium coarse river sand with some gravel","","eng","ft","78.00","feet","80.00","feet"
"TWDB","1009601","TWDB.1009601.LITH.7","red bed","","eng","ft","80.00","","",""
"TWDB","1013307","TWDB.1013307.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","1013307","TWDB.1013307.LITH.2","Caliche","","eng","ft","3.00","feet","70.00","feet"
