"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","1202619","TWDB.1202619.LITH.1","Surface & sandy clay","","eng","ft","0.00","feet","20.00","feet"
"TWDB","1202619","TWDB.1202619.LITH.2","Med to coarse sand","","eng","ft","20.00","feet","40.00","feet"
"TWDB","1202619","TWDB.1202619.LITH.3","Fine to med sand","","eng","ft","40.00","feet","80.00","feet"
"TWDB","1202619","TWDB.1202619.LITH.4","Med to coarse sand w/gravel","","eng","ft","80.00","feet","104.00","feet"
"TWDB","1202619","TWDB.1202619.LITH.5","Fine sand w/sandy clay strips","","eng","ft","104.00","feet","205.00","feet"
"TWDB","1202619","TWDB.1202619.LITH.6","Br clay","","eng","ft","205.00","feet","225.00","feet"
"TWDB","1203422","TWDB.1203422.LITH.1","BROWN TOPSOIL","","eng","ft","0.00","feet","2.00","feet"
"TWDB","1203422","TWDB.1203422.LITH.2","BROWN POWDER SAND FINE","","eng","ft","2.00","feet","10.00","feet"
"TWDB","1203422","TWDB.1203422.LITH.3","TAN CLAY","","eng","ft","10.00","feet","19.00","feet"
"TWDB","1203422","TWDB.1203422.LITH.4","SAND & GRAVEL","","eng","ft","19.00","feet","21.00","feet"
"TWDB","1203422","TWDB.1203422.LITH.5","TAN CLAY STREAKS OF SAND","","eng","ft","21.00","feet","84.00","feet"
"TWDB","1203422","TWDB.1203422.LITH.6","SAND & GRAVEL","","eng","ft","84.00","feet","169.00","feet"
"TWDB","1203422","TWDB.1203422.LITH.7","RED CLAY","","eng","ft","169.00","feet","180.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.1","sand","","eng","ft","0.00","feet","9.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.2","cleche","","eng","ft","9.00","feet","26.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.3","sand gravel","","eng","ft","26.00","feet","89.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.4","sandstone","","eng","ft","89.00","feet","100.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.5","brown clay","","eng","ft","100.00","feet","111.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.6","sand gravel","","eng","ft","111.00","feet","145.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.7","sandstone","","eng","ft","145.00","feet","156.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.8","clay","","eng","ft","156.00","feet","160.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.9","sand gravel","","eng","ft","160.00","feet","178.00","feet"
"TWDB","1203423","TWDB.1203423.LITH.10","red clay","","eng","ft","178.00","feet","185.00","feet"
"TWDB","1211607","TWDB.1211607.LITH.1","light brown sandy clay","","eng","ft","0.00","feet","40.00","feet"
"TWDB","1211607","TWDB.1211607.LITH.2","reddish brown clayey sand","","eng","ft","40.00","feet","100.00","feet"
"TWDB","1211607","TWDB.1211607.LITH.3","brown dirty sand with some gravel strks","","eng","ft","100.00","feet","160.00","feet"
"TWDB","1211607","TWDB.1211607.LITH.4","fine brown sand","","eng","ft","160.00","feet","180.00","feet"
"TWDB","1211607","TWDB.1211607.LITH.5","coarse brown clean sand with some gravel","","eng","ft","180.00","feet","210.00","feet"
"TWDB","1211607","TWDB.1211607.LITH.6","reddish brown clay","","eng","ft","210.00","feet","223.00","feet"
"TWDB","1202812","TWDB.1202812.LITH.1","Top Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","1202812","TWDB.1202812.LITH.2","Caliche","","eng","ft","5.00","feet","22.00","feet"
"TWDB","1202812","TWDB.1202812.LITH.3","Clay","","eng","ft","22.00","feet","84.00","feet"
"TWDB","1202812","TWDB.1202812.LITH.4","Sand, Gravel","","eng","ft","84.00","feet","125.00","feet"
"TWDB","1202812","TWDB.1202812.LITH.5","Clay","","eng","ft","125.00","feet","128.00","feet"
"TWDB","1204452","TWDB.1204452.LITH.1","Clay","","eng","ft","0.00","feet","70.00","feet"
"TWDB","1204452","TWDB.1204452.LITH.2","Clay, Sandy Clay with Fine Brown Sand","","eng","ft","70.00","feet","170.00","feet"
"TWDB","1204452","TWDB.1204452.LITH.3","Good Sand and Gravel","","eng","ft","170.00","feet","180.00","feet"
"TWDB","1204452","TWDB.1204452.LITH.4","Fine Sand and Sandy Clay","","eng","ft","180.00","feet","200.00","feet"
"TWDB","1204452","TWDB.1204452.LITH.5","Good Sand and Gravel","","eng","ft","200.00","feet","234.00","feet"
"TWDB","1204452","TWDB.1204452.LITH.6","Red Bed","","eng","ft","234.00","","",""
"TWDB","0551715","TWDB.0551715.LITH.1","Top Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.2","Clay","","eng","ft","5.00","feet","26.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.3","Clay, Hard Rock","","eng","ft","26.00","feet","64.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.4","Clay","","eng","ft","64.00","feet","82.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.5","Sand Rock, Clay","","eng","ft","82.00","feet","106.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.6","Sand Gravel","","eng","ft","106.00","feet","152.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.7","Clay","","eng","ft","152.00","feet","184.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.8","Sand Gravel","","eng","ft","184.00","feet","238.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.9","Clay","","eng","ft","238.00","feet","246.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.10","Coarse Sand and Fine Gravel","","eng","ft","246.00","feet","263.00","feet"
"TWDB","0551715","TWDB.0551715.LITH.11","Red Bed","","eng","ft","263.00","feet","265.00","feet"
"TWDB","0664811","TWDB.0664811.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","0664811","TWDB.0664811.LITH.2","Caliche","","eng","ft","3.00","feet","16.00","feet"
"TWDB","0664811","TWDB.0664811.LITH.3","Sand, Gravel - Dry","","eng","ft","16.00","feet","23.00","feet"
"TWDB","0664811","TWDB.0664811.LITH.4","Clay","","eng","ft","23.00","feet","42.00","feet"
"TWDB","0664811","TWDB.0664811.LITH.5","Clay, Rock Ledges","","eng","ft","42.00","feet","124.00","feet"
"TWDB","0664811","TWDB.0664811.LITH.6","Sand, Gravel","","eng","ft","124.00","feet","168.00","feet"
"TWDB","0664811","TWDB.0664811.LITH.7","Clay","","eng","ft","168.00","feet","172.00","feet"
"TWDB","0664811","TWDB.0664811.LITH.8","Gravel, Clay Streaks","","eng","ft","172.00","feet","201.00","feet"
"TWDB","0664811","TWDB.0664811.LITH.9","Red Bed","","eng","ft","201.00","feet","203.00","feet"
"TWDB","1108308","TWDB.1108308.LITH.1","Caliche and Sand, Mixed","","eng","ft","0.00","feet","55.00","feet"
"TWDB","1108308","TWDB.1108308.LITH.2","Caliche","","eng","ft","55.00","feet","90.00","feet"
"TWDB","1108308","TWDB.1108308.LITH.3","Sand, Loose and Gravel","","eng","ft","90.00","feet","118.00","feet"
"TWDB","1108308","TWDB.1108308.LITH.4","Sand, Fine and Gravel","","eng","ft","118.00","feet","165.00","feet"
"TWDB","1108308","TWDB.1108308.LITH.5","Red Bed","","eng","ft","165.00","feet","166.00","feet"
"TWDB","1108101","TWDB.1108101.LITH.1","Top Soil","","eng","ft","0.00","feet","1.00","feet"
"TWDB","1108101","TWDB.1108101.LITH.2","Caliche","","eng","ft","1.00","feet","14.00","feet"
