"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","1152611","TWDB.1152611.LITH.1","TOP SOIL","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.2","CALICHE AND CLAY","","eng","ft","4.00","feet","26.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.3","HARD CAPROCK","","eng","ft","26.00","feet","34.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.4","SANDSTONE, ROCK STRKS","","eng","ft","34.00","feet","65.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.5","BROWN CLAY","","eng","ft","65.00","feet","77.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.6","FINE SAND, SANDSTONE","","eng","ft","77.00","feet","112.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.7","SANDY CLAY, SAND, SANDSTONE","","eng","ft","112.00","feet","164.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.8","TIGHT SAND, SANDSTONE","","eng","ft","164.00","feet","200.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.9","SAND, SANDSTONE, GRVL STRKS","","eng","ft","200.00","feet","239.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.10","SAND, GRAVEL, SANDSTONE","","eng","ft","239.00","feet","252.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.11","SAND, SANDSTONE, GRAVEL STRK","","eng","ft","252.00","feet","270.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.12","SAND, GRAVEL, CLAY STRKS","","eng","ft","270.00","feet","292.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.13","SAND, GRAVEL, SANDSTONE","","eng","ft","292.00","feet","320.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.14","COARSE SAND, GRAVEL","","eng","ft","320.00","feet","335.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.15","LIMEROCK, GRAVEL","","eng","ft","335.00","feet","339.00","feet"
"TWDB","1152611","TWDB.1152611.LITH.16","RED","","eng","ft","339.00","feet","344.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.1","TOP SOIL","","eng","ft","0.00","feet","4.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.2","CALICHE","","eng","ft","4.00","feet","12.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.3","CLAY AND SAND","","eng","ft","12.00","feet","24.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.4","HARD CAPROCK","","eng","ft","24.00","feet","33.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.5","ROCK STREAKS AND CLAY","","eng","ft","33.00","feet","79.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.6","BROWN CLAY & SAND STREAKS","","eng","ft","79.00","feet","94.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.7","SANDY CLAY & SAND","","eng","ft","94.00","feet","121.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.8","SANDY CLAY & SANDSTONE","","eng","ft","121.00","feet","180.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.9","SANDY CLAY, GRAVEL STREAKS","","eng","ft","180.00","feet","213.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.10","HARD GRAVEL & SANDY CLAY","","eng","ft","213.00","feet","248.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.11","SANDY CLAY & SAND","","eng","ft","248.00","feet","276.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.12","COARSE SAND, GRAVEL, CLAY","","eng","ft","276.00","feet","313.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.13","HARD GRAVEL, SAND STREAKS","","eng","ft","313.00","feet","345.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.14","SANDY CLAY & SAND","","eng","ft","345.00","feet","357.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.15","SANDY BLUE CLAY","","eng","ft","357.00","feet","360.00","feet"
"TWDB","2307505","TWDB.2307505.LITH.16","BLUE","","eng","ft","360.00","feet","367.00","feet"
"TWDB","1161204","TWDB.1161204.LITH.1","Top Soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","1161204","TWDB.1161204.LITH.2","Chalky Materials","","eng","ft","2.00","feet","14.00","feet"
"TWDB","1161204","TWDB.1161204.LITH.3","White Rock","","eng","ft","14.00","feet","55.00","feet"
