"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2336801","TWDB.2336801.LITH.1","surface","","eng","ft","0.00","feet","4.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.2","caliche","","eng","ft","4.00","feet","35.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.3","blue clay","","eng","ft","35.00","feet","50.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.4","white clay","","eng","ft","50.00","feet","65.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.5","?","","eng","ft","65.00","feet","129.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.6","blue","","eng","ft","129.00","feet","133.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.7","rock","","eng","ft","133.00","feet","137.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.8","yellow clay","","eng","ft","137.00","feet","146.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.9","rock","","eng","ft","146.00","feet","156.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.10","blue","","eng","ft","156.00","feet","158.00","feet"
"TWDB","2336801","TWDB.2336801.LITH.11","red","","eng","ft","158.00","feet","166.00","feet"
"TWDB","2344904","TWDB.2344904.LITH.1","surface","","eng","ft","0.00","feet","4.00","feet"
"TWDB","2344904","TWDB.2344904.LITH.2","caliche","","eng","ft","4.00","feet","28.00","feet"
"TWDB","2344904","TWDB.2344904.LITH.3","boulders","","eng","ft","28.00","feet","35.00","feet"
"TWDB","2344904","TWDB.2344904.LITH.4","brown clay","","eng","ft","35.00","feet","50.00","feet"
"TWDB","2344904","TWDB.2344904.LITH.5","brown sand clay","","eng","ft","50.00","feet","70.00","feet"
"TWDB","2344904","TWDB.2344904.LITH.6","sand","","eng","ft","70.00","feet","86.00","feet"
"TWDB","2344904","TWDB.2344904.LITH.7","white clay","","eng","ft","86.00","feet","97.00","feet"
