"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0534507","TWDB.0534507.LITH.1","Sandy Caliche","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0534507","TWDB.0534507.LITH.2","Black Sandy Clay","","eng","ft","4.00","feet","55.00","feet"
"TWDB","0534507","TWDB.0534507.LITH.3","Sand and Gravel","","eng","ft","55.00","feet","86.00","feet"
"TWDB","0534507","TWDB.0534507.LITH.4","Clay","","eng","ft","86.00","feet","88.00","feet"
"TWDB","0526501","TWDB.0526501.LITH.1","top soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","0526501","TWDB.0526501.LITH.2","caliche and clay","","eng","ft","3.00","feet","150.00","feet"
"TWDB","0526501","TWDB.0526501.LITH.3","dry sand and shells","","eng","ft","150.00","feet","360.00","feet"
"TWDB","0526501","TWDB.0526501.LITH.4","fine sand","","eng","ft","360.00","feet","400.00","feet"
"TWDB","0526501","TWDB.0526501.LITH.5","fine sand clay and shells","","eng","ft","400.00","feet","537.00","feet"
"TWDB","0526501","TWDB.0526501.LITH.6","clay","","eng","ft","537.00","","",""
"TWDB","0527802","TWDB.0527802.LITH.1","top soil, caliche, sand, sandstone, clay","","eng","ft","0.00","feet","140.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.2","fine sand, sandstone","","eng","ft","140.00","feet","172.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.3","fine sand & sandstone","","eng","ft","172.00","feet","203.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.4","fine sand, sandstoned clay streaks","","eng","ft","203.00","feet","233.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.5","fine sand, sandstoned clay streaks","","eng","ft","233.00","feet","264.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.6","fine sand, sandstoned clay streaks","","eng","ft","264.00","feet","294.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.7","fine sand, sandstone","","eng","ft","294.00","feet","325.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.8","fine sand, sandstone","","eng","ft","325.00","feet","355.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.9","fine sand, sanstone, clay","","eng","ft","355.00","feet","386.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.10","fine sand","","eng","ft","386.00","feet","416.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.11","fine sand","","eng","ft","416.00","feet","447.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.12","fine to med. sand, clay streaks","","eng","ft","447.00","feet","477.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.13","fine to med. sand, red clay streaks","","eng","ft","477.00","feet","508.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.14","fine to med. to coarse sand, red clay","","eng","ft","508.00","feet","538.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.15","red clay","","eng","ft","538.00","feet","569.00","feet"
"TWDB","0527802","TWDB.0527802.LITH.16","red clay","","eng","ft","569.00","feet","599.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.1","Top Soil","","eng","ft","0.00","feet","6.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.2","Caliche Clay","","eng","ft","6.00","feet","100.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.3","Fine Sand","","eng","ft","100.00","feet","140.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.4","Clay & Fine Sand","","eng","ft","140.00","feet","172.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.5","Clay","","eng","ft","172.00","feet","203.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.6","Clay & Fine Sand","","eng","ft","203.00","feet","233.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.7","Fine Sand & Clay","","eng","ft","233.00","feet","264.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.8","Fine Sand","","eng","ft","264.00","feet","294.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.9","Fine Sand","","eng","ft","294.00","feet","325.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.10","Fine Sand Clay","","eng","ft","325.00","feet","330.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.11","Med. Sand & Fine Gravel","","eng","ft","330.00","feet","355.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.12","Fine Sand & Sandy Clay Streaks","","eng","ft","355.00","feet","386.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.13","Fine Sand & Sandy Clay Streaks","","eng","ft","386.00","feet","416.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.14","Fine Sand & Clay","","eng","ft","416.00","feet","447.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.15","Fine Sand, Sandy Clay Streaks","","eng","ft","447.00","feet","477.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.16","Fine Sand","","eng","ft","477.00","feet","508.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.17","Fine Sand","","eng","ft","508.00","feet","538.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.18","Med. Sand","","eng","ft","538.00","feet","569.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.19","Med. Sand & Little Clay Streaks","","eng","ft","569.00","feet","599.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.20","Coarse Sand","","eng","ft","599.00","feet","615.00","feet"
"TWDB","0525601","TWDB.0525601.LITH.21","Red Bed","","eng","ft","630.00","feet","660.00","feet"
"TWDB","0536705","TWDB.0536705.LITH.1","Black Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0536705","TWDB.0536705.LITH.2","Fine Dirty Water Sand","","eng","ft","4.00","feet","30.00","feet"
"TWDB","0536705","TWDB.0536705.LITH.3","Sand and Caliche","","eng","ft","30.00","feet","52.00","feet"
"TWDB","0536705","TWDB.0536705.LITH.4","Fine Sand","","eng","ft","52.00","feet","64.00","feet"
"TWDB","0536705","TWDB.0536705.LITH.5","Red Rock","","eng","ft","64.00","feet","67.00","feet"
"TWDB","0536705","TWDB.0536705.LITH.6","TD","","eng","ft","67.00","","",""
"TWDB","0552111","TWDB.0552111.LITH.1","Black Sandy Top Soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","0552111","TWDB.0552111.LITH.2","Black Sticky Clay","","eng","ft","2.00","feet","12.00","feet"
"TWDB","0552111","TWDB.0552111.LITH.3","Yellow Sandy Clay","","eng","ft","12.00","feet","21.00","feet"
"TWDB","0552111","TWDB.0552111.LITH.4","White Sandy Caliche","","eng","ft","21.00","feet","83.00","feet"
"TWDB","0552111","TWDB.0552111.LITH.5","Coarse White Sand","","eng","ft","83.00","feet","105.00","feet"
"TWDB","0552111","TWDB.0552111.LITH.6","Coarse Sand and Gravel","","eng","ft","105.00","feet","109.00","feet"
"TWDB","0552111","TWDB.0552111.LITH.7","White Sand and Gravel","","eng","ft","109.00","feet","135.00","feet"
"TWDB","0552111","TWDB.0552111.LITH.8","Pink and White Caliche Sand","","eng","ft","135.00","feet","143.00","feet"
"TWDB","0552111","TWDB.0552111.LITH.9","Sandy Gravel","","eng","ft","143.00","feet","155.00","feet"
"TWDB","0552111","TWDB.0552111.LITH.10","Red and Yellow Clay","","eng","ft","155.00","feet","193.00","feet"
"TWDB","0632803","TWDB.0632803.LITH.1","Surface","","eng","ft","0.00","feet","370.00","feet"
"TWDB","0632803","TWDB.0632803.LITH.2","Coarse Loose Sand and some Small Gravel","","eng","ft","370.00","feet","475.00","feet"
"TWDB","0632803","TWDB.0632803.LITH.3","Soft Mushy Red Clay and Fine Clean Sand","","eng","ft","475.00","feet","495.00","feet"
"TWDB","0632803","TWDB.0632803.LITH.4","Red Clay","","eng","ft","495.00","feet","520.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.1","Overburden","","eng","ft","0.00","feet","40.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.2","Caliche","","eng","ft","40.00","feet","70.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.3","Caliche and Fine Sand","","eng","ft","70.00","feet","100.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.4","Caliche and Fine Sand","","eng","ft","100.00","feet","130.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.5","Caliche and Fine Sand","","eng","ft","130.00","feet","160.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.6","Sand and Clay","","eng","ft","160.00","feet","190.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.7","Sand and Clay","","eng","ft","190.00","feet","220.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.8","Sand and Clay","","eng","ft","220.00","feet","230.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.9","Sand and Clay","","eng","ft","230.00","feet","260.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.10","Clay Streaks and Sand","","eng","ft","260.00","feet","290.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.11","Coarse Sand w/ Clay Streaks","","eng","ft","290.00","feet","320.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.12","Coarse Sand w/ Clay Streaks","","eng","ft","320.00","feet","350.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.13","Coarse Sand / Clay, Fine Gravel","","eng","ft","350.00","feet","380.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.14","Gravel and Sand Rock","","eng","ft","380.00","feet","410.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.15","Gravel, Sand and Clay Streaks","","eng","ft","410.00","feet","440.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.16","Coarse Gravel and Sand","","eng","ft","440.00","feet","470.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.17","Clay Streaks, Gravel","","eng","ft","470.00","feet","500.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.18","Gravel, Sand and Clay Streaks","","eng","ft","500.00","feet","520.00","feet"
"TWDB","0640501","TWDB.0640501.LITH.19","Red Bed","","eng","ft","520.00","feet","522.00","feet"
"TWDB","0648253","TWDB.0648253.LITH.1","Surface","","eng","ft","0.00","feet","340.00","feet"
"TWDB","0648253","TWDB.0648253.LITH.2","Fine sand & sandy clay","","eng","ft","340.00","feet","405.00","feet"
"TWDB","0648253","TWDB.0648253.LITH.3","Clay","","eng","ft","405.00","feet","433.00","feet"
"TWDB","0648253","TWDB.0648253.LITH.4","Fine sand","","eng","ft","433.00","feet","450.00","feet"
"TWDB","0648253","TWDB.0648253.LITH.5","Coarse sand & gravel","","eng","ft","450.00","feet","557.00","feet"
"TWDB","0648253","TWDB.0648253.LITH.6","Red clay","","eng","ft","557.00","feet","572.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.2","Red Sandy Clay and Caliche","","eng","ft","3.00","feet","107.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.3","Sandy Yellow Clay","","eng","ft","107.00","feet","185.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.4","Sand and gravel","","eng","ft","185.00","feet","200.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.5","Sandstone","","eng","ft","200.00","feet","233.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.6","Sandy Yellow Clay and Shale","","eng","ft","233.00","feet","383.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.7","Gravel and Sand","","eng","ft","383.00","feet","395.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.8","Yellow Clay","","eng","ft","395.00","feet","405.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.9","Sand and Gravel","","eng","ft","405.00","feet","477.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.10","Red Sandy Clay and Gravel","","eng","ft","477.00","feet","509.00","feet"
"TWDB","0533401","TWDB.0533401.LITH.11","Red Clay and White Shale","","eng","ft","509.00","feet","524.00","feet"
"TWDB","0656306","TWDB.0656306.LITH.1","Top Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","0656306","TWDB.0656306.LITH.2","Caliche","","eng","ft","5.00","feet","25.00","feet"
"TWDB","0656306","TWDB.0656306.LITH.3","Rock, clay & strips of sand","","eng","ft","25.00","feet","55.00","feet"
"TWDB","0656306","TWDB.0656306.LITH.4","Sandy clay & rock","","eng","ft","55.00","feet","155.00","feet"
"TWDB","0656306","TWDB.0656306.LITH.5","Coarse sand & gravel","","eng","ft","155.00","feet","185.00","feet"
"TWDB","0656306","TWDB.0656306.LITH.6","sandrock & strips of clay","","eng","ft","185.00","feet","240.00","feet"
"TWDB","0656306","TWDB.0656306.LITH.7","Sand","","eng","ft","240.00","feet","275.00","feet"
"TWDB","0656306","TWDB.0656306.LITH.8","Sandy clay & sand rock","","eng","ft","275.00","feet","305.00","feet"
