"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","1158417","TWDB.1158417.LITH.1","topsoil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1158417","TWDB.1158417.LITH.2","caliche","","eng","ft","4.00","feet","15.00","feet"
"TWDB","1158417","TWDB.1158417.LITH.3","brown sandy clay","","eng","ft","15.00","feet","120.00","feet"
"TWDB","1158417","TWDB.1158417.LITH.4","sandstone and brown clay","","eng","ft","120.00","feet","218.00","feet"
"TWDB","1158417","TWDB.1158417.LITH.5","sand and gravel","","eng","ft","218.00","feet","330.00","feet"
"TWDB","1158417","TWDB.1158417.LITH.6","red clay","","eng","ft","330.00","feet","335.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.1","top soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.2","caliche","","eng","ft","2.00","feet","17.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.3","brown clay","","eng","ft","17.00","feet","74.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.4","sand","","eng","ft","74.00","feet","98.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.5","brown sandy clay","","eng","ft","98.00","feet","101.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.6","sand","","eng","ft","101.00","feet","120.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.7","brown sandy clay","","eng","ft","120.00","feet","158.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.8","sand","","eng","ft","158.00","feet","171.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.9","sand & brown clay mix","","eng","ft","171.00","feet","179.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.10","sand","","eng","ft","179.00","feet","234.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.11","white sandy clay","","eng","ft","234.00","feet","248.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.12","brown sandy clay","","eng","ft","248.00","feet","273.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.13","sand","","eng","ft","273.00","feet","278.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.14","brown clay","","eng","ft","278.00","feet","281.00","feet"
"TWDB","2408803","TWDB.2408803.LITH.15","red bed","","eng","ft","281.00","feet","283.00","feet"
"TWDB","1159202","TWDB.1159202.LITH.1","Soil, Caliche and Clay","","eng","ft","0.00","feet","34.00","feet"
"TWDB","1159202","TWDB.1159202.LITH.2","Cap Rock","","eng","ft","34.00","feet","55.00","feet"
"TWDB","1159202","TWDB.1159202.LITH.3","Sandy Clay","","eng","ft","55.00","feet","80.00","feet"
"TWDB","1159202","TWDB.1159202.LITH.4","Tight Sand and Shale","","eng","ft","80.00","feet","105.00","feet"
"TWDB","1159202","TWDB.1159202.LITH.5","Fine Sand","","eng","ft","105.00","feet","145.00","feet"
"TWDB","1159202","TWDB.1159202.LITH.6","Coarse Water Sand","","eng","ft","145.00","feet","230.00","feet"
"TWDB","1159202","TWDB.1159202.LITH.7","Shale and Clay","","eng","ft","230.00","feet","255.00","feet"
"TWDB","1159202","TWDB.1159202.LITH.8","River Sand and Gravel","","eng","ft","255.00","feet","312.00","feet"
"TWDB","1159202","TWDB.1159202.LITH.9","Red Bed","","eng","ft","312.00","feet","315.00","feet"
"TWDB","1157202","TWDB.1157202.LITH.1","Top Soil","","eng","ft","0.00","feet","5.00","feet"
