"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0336501","TWDB.0336501.LITH.1","Top Soil","","eng","ft","0.00","feet","20.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.2","Caliche","","eng","ft","20.00","feet","80.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.3","Sand Rock and Clay","","eng","ft","80.00","feet","180.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.4","Clay and Strips Sand","","eng","ft","180.00","feet","200.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.5","Clay and Strips Sand","","eng","ft","200.00","feet","220.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.6","Sand","","eng","ft","220.00","feet","240.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.7","Sand and Clay Streaks","","eng","ft","240.00","feet","260.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.8","Sand and Clay Streaks","","eng","ft","260.00","feet","280.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.9","Sand","","eng","ft","280.00","feet","300.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.10","Clay, some Sand","","eng","ft","300.00","feet","320.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.11","Sand and Clay Streaks","","eng","ft","320.00","feet","340.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.12","Coarse Sand","","eng","ft","340.00","feet","360.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.13","Sand and Clay Streaks","","eng","ft","360.00","feet","380.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.14","Clay and Sand Streaks","","eng","ft","380.00","feet","400.00","feet"
"TWDB","0336501","TWDB.0336501.LITH.15","Red Bed","","eng","ft","400.00","","",""
"TWDB","0339201","TWDB.0339201.LITH.1","Top Soil & Caliche","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.2","Coarse Sand","","eng","ft","200.00","feet","220.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.3","Clay & Coarse sand","","eng","ft","220.00","feet","260.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.4","Medium to fine sand","","eng","ft","260.00","feet","280.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.5","Coarse Sand","","eng","ft","280.00","feet","300.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.6","Medium to Coarse Sand","","eng","ft","300.00","feet","350.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.7","Coarse Sand","","eng","ft","350.00","feet","390.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.8","Medium Sand","","eng","ft","390.00","feet","400.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.9","Coarse Sand","","eng","ft","400.00","feet","450.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.10","Coarse Sand w/Clay Streaks","","eng","ft","450.00","feet","500.00","feet"
"TWDB","0339201","TWDB.0339201.LITH.11","Red Bed","","eng","ft","500.00","","",""
"TWDB","0347104","TWDB.0347104.LITH.1","Topsoil and Clay","","eng","ft","0.00","feet","17.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.2","Clay and Gyp Clay","","eng","ft","17.00","feet","21.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.3","Rock","","eng","ft","21.00","feet","35.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.4","Hard Rock","","eng","ft","35.00","feet","39.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.5","Clay","","eng","ft","39.00","feet","41.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.6","Rock","","eng","ft","41.00","feet","43.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.7","Hard Rock","","eng","ft","43.00","feet","50.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.8","Hard Rock and Streaks of Clay","","eng","ft","50.00","feet","63.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.9","Sand","","eng","ft","63.00","feet","70.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.10","Sand and Streaks ofClay","","eng","ft","70.00","feet","76.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.11","Clay","","eng","ft","76.00","feet","119.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.12","Fine Sand","","eng","ft","119.00","feet","127.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.13","Clay","","eng","ft","127.00","feet","131.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.14","Fine Sand and Streaks of Clay","","eng","ft","131.00","feet","141.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.15","Clay","","eng","ft","141.00","feet","145.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.16","Fine Sand","","eng","ft","145.00","feet","181.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.17","Clay","","eng","ft","181.00","feet","183.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.18","Sand","","eng","ft","183.00","feet","190.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.19","Clay","","eng","ft","190.00","feet","193.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.20","Sand","","eng","ft","193.00","feet","221.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.21","Clay","","eng","ft","221.00","feet","230.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.22","Fine Sand and Clay","","eng","ft","230.00","feet","242.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.23","Fine Sand","","eng","ft","242.00","feet","257.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.24","Clay","","eng","ft","257.00","feet","259.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.25","Sand","","eng","ft","259.00","feet","272.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.26","Sandy Clay","","eng","ft","272.00","feet","286.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.27","Fine Sand","","eng","ft","286.00","feet","336.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.28","Clay","","eng","ft","336.00","feet","338.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.29","Fine Sand","","eng","ft","338.00","feet","359.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.30","Clay","","eng","ft","359.00","feet","361.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.31","Fine Sand","","eng","ft","361.00","feet","370.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.32","Clay","","eng","ft","370.00","feet","373.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.33","Sand","","eng","ft","373.00","feet","421.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.34","Clay and Streaks of Sand","","eng","ft","421.00","feet","427.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.35","Sand","","eng","ft","427.00","feet","443.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.36","Clay","","eng","ft","443.00","feet","446.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.37","Sand","","eng","ft","446.00","feet","461.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.38","Clay","","eng","ft","461.00","feet","464.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.39","Sand and Clay","","eng","ft","464.00","feet","472.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.40","Sand","","eng","ft","472.00","feet","485.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.41","Sand and Sandy Clay","","eng","ft","485.00","feet","490.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.42","Sand","","eng","ft","490.00","feet","529.00","feet"
"TWDB","0347104","TWDB.0347104.LITH.43","Red Bed","","eng","ft","529.00","","",""
