"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0263702","TWDB.0263702.LITH.1","top soil caliche sand clay","","eng","ft","0.00","feet","40.00","feet"
"TWDB","0263702","TWDB.0263702.LITH.2","fine to med. sand loose","","eng","ft","40.00","feet","120.00","feet"
"TWDB","0263702","TWDB.0263702.LITH.3","coarse sand & gravel","","eng","ft","120.00","feet","185.00","feet"
"TWDB","0263702","TWDB.0263702.LITH.4","clay","","eng","ft","185.00","feet","200.00","feet"
"TWDB","0263702","TWDB.0263702.LITH.5","med. sand","","eng","ft","200.00","feet","215.00","feet"
"TWDB","0263702","TWDB.0263702.LITH.6","clay","","eng","ft","215.00","feet","230.00","feet"
"TWDB","0263702","TWDB.0263702.LITH.7","med. sand few clay streaks","","eng","ft","230.00","feet","340.00","feet"
"TWDB","0263702","TWDB.0263702.LITH.8","fine to med sand","","eng","ft","340.00","feet","400.00","feet"
"TWDB","0263702","TWDB.0263702.LITH.9","med. to coarse sand","","eng","ft","400.00","feet","520.00","feet"
"TWDB","0263702","TWDB.0263702.LITH.10","brown & blue clay red bed","","eng","ft","520.00","feet","535.00","feet"
"TWDB","0261703","TWDB.0261703.LITH.1","top soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","0261703","TWDB.0261703.LITH.2","clay","","eng","ft","5.00","feet","60.00","feet"
"TWDB","0261703","TWDB.0261703.LITH.3","caliche","","eng","ft","60.00","feet","85.00","feet"
"TWDB","0261703","TWDB.0261703.LITH.4","sandy clay","","eng","ft","85.00","feet","290.00","feet"
"TWDB","0261703","TWDB.0261703.LITH.5","sand","","eng","ft","290.00","feet","485.00","feet"
"TWDB","0261703","TWDB.0261703.LITH.6","hard clay - brown to red bed","","eng","ft","485.00","feet","519.00","feet"
"TWDB","0262501","TWDB.0262501.LITH.1","Top Soil","","eng","ft","0.00","feet","6.00","feet"
"TWDB","0262501","TWDB.0262501.LITH.2","Caliche","","eng","ft","6.00","feet","25.00","feet"
"TWDB","0262501","TWDB.0262501.LITH.3","Rock","","eng","ft","25.00","feet","29.00","feet"
"TWDB","0262501","TWDB.0262501.LITH.4","clay","","eng","ft","29.00","feet","54.00","feet"
"TWDB","0262501","TWDB.0262501.LITH.5","sand","","eng","ft","54.00","feet","130.00","feet"
