"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0532203","TWDB.0532203.LITH.1","Sand","","eng","ft","0.00","feet","170.00","feet"
"TWDB","0532203","TWDB.0532203.LITH.2","60% sand and clay","","eng","ft","170.00","feet","197.00","feet"
"TWDB","0464901","TWDB.0464901.LITH.1","Clay","","eng","ft","0.00","feet","20.00","feet"
"TWDB","0464901","TWDB.0464901.LITH.2","Sand Streaks Clay","","eng","ft","20.00","feet","50.00","feet"
"TWDB","0464901","TWDB.0464901.LITH.3","Clay","","eng","ft","50.00","feet","70.00","feet"
"TWDB","0464901","TWDB.0464901.LITH.4","Sand Medium","","eng","ft","70.00","feet","105.00","feet"
"TWDB","0507301","TWDB.0507301.LITH.1","Sand - Clay","","eng","ft","0.00","feet","20.00","feet"
"TWDB","0507301","TWDB.0507301.LITH.2","Caliche","","eng","ft","20.00","feet","35.00","feet"
"TWDB","0507301","TWDB.0507301.LITH.3","Sand - Rock Streaks","","eng","ft","35.00","feet","80.00","feet"
"TWDB","0507301","TWDB.0507301.LITH.4","Sand - Clay Streaks","","eng","ft","80.00","feet","155.00","feet"
"TWDB","0507301","TWDB.0507301.LITH.5","Sand","","eng","ft","155.00","feet","215.00","feet"
"TWDB","0507301","TWDB.0507301.LITH.6","Clay","","eng","ft","215.00","feet","230.00","feet"
"TWDB","0507301","TWDB.0507301.LITH.7","Sand - Some Clay Stringers","","eng","ft","230.00","feet","365.00","feet"
"TWDB","0513501","TWDB.0513501.LITH.1","Clay","","eng","ft","0.00","feet","50.00","feet"
"TWDB","0513501","TWDB.0513501.LITH.2","Sand","","eng","ft","50.00","feet","130.00","feet"
"TWDB","0513501","TWDB.0513501.LITH.3","Clay","","eng","ft","130.00","feet","160.00","feet"
"TWDB","0513501","TWDB.0513501.LITH.4","Sand and Clay (70% Sand)","","eng","ft","160.00","feet","230.00","feet"
"TWDB","0513501","TWDB.0513501.LITH.5","Sand","","eng","ft","230.00","feet","350.00","feet"
"TWDB","0513501","TWDB.0513501.LITH.6","Sand and Clay (70% Sand)","","eng","ft","350.00","feet","365.00","feet"
"TWDB","0515901","TWDB.0515901.LITH.1","Topsoil","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0515901","TWDB.0515901.LITH.2","Medium and Coarse Sand","","eng","ft","200.00","feet","220.00","feet"
