"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2440403","TWDB.2440403.LITH.1","Red Clay","","eng","ft","0.00","feet","20.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.2","Sandy Caliche","","eng","ft","20.00","feet","40.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.3","Sandy Clay","","eng","ft","40.00","feet","47.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.4","Lime Rock","","eng","ft","47.00","feet","51.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.5","Sandy Clay","","eng","ft","51.00","feet","70.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.6","Sand Rock","","eng","ft","70.00","feet","75.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.7","Dry Sand","","eng","ft","75.00","feet","132.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.8","Water Sand","","eng","ft","132.00","feet","145.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.9","Coarse Sand and Small Gravel","","eng","ft","145.00","feet","180.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.10","Sand","","eng","ft","180.00","feet","198.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.11","Yellow Clay","","eng","ft","198.00","feet","203.00","feet"
"TWDB","2440403","TWDB.2440403.LITH.12","Blue Shale","","eng","ft","203.00","feet","205.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.1","top soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.2","caliche","","eng","ft","3.00","feet","15.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.3","sandy clay","","eng","ft","25.00","feet","40.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.4","sand and sand rock","","eng","ft","40.00","feet","71.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.5","rock","","eng","ft","71.00","feet","87.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.6","sand and sand rock","","eng","ft","87.00","feet","136.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.7","sandy (red?)","","eng","ft","136.00","feet","138.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.8","sand (water)","","eng","ft","138.00","feet","142.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.9","____ rock","","eng","ft","142.00","feet","144.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.10","sand and gravel","","eng","ft","144.00","feet","164.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.11","yellow and (?)","","eng","ft","164.00","feet","173.00","feet"
"TWDB","2437901","TWDB.2437901.LITH.12","blue shale","","eng","ft","173.00","feet","175.00","feet"
"TWDB","2438404","TWDB.2438404.LITH.1","soil and sandy clay","","eng","ft","0.00","feet","31.00","feet"
"TWDB","2438404","TWDB.2438404.LITH.2","sandstone, fine sand and sandrock streaks","","eng","ft","31.00","feet","105.00","feet"
"TWDB","2438404","TWDB.2438404.LITH.3","hard sandrock","","eng","ft","105.00","feet","110.00","feet"
"TWDB","2438404","TWDB.2438404.LITH.4","sandstone, fine sand and sandrock","","eng","ft","110.00","feet","153.00","feet"
"TWDB","2438404","TWDB.2438404.LITH.5","coarse sand and gravel with streaks of clay and rock","","eng","ft","153.00","feet","191.00","feet"
"TWDB","2438404","TWDB.2438404.LITH.6","yellow clay","","eng","ft","191.00","feet","195.00","feet"
"TWDB","2422201","TWDB.2422201.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","2422201","TWDB.2422201.LITH.2","Caliche","","eng","ft","4.00","feet","28.00","feet"
"TWDB","2422201","TWDB.2422201.LITH.3","Rock","","eng","ft","28.00","feet","42.00","feet"
"TWDB","2422201","TWDB.2422201.LITH.4","Caliche","","eng","ft","42.00","feet","52.00","feet"
"TWDB","2422201","TWDB.2422201.LITH.5","Brown Clay","","eng","ft","52.00","feet","78.00","feet"
"TWDB","2422201","TWDB.2422201.LITH.6","Sand","","eng","ft","78.00","feet","100.00","feet"
"TWDB","2422201","TWDB.2422201.LITH.7","Yellow Clay","","eng","ft","100.00","feet","113.00","feet"
"TWDB","2422201","TWDB.2422201.LITH.8","Blue Clay","","eng","ft","113.00","feet","116.00","feet"
"TWDB","2437308","TWDB.2437308.LITH.1","Top Soil","","eng","ft","0.00","feet","6.00","feet"
"TWDB","2437308","TWDB.2437308.LITH.2","Caliche","","eng","ft","6.00","feet","13.00","feet"
"TWDB","2437308","TWDB.2437308.LITH.3","Sand and Mud","","eng","ft","13.00","feet","36.00","feet"
"TWDB","2437308","TWDB.2437308.LITH.4","Sand","","eng","ft","36.00","feet","85.00","feet"
"TWDB","2437308","TWDB.2437308.LITH.5","Rock","","eng","ft","85.00","feet","89.00","feet"
"TWDB","2437308","TWDB.2437308.LITH.6","Sand and Rock","","eng","ft","89.00","feet","116.00","feet"
