"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2838404","TWDB.2838404.LITH.1","Soil Brown","","eng","ft","0.00","feet","7.00","feet"
"TWDB","2838404","TWDB.2838404.LITH.2","Caliche White","","eng","ft","7.00","feet","24.00","feet"
"TWDB","2838404","TWDB.2838404.LITH.3","Caliche Rock White","","eng","ft","24.00","feet","40.00","feet"
"TWDB","2838404","TWDB.2838404.LITH.4","Sand Rock Brown","","eng","ft","40.00","feet","64.00","feet"
"TWDB","2838404","TWDB.2838404.LITH.5","Clay Yellow","","eng","ft","64.00","feet","71.00","feet"
"TWDB","2838404","TWDB.2838404.LITH.6","Rock Red","","eng","ft","71.00","feet","78.00","feet"
"TWDB","2838404","TWDB.2838404.LITH.7","Sand and Gravel Brown","","eng","ft","78.00","feet","94.00","feet"
"TWDB","2838404","TWDB.2838404.LITH.8","Clay Red","","eng","ft","94.00","feet","97.00","feet"
"TWDB","2836601","TWDB.2836601.LITH.1","Soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","2836601","TWDB.2836601.LITH.2","Caliche","","eng","ft","2.00","feet","15.00","feet"
"TWDB","2836601","TWDB.2836601.LITH.3","Sand and Sandy Shale","","eng","ft","15.00","feet","78.00","feet"
"TWDB","2836601","TWDB.2836601.LITH.4","Red Clay","","eng","ft","78.00","feet","90.00","feet"
"TWDB","2836601","TWDB.2836601.LITH.5","Sand and Sandy Shale","","eng","ft","90.00","feet","116.00","feet"
"TWDB","2836601","TWDB.2836601.LITH.6","Sand and Gravel Water","","eng","ft","116.00","feet","125.00","feet"
"TWDB","2836601","TWDB.2836601.LITH.7","Red Clay","","eng","ft","125.00","feet","136.00","feet"
"TWDB","2846401","TWDB.2846401.LITH.1","Water","","eng","ft","40.00","feet","65.00","feet"
"TWDB","2846401","TWDB.2846401.LITH.2","Red Clay","","eng","ft","65.00","feet","75.00","feet"
"TWDB","2851902","TWDB.2851902.LITH.1","Sandy Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","2851902","TWDB.2851902.LITH.2","Caliche and White Clay","","eng","ft","4.00","feet","18.00","feet"
"TWDB","2851902","TWDB.2851902.LITH.3","Sand and Sandy Shale","","eng","ft","18.00","feet","31.00","feet"
"TWDB","2851902","TWDB.2851902.LITH.4","Red Sandy Shale","","eng","ft","31.00","feet","35.00","feet"
"TWDB","2851902","TWDB.2851902.LITH.5","Sand Water","","eng","ft","35.00","feet","37.00","feet"
"TWDB","2851902","TWDB.2851902.LITH.6","Sandy Clay","","eng","ft","37.00","feet","45.00","feet"
"TWDB","2851902","TWDB.2851902.LITH.7","Red Clay","","eng","ft","45.00","feet","55.00","feet"
