"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0606102","TWDB.0606102.LITH.1","surface","","eng","ft","0.00","feet","300.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.2","fine sand and sandy clay w/ streaks","","eng","ft","300.00","feet","350.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.3","med sand and small gravel","","eng","ft","350.00","feet","370.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.4","fine sand w/ clay muddy","","eng","ft","370.00","feet","400.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.5","med sand w/ clay strips","","eng","ft","400.00","feet","425.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.6","coarse sand and small gravel","","eng","ft","425.00","feet","471.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.7","med sand w/ clay strips","","eng","ft","471.00","feet","508.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.8","fine sand w/ clay strips","","eng","ft","508.00","feet","532.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.9","red clay","","eng","ft","532.00","feet","537.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.10","fine sand w/ clay strips","","eng","ft","537.00","feet","565.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.11","med sand w/ clay strips","","eng","ft","565.00","feet","575.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.12","red clay w/ strips of sand rock","","eng","ft","575.00","feet","595.00","feet"
"TWDB","0606102","TWDB.0606102.LITH.13","red clay and rock","","eng","ft","595.00","feet","598.00","feet"
"TWDB","0623703","TWDB.0623703.LITH.1","med sand","","eng","ft","0.00","feet","20.00","feet"
"TWDB","0623703","TWDB.0623703.LITH.2","med sand , small gravel","","eng","ft","20.00","feet","40.00","feet"
"TWDB","0623703","TWDB.0623703.LITH.3","med sand, big gravel","","eng","ft","40.00","feet","80.00","feet"
"TWDB","0623703","TWDB.0623703.LITH.4","med sand, small gravel","","eng","ft","80.00","feet","100.00","feet"
"TWDB","0623703","TWDB.0623703.LITH.5","med sand, big gravel","","eng","ft","100.00","feet","120.00","feet"
"TWDB","0623703","TWDB.0623703.LITH.6","med & streaks of small gravel","","eng","ft","120.00","feet","140.00","feet"
"TWDB","0623703","TWDB.0623703.LITH.7","very coarse sand","","eng","ft","140.00","feet","150.00","feet"
"TWDB","0623703","TWDB.0623703.LITH.8","red clay & coarse sand","","eng","ft","150.00","feet","155.00","feet"
"TWDB","0623703","TWDB.0623703.LITH.9","red clay, coarse sand& white rock","","eng","ft","155.00","feet","180.00","feet"
"TWDB","0623802","TWDB.0623802.LITH.1","top soil","","eng","ft","0.00","feet","160.00","feet"
"TWDB","0623802","TWDB.0623802.LITH.2","med. and fine sand and clay","","eng","ft","160.00","feet","220.00","feet"
"TWDB","0623802","TWDB.0623802.LITH.3","fine sand and clay","","eng","ft","220.00","feet","240.00","feet"
"TWDB","0623802","TWDB.0623802.LITH.4","med. and fine sand and clay streaks","","eng","ft","240.00","feet","280.00","feet"
"TWDB","0623802","TWDB.0623802.LITH.5","red clay and rock","","eng","ft","280.00","feet","377.00","feet"
"TWDB","0361802","TWDB.0361802.LITH.1","Top Soil and Overburden","","eng","ft","0.00","feet","180.00","feet"
"TWDB","0361802","TWDB.0361802.LITH.2","Sand","","eng","ft","180.00","feet","212.00","feet"
"TWDB","0361802","TWDB.0361802.LITH.3","Clay","","eng","ft","212.00","feet","220.00","feet"
"TWDB","0361802","TWDB.0361802.LITH.4","Sand with Clay Streaks","","eng","ft","220.00","feet","306.00","feet"
"TWDB","0361802","TWDB.0361802.LITH.5","Clay with Sand Streaks","","eng","ft","306.00","feet","330.00","feet"
"TWDB","0361802","TWDB.0361802.LITH.6","Sand","","eng","ft","330.00","feet","390.00","feet"
"TWDB","0361802","TWDB.0361802.LITH.7","Clay","","eng","ft","390.00","feet","402.00","feet"
"TWDB","0361802","TWDB.0361802.LITH.8","Sand with Clay Streaks","","eng","ft","402.00","feet","433.00","feet"
"TWDB","0361802","TWDB.0361802.LITH.9","Red Bed","","eng","ft","433.00","","",""
"TWDB","0362805","TWDB.0362805.LITH.1","Tight sand streaks of rock","","eng","ft","270.00","feet","300.00","feet"
"TWDB","0362805","TWDB.0362805.LITH.2","Sand streaks of clay","","eng","ft","300.00","feet","330.00","feet"
"TWDB","0362805","TWDB.0362805.LITH.3","Medium tight sand","","eng","ft","330.00","feet","400.00","feet"
