"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"KSGS","381435097365301","KSGS.381435097365301.LITH.1","top soil","","eng","ft","0","feet","5","feet"
"KSGS","381435097365301","KSGS.381435097365301.LITH.2","clay, red","","eng","ft","5","feet","12","feet"
"KSGS","381435097365301","KSGS.381435097365301.LITH.3","clay, tan","","eng","ft","12","feet","45","feet"
"KSGS","381435097365301","KSGS.381435097365301.LITH.4","clay, light gray","","eng","ft","45","feet","51","feet"
"KSGS","381435097365301","KSGS.381435097365301.LITH.5","sand, fine to coarse","","eng","ft","51","feet","75","feet"
"KSGS","381435097365301","KSGS.381435097365301.LITH.6","clay, brown","","eng","ft","75","feet","81","feet"
"KSGS","381435097365301","KSGS.381435097365301.LITH.7","sand, fine to coarse","","eng","ft","81","feet","109","feet"
"KSGS","381435097365301","KSGS.381435097365301.LITH.8","clay, brown","","eng","ft","109","feet","111","feet"
"KSGS","381435097365301","KSGS.381435097365301.LITH.9","sand, fine to coarse, tan","","eng","ft","111","feet","132","feet"
"KSGS","381435097365301","KSGS.381435097365301.LITH.10","shale, red and green","","eng","ft","132","feet","133","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.1","top soil","","eng","ft","0","feet","2","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.2","brown clay","","eng","ft","2","feet","10","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.3","brown sandy clay","","eng","ft","10","feet","20","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.4","brown clay with white rock mixed","","eng","ft","20","feet","34","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.5","brown clay","","eng","ft","34","feet","47","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.6","fine sand","","eng","ft","47","feet","51","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.7","brown clay with white rock mixed-tight","","eng","ft","51","feet","65","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.8","fine to medium sand and gravel - loose","","eng","ft","65","feet","74","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.9","brown yellow clay","","eng","ft","74","feet","81","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.10","gray clay - tight - pull down","","eng","ft","81","feet","110","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.11","gray clay","","eng","ft","110","feet","138","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.12","blue clay","","eng","ft","138","feet","155","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.13","fine sand","","eng","ft","155","feet","165","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.14","brown clay with brown rock - hard","","eng","ft","165","feet","170","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.15","fine sand - tight - pull down","","eng","ft","170","feet","230","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.16","fine sand - small clay streaks - tight","","eng","ft","230","feet","244","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.17","blue clay - hard","","eng","ft","244","feet","253","feet"
"KSGS","374634099401501","KSGS.374634099401501.LITH.18","red bed","","eng","ft","253","feet","260","feet"
"KSGS","381131098035101","KSGS.381131098035101.LITH.1","top soil and brown clay","","eng","ft","0","feet","8","feet"
"KSGS","381131098035101","KSGS.381131098035101.LITH.2","sand and gravel, medium to coarse","","eng","ft","8","feet","26","feet"
"KSGS","381131098035101","KSGS.381131098035101.LITH.3","tan clay","","eng","ft","26","feet","27","feet"
"KSGS","381131098035101","KSGS.381131098035101.LITH.4","sand and gravel, medium, with a few thin clay streaks","","eng","ft","27","feet","40","feet"
"KSGS","381131098035101","KSGS.381131098035101.LITH.5","sand and gravel, medium to fine, clean","","eng","ft","40","feet","62","feet"
"KSGS","381131098035101","KSGS.381131098035101.LITH.6","very fine sand and gravel with streak of clay at 66 feet","","eng","ft","62","feet","66","feet"
"KSGS","381131098035101","KSGS.381131098035101.LITH.7","sand and gravel, medium to fine, clean","","eng","ft","66","feet","70","feet"
"KSGS","381131098035101","KSGS.381131098035101.LITH.8","red and green shale","","eng","ft","70","feet","70","feet"
"KSGS","375619097425301","KSGS.375619097425301.LITH.1","top soil","","eng","ft","0","feet","2","feet"
"KSGS","375619097425301","KSGS.375619097425301.LITH.2","clay and sand","","eng","ft","2","feet","10","feet"
"KSGS","375619097425301","KSGS.375619097425301.LITH.3","medium sand","","eng","ft","10","feet","34","feet"
"KSGS","375619097425301","KSGS.375619097425301.LITH.4","gray clay","","eng","ft","34","feet","46","feet"
"KSGS","375619097425301","KSGS.375619097425301.LITH.5","medium sand and gravel","","eng","ft","46","feet","65","feet"
"KSGS","375625098463401","KSGS.375625098463401.LITH.1","top soil","","eng","ft","0","feet","3","feet"
