"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"KSGS","372831101023601","KSGS.372831101023601.LITH.1","top soil","","eng","ft","0","feet","2","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.2","clay, brown","","eng","ft","2","feet","46","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.3","fine sand","","eng","ft","46","feet","73","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.4","clay, brown","","eng","ft","73","feet","80","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.5","fine sandy clay, brown","","eng","ft","80","feet","113","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.6","fine to medium clay","","eng","ft","113","feet","179","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.7","clay, brown","","eng","ft","179","feet","195","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.8","fine to medium sand and gravel, loose","","eng","ft","195","feet","214","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.9","clay, yellowish brown","","eng","ft","214","feet","233","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.10","clay, blueish brown","","eng","ft","233","feet","260","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.11","clay, blue","","eng","ft","260","feet","295","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.12","fine to medium sand and gravel","","eng","ft","295","feet","337","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.13","clay, brown","","eng","ft","337","feet","341","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.14","fine to medium sand and gravel","","eng","ft","341","feet","380","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.15","sandy clay, brown","","eng","ft","380","feet","393","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.16","fine to medium sand, gravelly","","eng","ft","393","feet","428","feet"
"KSGS","372831101023601","KSGS.372831101023601.LITH.17","clay, yellow","","eng","ft","428","feet","525","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.1","top soil","","eng","ft","0","feet","2","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.2","clay, brown","","eng","ft","2","feet","46","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.3","fine sand","","eng","ft","46","feet","73","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.4","clay, brown","","eng","ft","73","feet","80","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.5","fine sandy clay, brown","","eng","ft","80","feet","113","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.6","clayey fine to medium sand","","eng","ft","113","feet","179","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.7","clay, brown","","eng","ft","179","feet","195","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.8","fine to medium sand and gravel, loose","","eng","ft","195","feet","214","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.9","clay, yellowish brown","","eng","ft","214","feet","233","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.10","clay, bluish brown","","eng","ft","233","feet","260","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.11","clay, blue","","eng","ft","260","feet","295","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.12","fine to medium sand and gravel","","eng","ft","295","feet","337","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.13","clay, brown","","eng","ft","337","feet","341","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.14","fine to medium sand and gravel","","eng","ft","341","feet","380","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.15","sandy clay, brown","","eng","ft","380","feet","393","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.16","fine to medium sand, gravelly","","eng","ft","393","feet","428","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.17","sandy clay, brown","","eng","ft","428","feet","505","feet"
"KSGS","372831101023602","KSGS.372831101023602.LITH.18","clay, yellow","","eng","ft","505","feet","620","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.1","top soil","","eng","ft","0","feet","2","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.2","clay, brown","","eng","ft","2","feet","111","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.3","fine sand","","eng","ft","111","feet","201","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.4","fine to medium sand","","eng","ft","201","feet","215","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.5","clay, gray","","eng","ft","215","feet","230","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.6","clayey fine sand, brown","","eng","ft","230","feet","250","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.7","fine to medium sand","","eng","ft","250","feet","280","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.8","sandy clay","","eng","ft","280","feet","320","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.9","fine sand","","eng","ft","320","feet","335","feet"
"KSGS","373528101281901","KSGS.373528101281901.LITH.10","sandy clay","","eng","ft","335","feet","370","feet"
