"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"CODWR","1121","CODWR.1121.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","5","feet"
"CODWR","1121","CODWR.1121.LITH.2","CLAY","HIGH PLAINS AQUIFER","eng","ft","5","feet","25","feet"
"CODWR","1121","CODWR.1121.LITH.3","CLAY","HIGH PLAINS AQUIFER","eng","ft","25","feet","40","feet"
"CODWR","1121","CODWR.1121.LITH.4","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","40","feet","65","feet"
"CODWR","1121","CODWR.1121.LITH.5","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","65","feet","90","feet"
"CODWR","1121","CODWR.1121.LITH.6","CLAY","HIGH PLAINS AQUIFER","eng","ft","90","feet","120","feet"
"CODWR","1121","CODWR.1121.LITH.7","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","120","feet","300","feet"
"CODWR","1121","CODWR.1121.LITH.8","SHALE","HIGH PLAINS AQUIFER","eng","ft","300","feet","305","feet"
"CODWR","978","CODWR.978.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","5","feet","45","feet"
"CODWR","978","CODWR.978.LITH.2","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","45","feet","65","feet"
"CODWR","978","CODWR.978.LITH.3","CLAY","HIGH PLAINS AQUIFER","eng","ft","65","feet","160","feet"
"CODWR","978","CODWR.978.LITH.4","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","160","feet","192","feet"
"CODWR","49527","CODWR.49527.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","3","feet"
"CODWR","49527","CODWR.49527.LITH.2","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","3","feet","32","feet"
"CODWR","49527","CODWR.49527.LITH.3","CLAY","HIGH PLAINS AQUIFER","eng","ft","32","feet","100","feet"
"CODWR","49527","CODWR.49527.LITH.4","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","100","feet","106","feet"
"CODWR","49527","CODWR.49527.LITH.5","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","106","feet","108","feet"
"CODWR","49527","CODWR.49527.LITH.6","CLAY","HIGH PLAINS AQUIFER","eng","ft","108","feet","115","feet"
"CODWR","49527","CODWR.49527.LITH.7","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","115","feet","117","feet"
"CODWR","49527","CODWR.49527.LITH.8","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","117","feet","123","feet"
"CODWR","49527","CODWR.49527.LITH.9","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","123","feet","140","feet"
"CODWR","49527","CODWR.49527.LITH.10","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","140","feet","171","feet"
"CODWR","49527","CODWR.49527.LITH.11","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","171","feet","182","feet"
"CODWR","49527","CODWR.49527.LITH.12","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","182","feet","211","feet"
"CODWR","49527","CODWR.49527.LITH.13","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","211","feet","212","feet"
"CODWR","49527","CODWR.49527.LITH.14","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","212","feet","220","feet"
"CODWR","49527","CODWR.49527.LITH.15","CLAY","HIGH PLAINS AQUIFER","eng","ft","220","feet","224","feet"
"CODWR","49527","CODWR.49527.LITH.16","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","224","feet","228","feet"
"CODWR","49527","CODWR.49527.LITH.17","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","228","feet","255","feet"
"CODWR","49527","CODWR.49527.LITH.18","CLAY","HIGH PLAINS AQUIFER","eng","ft","255","feet","259","feet"
"CODWR","49527","CODWR.49527.LITH.19","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","259","feet","263","feet"
"CODWR","49527","CODWR.49527.LITH.20","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","263","feet","269","feet"
"CODWR","49527","CODWR.49527.LITH.21","CLAY","HIGH PLAINS AQUIFER","eng","ft","269","feet","278","feet"
"CODWR","49527","CODWR.49527.LITH.22","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","278","feet","282","feet"
"CODWR","49527","CODWR.49527.LITH.23","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","282","feet","306","feet"
"CODWR","150612","CODWR.150612.LITH.1","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","0","feet","72","feet"
"CODWR","150612","CODWR.150612.LITH.2","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","72","feet","83","feet"
"CODWR","150612","CODWR.150612.LITH.3","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","83","feet","85","feet"
"CODWR","150612","CODWR.150612.LITH.4","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","85","feet","104","feet"
"CODWR","150612","CODWR.150612.LITH.5","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","104","feet","149","feet"
"CODWR","150612","CODWR.150612.LITH.6","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","149","feet","175","feet"
"CODWR","150612","CODWR.150612.LITH.7","CLAY","HIGH PLAINS AQUIFER","eng","ft","175","feet","186","feet"
"CODWR","150613","CODWR.150613.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","15","feet"
"CODWR","150613","CODWR.150613.LITH.2","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","15","feet","60","feet"
"CODWR","150613","CODWR.150613.LITH.3","CLAY","HIGH PLAINS AQUIFER","eng","ft","60","feet","103","feet"
"CODWR","150613","CODWR.150613.LITH.4","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","103","feet","107","feet"
"CODWR","150613","CODWR.150613.LITH.5","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","107","feet","120","feet"
"CODWR","150613","CODWR.150613.LITH.6","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","120","feet","155","feet"
"CODWR","150613","CODWR.150613.LITH.7","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","155","feet","200","feet"
"CODWR","150613","CODWR.150613.LITH.8","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","200","feet","213","feet"
"CODWR","150613","CODWR.150613.LITH.9","CLAY","HIGH PLAINS AQUIFER","eng","ft","213","feet","218","feet"
"CODWR","150613","CODWR.150613.LITH.10","SHALE","HIGH PLAINS AQUIFER","eng","ft","218","feet","223","feet"
"CODWR","149905","CODWR.149905.LITH.1","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","85","feet","92","feet"
"CODWR","149905","CODWR.149905.LITH.2","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","92","feet","96","feet"
"CODWR","149905","CODWR.149905.LITH.3","CLAY","HIGH PLAINS AQUIFER","eng","ft","96","feet","114","feet"
"CODWR","149905","CODWR.149905.LITH.4","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","114","feet","116","feet"
"CODWR","149905","CODWR.149905.LITH.5","CLAY","HIGH PLAINS AQUIFER","eng","ft","116","feet","126","feet"
"CODWR","149905","CODWR.149905.LITH.6","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","126","feet","129","feet"
"CODWR","149905","CODWR.149905.LITH.7","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","129","feet","137","feet"
"CODWR","149905","CODWR.149905.LITH.8","CLAY","HIGH PLAINS AQUIFER","eng","ft","137","feet","144","feet"
"CODWR","149905","CODWR.149905.LITH.9","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","144","feet","146","feet"
"CODWR","149905","CODWR.149905.LITH.10","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","146","feet","163","feet"
"CODWR","149905","CODWR.149905.LITH.11","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","163","feet","190","feet"
"CODWR","149905","CODWR.149905.LITH.12","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","190","feet","198","feet"
"CODWR","149905","CODWR.149905.LITH.13","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","198","feet","209","feet"
"CODWR","149905","CODWR.149905.LITH.14","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","209","feet","212","feet"
"CODWR","149905","CODWR.149905.LITH.15","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","212","feet","217","feet"
"CODWR","149905","CODWR.149905.LITH.16","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","217","feet","219","feet"
"CODWR","149905","CODWR.149905.LITH.17","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","219","feet","228","feet"
"CODWR","149905","CODWR.149905.LITH.18","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","228","feet","231","feet"
"CODWR","149905","CODWR.149905.LITH.19","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","231","feet","246","feet"
"CODWR","149905","CODWR.149905.LITH.20","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","246","feet","255","feet"
