"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"CODWR","149879","CODWR.149879.LITH.1","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","0","feet","146","feet"
"CODWR","149879","CODWR.149879.LITH.2","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","146","feet","163","feet"
"CODWR","149879","CODWR.149879.LITH.3","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","163","feet","174","feet"
"CODWR","149879","CODWR.149879.LITH.4","SHALE","HIGH PLAINS AQUIFER","eng","ft","174","feet","189","feet"
"CODWR","949","CODWR.949.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","1","feet"
"CODWR","949","CODWR.949.LITH.2","CLAY","HIGH PLAINS AQUIFER","eng","ft","1","feet","10","feet"
"CODWR","949","CODWR.949.LITH.3","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","10","feet","20","feet"
"CODWR","949","CODWR.949.LITH.4","CLAY","HIGH PLAINS AQUIFER","eng","ft","20","feet","40","feet"
"CODWR","949","CODWR.949.LITH.5","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","40","feet","45","feet"
"CODWR","949","CODWR.949.LITH.6","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","45","feet","60","feet"
"CODWR","949","CODWR.949.LITH.7","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","60","feet","100","feet"
"CODWR","949","CODWR.949.LITH.8","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","100","feet","108","feet"
"CODWR","949","CODWR.949.LITH.9","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","108","feet","110","feet"
"CODWR","949","CODWR.949.LITH.10","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","110","feet","164","feet"
"CODWR","949","CODWR.949.LITH.11","SHALE","HIGH PLAINS AQUIFER","eng","ft","164","feet","166","feet"
"CODWR","949","CODWR.949.LITH.12","SHALE","HIGH PLAINS AQUIFER","eng","ft","166","feet","172","feet"
"CODWR","758","CODWR.758.LITH.1","CLAY","HIGH PLAINS AQUIFER","eng","ft","0","feet","30","feet"
"CODWR","758","CODWR.758.LITH.2","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","30","feet","80","feet"
"CODWR","758","CODWR.758.LITH.3","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","80","feet","120","feet"
"CODWR","758","CODWR.758.LITH.4","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","120","feet","140","feet"
"CODWR","758","CODWR.758.LITH.5","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","140","feet","151","feet"
"CODWR","758","CODWR.758.LITH.6","CLAY","HIGH PLAINS AQUIFER","eng","ft","151","feet","162","feet"
"CODWR","758","CODWR.758.LITH.7","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","162","feet","190","feet"
"CODWR","758","CODWR.758.LITH.8","CLAY","HIGH PLAINS AQUIFER","eng","ft","190","feet","207","feet"
"CODWR","758","CODWR.758.LITH.9","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","207","feet","217","feet"
"CODWR","758","CODWR.758.LITH.10","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","217","feet","227","feet"
"CODWR","758","CODWR.758.LITH.11","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","227","feet","232","feet"
"CODWR","758","CODWR.758.LITH.12","SHALE","HIGH PLAINS AQUIFER","eng","ft","232","feet","240","feet"
"CODWR","152885","CODWR.152885.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","1","feet"
"CODWR","152885","CODWR.152885.LITH.2","CLAY","HIGH PLAINS AQUIFER","eng","ft","1","feet","20","feet"
"CODWR","152885","CODWR.152885.LITH.3","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","20","feet","40","feet"
"CODWR","152885","CODWR.152885.LITH.4","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","40","feet","120","feet"
"CODWR","152885","CODWR.152885.LITH.5","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","120","feet","140","feet"
"CODWR","152885","CODWR.152885.LITH.6","GRAVEL WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","140","feet","155","feet"
"CODWR","152885","CODWR.152885.LITH.7","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","155","feet","187","feet"
"CODWR","152885","CODWR.152885.LITH.8","SHALE","HIGH PLAINS AQUIFER","eng","ft","187","feet","190","feet"
"CODWR","754","CODWR.754.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","1","feet"
"CODWR","754","CODWR.754.LITH.2","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","1","feet","4","feet"
"CODWR","754","CODWR.754.LITH.3","CLAY","HIGH PLAINS AQUIFER","eng","ft","4","feet","76","feet"
"CODWR","754","CODWR.754.LITH.4","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","76","feet","105","feet"
"CODWR","754","CODWR.754.LITH.5","CLAY","HIGH PLAINS AQUIFER","eng","ft","105","feet","115","feet"
"CODWR","754","CODWR.754.LITH.6","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","115","feet","155","feet"
"CODWR","754","CODWR.754.LITH.7","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","155","feet","176","feet"
"CODWR","754","CODWR.754.LITH.8","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","176","feet","180","feet"
"CODWR","754","CODWR.754.LITH.9","CLAY","HIGH PLAINS AQUIFER","eng","ft","180","feet","215","feet"
"CODWR","754","CODWR.754.LITH.10","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","215","feet","217","feet"
"CODWR","754","CODWR.754.LITH.11","CLAY","HIGH PLAINS AQUIFER","eng","ft","217","feet","225","feet"
"CODWR","754","CODWR.754.LITH.12","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","225","feet","240","feet"
"CODWR","754","CODWR.754.LITH.13","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","240","feet","246","feet"
"CODWR","754","CODWR.754.LITH.14","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","246","feet","292","feet"
"CODWR","754","CODWR.754.LITH.15","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","292","feet","296","feet"
"CODWR","754","CODWR.754.LITH.16","SHALE","HIGH PLAINS AQUIFER","eng","ft","296","feet","300","feet"
"CODWR","755","CODWR.755.LITH.1","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","0","feet","45","feet"
"CODWR","755","CODWR.755.LITH.2","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","45","feet","91","feet"
"CODWR","755","CODWR.755.LITH.3","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","91","feet","105","feet"
"CODWR","755","CODWR.755.LITH.4","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","105","feet","121","feet"
"CODWR","755","CODWR.755.LITH.5","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","121","feet","128","feet"
"CODWR","755","CODWR.755.LITH.6","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","128","feet","144","feet"
"CODWR","755","CODWR.755.LITH.7","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","144","feet","174","feet"
"CODWR","755","CODWR.755.LITH.8","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","174","feet","205","feet"
"CODWR","755","CODWR.755.LITH.9","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","205","feet","209","feet"
"CODWR","755","CODWR.755.LITH.10","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","209","feet","212","feet"
"CODWR","755","CODWR.755.LITH.11","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","212","feet","217","feet"
"CODWR","755","CODWR.755.LITH.12","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","217","feet","224","feet"
"CODWR","755","CODWR.755.LITH.13","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","224","feet","242","feet"
"CODWR","755","CODWR.755.LITH.14","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","242","feet","247","feet"
"CODWR","755","CODWR.755.LITH.15","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","247","feet","253","feet"
"CODWR","755","CODWR.755.LITH.16","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","253","feet","255","feet"
"CODWR","755","CODWR.755.LITH.17","SHALE","HIGH PLAINS AQUIFER","eng","ft","255","feet","264","feet"
"CODWR","755","CODWR.755.LITH.18","SHALE","HIGH PLAINS AQUIFER","eng","ft","264","feet","268","feet"
