"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","1055206","TWDB.1055206.LITH.1","TOP SOIL","","eng","ft","0.00","feet","3.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.2","CALICHE AND CLAY","","eng","ft","3.00","feet","21.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.3","FINE SAND, SANDSTONE","","eng","ft","21.00","feet","64.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.4","HARD SANDROCK","","eng","ft","64.00","feet","71.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.5","TIGHT SAND, SANDSTONE","","eng","ft","71.00","feet","98.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.6","LOOSE FINE SAND","","eng","ft","98.00","feet","121.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.7","SANDSTONE, SAND","","eng","ft","121.00","feet","145.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.8","BROWN CLAY","","eng","ft","145.00","feet","154.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.9","FINE SAND, GRAVEL, SANDSTONE","","eng","ft","154.00","feet","187.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.10","SANDY CLAY, SAND, GRAVEL","","eng","ft","187.00","feet","223.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.11","SANDSTONE, SAND, GRAVEL","","eng","ft","223.00","feet","270.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.12","SANDY CLAY, SAND, GRAVEL, SANDSTONE","","eng","ft","270.00","feet","312.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.13","SANDY CLAY, SAND, GRAVEL","","eng","ft","312.00","feet","344.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.14","SAND, GRAVEL, SANDSTONE","","eng","ft","344.00","feet","359.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.15","LIMEROCK, GRAVEL","","eng","ft","359.00","feet","364.00","feet"
"TWDB","1055206","TWDB.1055206.LITH.16","RED AND BLUE","","eng","ft","364.00","feet","369.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.1","Sand","","eng","ft","0.00","feet","3.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.2","Caliche","","eng","ft","3.00","feet","20.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.3","Clay and Caliche","","eng","ft","20.00","feet","33.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.4","Caliche Hard","","eng","ft","33.00","feet","34.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.5","Clay, Caliche, Sandstone Stringers","","eng","ft","34.00","feet","40.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.6","Red Sand","","eng","ft","40.00","feet","44.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.7","Gray Sand","","eng","ft","44.00","feet","50.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.8","Sandy Clay","","eng","ft","50.00","feet","58.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.9","Sand, Red and White Clay, Sandstone Stringers","","eng","ft","58.00","feet","65.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.10","Sand, Clay Streaks, Thin Sandstone Stringers","","eng","ft","65.00","feet","106.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.11","Gray Sand","","eng","ft","106.00","feet","110.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.12","Gray Sand and Gravel","","eng","ft","110.00","feet","130.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.13","Hard Sandstone","","eng","ft","130.00","feet","131.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.14","Soft Sand and Gravel","","eng","ft","131.00","feet","148.00","feet"
"TWDB","1052601","TWDB.1052601.LITH.15","Red Clay","","eng","ft","148.00","feet","170.00","feet"
"TWDB","1063702","TWDB.1063702.LITH.1","Top Soil","","eng","ft","0.00","feet","10.00","feet"
"TWDB","1063702","TWDB.1063702.LITH.2","Sand","","eng","ft","10.00","feet","100.00","feet"
"TWDB","1063702","TWDB.1063702.LITH.3","Sand Rock","","eng","ft","100.00","feet","110.00","feet"
"TWDB","1063702","TWDB.1063702.LITH.4","Sand","","eng","ft","110.00","feet","200.00","feet"
"TWDB","1063702","TWDB.1063702.LITH.5","Gravel","","eng","ft","200.00","feet","230.00","feet"
"TWDB","1063702","TWDB.1063702.LITH.6","Red Bed","","eng","ft","230.00","feet","235.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.1","Brown and Green Clay","","eng","ft","0.00","feet","60.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.2","Brown Clay and Rock","","eng","ft","60.00","feet","70.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.3","Light Brown Clay and Rock (Water)","","eng","ft","70.00","feet","90.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.4","Brown Clay and Rock","","eng","ft","90.00","feet","110.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.5","Clay and Soft Chalky Rock","","eng","ft","110.00","feet","130.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.6","Brown and Light Pink Clay","","eng","ft","130.00","feet","210.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.7","Light Tan Clay w/ Streaks of Fine Sand","","eng","ft","210.00","feet","260.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.8","Med. Sand and Clay","","eng","ft","260.00","feet","280.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.9","Coarse Sand and Gravel","","eng","ft","280.00","feet","290.00","feet"
"TWDB","1062307","TWDB.1062307.LITH.10","Red Bed","","eng","ft","290.00","feet","300.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.1","Surface","","eng","ft","0.00","feet","3.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.2","Caliche and Clay","","eng","ft","3.00","feet","31.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.3","Caliche Rock and Sandy Clay","","eng","ft","31.00","feet","59.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.4","Sand","","eng","ft","59.00","feet","63.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.5","White Rock, Clay and Sand","","eng","ft","63.00","feet","113.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.6","Clay, Sand and White Rock","","eng","ft","113.00","feet","132.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.7","Broken Rock","","eng","ft","132.00","feet","156.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.8","Sand and Ledges","","eng","ft","156.00","feet","199.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.9","Sand and Gravel","","eng","ft","199.00","feet","241.00","feet"
"TWDB","1053307","TWDB.1053307.LITH.10","Clay (Blue and Red)","","eng","ft","241.00","feet","243.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.1","Top Soil","","eng","ft","0.00","feet","8.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.2","Caliche","","eng","ft","8.00","feet","70.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.3","Sand and Sandstone","","eng","ft","70.00","feet","120.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.4","Fine Sand and Sandstone","","eng","ft","120.00","feet","150.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.5","Fine Sand and Sandstone and Red Clay","","eng","ft","150.00","feet","180.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.6","Fine Sand and Sandstone and Red Clay","","eng","ft","180.00","feet","210.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.7","Medium to Coarse Sand and Gravel","","eng","ft","210.00","feet","270.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.8","Fine to Medium Sand and Sandstone","","eng","ft","270.00","feet","300.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.9","Fine to Medium Sand and Sandstone and Gravel","","eng","ft","300.00","feet","330.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.10","Medium to Coarse Sand, Gravel and Clay Streaks","","eng","ft","330.00","feet","390.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.11","Gravel and Red Clay","","eng","ft","390.00","feet","417.00","feet"
"TWDB","1045402","TWDB.1045402.LITH.12","Red Bed","","eng","ft","417.00","","",""
"TWDB","1046601","TWDB.1046601.LITH.1","Surface","","eng","ft","0.00","feet","3.00","feet"
"TWDB","1046601","TWDB.1046601.LITH.2","Caliche and Clay","","eng","ft","3.00","feet","24.00","feet"
"TWDB","1046601","TWDB.1046601.LITH.3","Sand, Clay and White Rock","","eng","ft","24.00","feet","125.00","feet"
"TWDB","1046601","TWDB.1046601.LITH.4","Broken Rock","","eng","ft","125.00","feet","131.00","feet"
"TWDB","1046601","TWDB.1046601.LITH.5","Sand and Clay","","eng","ft","131.00","feet","148.00","feet"
"TWDB","1046601","TWDB.1046601.LITH.6","Brown Rock, Sand and Clay","","eng","ft","148.00","feet","233.00","feet"
"TWDB","1046601","TWDB.1046601.LITH.7","Coarse Sand and Gravel","","eng","ft","233.00","feet","265.00","feet"
"TWDB","1046601","TWDB.1046601.LITH.8","Sand","","eng","ft","265.00","feet","286.00","feet"
"TWDB","1046601","TWDB.1046601.LITH.9","Clay, Sand and White Rock","","eng","ft","286.00","feet","294.00","feet"
"TWDB","1046601","TWDB.1046601.LITH.10","Red Bed","","eng","ft","294.00","feet","308.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.1","Top Sand","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.2","Caliche and Clay Hard","","eng","ft","4.00","feet","20.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.3","Caliche","","eng","ft","20.00","feet","32.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.4","Caliche and Sand","","eng","ft","32.00","feet","45.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.5","Sandy Clay","","eng","ft","45.00","feet","50.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.6","Sand and Clay","","eng","ft","50.00","feet","70.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.7","Sand, Clay and Sandstone Stringers","","eng","ft","70.00","feet","95.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.8","Sand and Clay","","eng","ft","95.00","feet","108.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.9","Sand and a little Gravel","","eng","ft","108.00","feet","116.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.10","Sand and Gravel","","eng","ft","116.00","feet","128.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.11","Sand and Gravel, Sandstone Stringers","","eng","ft","128.00","feet","140.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.12","Sand and Gravel","","eng","ft","140.00","feet","150.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.13","Sand and Gravel, Clay Streaks","","eng","ft","150.00","feet","172.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.14","Sand and Gravel, Clay Streaks","","eng","ft","172.00","feet","185.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.15","Sand, Gravel and Clay","","eng","ft","185.00","feet","191.00","feet"
"TWDB","1053602","TWDB.1053602.LITH.16","Red Beds","","eng","ft","191.00","feet","202.00","feet"
"TWDB","2415108","TWDB.2415108.LITH.1","(No Entry)","","eng","ft","0.00","feet","5.00","feet"
"TWDB","2415108","TWDB.2415108.LITH.2","Caliche","","eng","ft","5.00","feet","15.00","feet"
"TWDB","2415108","TWDB.2415108.LITH.3","Clay","","eng","ft","15.00","feet","40.00","feet"
"TWDB","2415108","TWDB.2415108.LITH.4","Rock","","eng","ft","40.00","feet","43.00","feet"
