"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"CODWR","149880","CODWR.149880.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","3","feet"
"CODWR","149880","CODWR.149880.LITH.2","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","3","feet","97","feet"
"CODWR","149880","CODWR.149880.LITH.3","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","97","feet","117","feet"
"CODWR","149880","CODWR.149880.LITH.4","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","117","feet","135","feet"
"CODWR","149880","CODWR.149880.LITH.5","SHALE","HIGH PLAINS AQUIFER","eng","ft","135","feet","146","feet"
"CODWR","777","CODWR.777.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","15","feet"
"CODWR","777","CODWR.777.LITH.2","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","15","feet","74","feet"
"CODWR","777","CODWR.777.LITH.3","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","74","feet","79","feet"
"CODWR","777","CODWR.777.LITH.4","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","79","feet","83","feet"
"CODWR","777","CODWR.777.LITH.5","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","83","feet","97","feet"
"CODWR","777","CODWR.777.LITH.6","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","97","feet","101","feet"
"CODWR","777","CODWR.777.LITH.7","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","101","feet","105","feet"
"CODWR","777","CODWR.777.LITH.8","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","105","feet","109","feet"
"CODWR","777","CODWR.777.LITH.9","CLAY","HIGH PLAINS AQUIFER","eng","ft","109","feet","112","feet"
"CODWR","777","CODWR.777.LITH.10","SHALE","HIGH PLAINS AQUIFER","eng","ft","112","feet","115","feet"
"CODWR","780","CODWR.780.LITH.1","CLAY","HIGH PLAINS AQUIFER","eng","ft","0","feet","16","feet"
"CODWR","780","CODWR.780.LITH.2","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","16","feet","60","feet"
"CODWR","780","CODWR.780.LITH.3","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","60","feet","78","feet"
"CODWR","780","CODWR.780.LITH.4","SHALE","HIGH PLAINS AQUIFER","eng","ft","78","feet","90","feet"
"CODWR","771","CODWR.771.LITH.1","CLAY","HIGH PLAINS AQUIFER","eng","ft","0","feet","8","feet"
"CODWR","771","CODWR.771.LITH.2","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","8","feet","118","feet"
"CODWR","771","CODWR.771.LITH.3","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","118","feet","122","feet"
"CODWR","771","CODWR.771.LITH.4","SHALE","HIGH PLAINS AQUIFER","eng","ft","122","feet","130","feet"
