"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0453101","TWDB.0453101.LITH.1","Surface","","eng","ft","0.00","feet","20.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.2","Fine Sand and Sandy Clay","","eng","ft","20.00","feet","70.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.3","Clay and Sandy Clay","","eng","ft","70.00","feet","110.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.4","Medium Sand","","eng","ft","110.00","feet","120.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.5","Coarse Sand","","eng","ft","120.00","feet","169.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.6","Clay, Trace Fine Sand","","eng","ft","169.00","feet","200.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.7","Clay and Fine Muddy Sand","","eng","ft","200.00","feet","210.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.8","Medium Sand and Clay Strips","","eng","ft","210.00","feet","222.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.9","Clay","","eng","ft","222.00","feet","260.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.10","Medium Sand","","eng","ft","260.00","feet","296.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.11","Medium Sand","","eng","ft","296.00","feet","344.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.12","Fine Sand w/ Clay Strips","","eng","ft","344.00","feet","371.00","feet"
"TWDB","0453101","TWDB.0453101.LITH.13","Clay and Shale","","eng","ft","371.00","feet","389.00","feet"
"TWDB","0436209","TWDB.0436209.LITH.1","Surface","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0436209","TWDB.0436209.LITH.2","Coarse Sand with Clay Streaks","","eng","ft","200.00","feet","255.00","feet"
"TWDB","0436209","TWDB.0436209.LITH.3","Clay no Sand","","eng","ft","255.00","feet","286.00","feet"
"TWDB","0436209","TWDB.0436209.LITH.4","Clean Coarse Sand","","eng","ft","286.00","feet","311.00","feet"
"TWDB","0436209","TWDB.0436209.LITH.5","Fine Sand Lots Clay Approximately H and H","","eng","ft","311.00","feet","336.00","feet"
"TWDB","0436209","TWDB.0436209.LITH.6","Coarse Sand and Gravel Trace Clay","","eng","ft","336.00","feet","389.00","feet"
"TWDB","0436209","TWDB.0436209.LITH.7","Streaks Red Clay Streaks Coarse Sand","","eng","ft","389.00","feet","433.00","feet"
"TWDB","0436209","TWDB.0436209.LITH.8","Red Bed","","eng","ft","433.00","feet","454.00","feet"
"TWDB","0440501","TWDB.0440501.LITH.1","Overburden","","eng","ft","0.00","feet","80.00","feet"
"TWDB","0440501","TWDB.0440501.LITH.2","Medium and Coarse Sand w/ Brown Clay","","eng","ft","80.00","feet","160.00","feet"
"TWDB","0440501","TWDB.0440501.LITH.3","Blue Loose Sand w/ Clay","","eng","ft","160.00","feet","200.00","feet"
"TWDB","0440501","TWDB.0440501.LITH.4","Fine Sand and Clay","","eng","ft","200.00","feet","240.00","feet"
"TWDB","0440501","TWDB.0440501.LITH.5","Loose Sand w/ Brown Clay","","eng","ft","240.00","feet","280.00","feet"
"TWDB","0440501","TWDB.0440501.LITH.6","Loose Coarse Sand and Clay","","eng","ft","280.00","feet","320.00","feet"
"TWDB","0440501","TWDB.0440501.LITH.7","Red Fine Sand and Sandstone","","eng","ft","320.00","feet","347.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.1","surface sand & clay","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.2","fine to med sand w/clay strips","","eng","ft","200.00","feet","240.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.3","sandy clay & clay","","eng","ft","240.00","feet","280.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.4","loose med to coarse sand","","eng","ft","280.00","feet","320.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.5","brown clay w/fine to med sand strips","","eng","ft","320.00","feet","360.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.6","brown clay & sandy clay","","eng","ft","360.00","feet","400.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.7","soft sandy clay w/clay strips","","eng","ft","400.00","feet","440.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.8","fine sand w/sandy clay","","eng","ft","440.00","feet","520.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.9","med to coarse sand w/clay strips","","eng","ft","520.00","feet","560.00","feet"
"TWDB","0463502","TWDB.0463502.LITH.10","med sand w/clay& red clay","","eng","ft","560.00","feet","590.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.1","Surface","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.2","Coarse Sand","","eng","ft","200.00","feet","224.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.3","Coarse Sand w/ Streaks of Clay","","eng","ft","224.00","feet","234.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.4","Coarse Sand (Loose)","","eng","ft","234.00","feet","257.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.5","Fine Sand, Streaks of Clay (Muddy)","","eng","ft","257.00","feet","293.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.6","Fine Sand w/ Streaks of Sandy Clay","","eng","ft","293.00","feet","320.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.7","Medium Sand","","eng","ft","320.00","feet","350.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.8","Medium Sand w/ Clay Streaks","","eng","ft","350.00","feet","410.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.9","Coarse Sand w/ Thin Streaks of Clay","","eng","ft","410.00","feet","448.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.10","Fine Sand, Streaks of Clay and Sand Rock","","eng","ft","448.00","feet","470.00","feet"
"TWDB","0436901","TWDB.0436901.LITH.11","Red Clay and Shale","","eng","ft","470.00","feet","507.00","feet"
