"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2327811","TWDB.2327811.LITH.1","Top Soil","","eng","ft","0.00","feet","1.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.2","Caliche & Rock","","eng","ft","1.00","feet","24.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.3","Sandstone","","eng","ft","24.00","feet","74.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.4","Sand","","eng","ft","74.00","feet","96.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.5","Clay","","eng","ft","96.00","feet","97.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.6","Sand","","eng","ft","97.00","feet","116.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.7","Sand & Clay Layers","","eng","ft","116.00","feet","125.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.8","White Clay","","eng","ft","125.00","feet","141.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.9","Sand","","eng","ft","141.00","feet","146.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.10","White Clay","","eng","ft","146.00","feet","150.00","feet"
"TWDB","2327811","TWDB.2327811.LITH.11","Lime Rock","","eng","ft","150.00","feet","152.00","feet"
"TWDB","2335907","TWDB.2335907.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2335907","TWDB.2335907.LITH.2","Caliche","","eng","ft","3.00","feet","35.00","feet"
"TWDB","2335907","TWDB.2335907.LITH.3","Sandstone","","eng","ft","35.00","feet","50.00","feet"
"TWDB","2335907","TWDB.2335907.LITH.4","Rock","","eng","ft","50.00","feet","55.00","feet"
"TWDB","2335907","TWDB.2335907.LITH.5","Sand in Brown Clay","","eng","ft","55.00","feet","170.00","feet"
"TWDB","2335907","TWDB.2335907.LITH.6","Sand and Gravel","","eng","ft","170.00","feet","250.00","feet"
"TWDB","2335907","TWDB.2335907.LITH.7","Red Clay","","eng","ft","250.00","feet","252.00","feet"
"TWDB","2319707","TWDB.2319707.LITH.1","soil & caprock","","eng","ft","0.00","feet","85.00","feet"
"TWDB","2319707","TWDB.2319707.LITH.2","sandy clay","","eng","ft","85.00","feet","117.00","feet"
"TWDB","2319707","TWDB.2319707.LITH.3","clay","","eng","ft","117.00","feet","120.00","feet"
"TWDB","2319707","TWDB.2319707.LITH.4","sandy clay","","eng","ft","120.00","feet","150.00","feet"
"TWDB","2319707","TWDB.2319707.LITH.5","sand & sandy clay","","eng","ft","150.00","feet","190.00","feet"
"TWDB","2319707","TWDB.2319707.LITH.6","sandy clay & sandstone","","eng","ft","190.00","feet","205.00","feet"
"TWDB","2319707","TWDB.2319707.LITH.7","sand","","eng","ft","205.00","feet","230.00","feet"
"TWDB","2319707","TWDB.2319707.LITH.8","sandy clay","","eng","ft","230.00","feet","236.00","feet"
"TWDB","2319707","TWDB.2319707.LITH.9","red bed","","eng","ft","236.00","feet","243.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.1","Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.2","Caliche","","eng","ft","3.00","feet","45.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.3","Sand","","eng","ft","45.00","feet","55.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.4","Caliche","","eng","ft","55.00","feet","70.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.5","Sugar sand","","eng","ft","70.00","feet","81.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.6","Rocky clay","","eng","ft","81.00","feet","89.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.7","Sand and gravel","","eng","ft","89.00","feet","102.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.8","Brown clay","","eng","ft","102.00","feet","114.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.9","Rock","","eng","ft","114.00","feet","116.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.10","Blue clay and broken rock","","eng","ft","116.00","feet","132.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.11","Blue sand","","eng","ft","132.00","feet","141.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.12","Hard rock","","eng","ft","141.00","feet","161.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.13","Blue sand","","eng","ft","161.00","feet","162.00","feet"
"TWDB","2424216","TWDB.2424216.LITH.14","Hard rock","","eng","ft","162.00","feet","175.00","feet"
"TWDB","2327211","TWDB.2327211.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2327211","TWDB.2327211.LITH.2","Caliche and Rock","","eng","ft","3.00","feet","80.00","feet"
"TWDB","2327211","TWDB.2327211.LITH.3","Sand","","eng","ft","80.00","feet","120.00","feet"
"TWDB","2327211","TWDB.2327211.LITH.4","Red Shale","","eng","ft","120.00","feet","148.00","feet"
"TWDB","2327211","TWDB.2327211.LITH.5","Coarse Sand","","eng","ft","148.00","feet","177.00","feet"
"TWDB","2327211","TWDB.2327211.LITH.6","Pack Sand","","eng","ft","177.00","feet","184.00","feet"
"TWDB","2327211","TWDB.2327211.LITH.7","Sand and Gravel","","eng","ft","184.00","feet","200.00","feet"
"TWDB","2327211","TWDB.2327211.LITH.8","Clay","","eng","ft","200.00","feet","210.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.2","Caliche Clay","","eng","ft","4.00","feet","28.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.3","Clay and Rock Ledge","","eng","ft","28.00","feet","79.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.4","Seks - Some Red Sand and Clay","","eng","ft","79.00","feet","140.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.5","Red Clay","","eng","ft","140.00","feet","151.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.6","Sandy Clay and Sandy Seks","","eng","ft","151.00","feet","187.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.7","Sand and Gravel","","eng","ft","187.00","feet","257.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.8","Sandy Clay and Rock Ledge","","eng","ft","257.00","feet","311.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.9","Cemented Rock and Gravel","","eng","ft","311.00","feet","317.00","feet"
"TWDB","2319601","TWDB.2319601.LITH.10","Clay","","eng","ft","317.00","feet","321.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.1","Surface Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.2","Brown Clay","","eng","ft","3.00","feet","20.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.3","Chalk","","eng","ft","20.00","feet","35.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.4","Brown Clay","","eng","ft","35.00","feet","50.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.5","Sandy Clay","","eng","ft","50.00","feet","65.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.6","Lime Rock","","eng","ft","65.00","feet","70.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.7","Sandy Clay","","eng","ft","70.00","feet","73.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.8","Lime Rock","","eng","ft","73.00","feet","78.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.9","Red Clay and Sand","","eng","ft","78.00","feet","90.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.10","Sand and Gravel","","eng","ft","90.00","feet","105.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.11","Sandy Clay","","eng","ft","105.00","feet","130.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.12","Sand","","eng","ft","130.00","feet","274.00","feet"
"TWDB","2335503","TWDB.2335503.LITH.13","Red Clay","","eng","ft","274.00","feet","275.00","feet"
