"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2349101","TWDB.2349101.LITH.1","soil, caliche & clay","","eng","ft","0.00","feet","15.00","feet"
"TWDB","2349101","TWDB.2349101.LITH.2","sand rock & sandstone","","eng","ft","15.00","feet","56.00","feet"
"TWDB","2349101","TWDB.2349101.LITH.3","hard rock","","eng","ft","56.00","feet","58.00","feet"
"TWDB","2349101","TWDB.2349101.LITH.4","sandstone","","eng","ft","58.00","feet","75.00","feet"
"TWDB","2349101","TWDB.2349101.LITH.5","clay","","eng","ft","75.00","feet","90.00","feet"
"TWDB","2349101","TWDB.2349101.LITH.6","sandy clay (streaks fine sand)","","eng","ft","90.00","feet","115.00","feet"
"TWDB","2349101","TWDB.2349101.LITH.7","sand (some gravel)","","eng","ft","115.00","feet","131.00","feet"
"TWDB","2349101","TWDB.2349101.LITH.8","yellow clay","","eng","ft","131.00","feet","136.00","feet"
"TWDB","2349101","TWDB.2349101.LITH.9","blue","","eng","ft","136.00","feet","140.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.1","Top Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.2","Caliche","","eng","ft","5.00","feet","15.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.3","Sandy Red Clay","","eng","ft","15.00","feet","20.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.4","Caliche and Caliche Rock","","eng","ft","20.00","feet","60.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.5","Sand Rock","","eng","ft","60.00","feet","68.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.6","Water Sand (Red)","","eng","ft","68.00","feet","70.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.7","White Rock","","eng","ft","70.00","feet","72.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.8","White Water Sand and Gravel","","eng","ft","72.00","feet","79.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.9","Yellow Clay","","eng","ft","79.00","feet","84.00","feet"
"TWDB","2456501","TWDB.2456501.LITH.10","Blue Clay","","eng","ft","84.00","feet","85.00","feet"
"TWDB","2448602","TWDB.2448602.LITH.1","Top Soil","","eng","ft","0.00","feet","10.00","feet"
"TWDB","2448602","TWDB.2448602.LITH.2","Caliche","","eng","ft","10.00","feet","50.00","feet"
"TWDB","2448602","TWDB.2448602.LITH.3","White Rock","","eng","ft","50.00","feet","56.00","feet"
"TWDB","2448602","TWDB.2448602.LITH.4","Pink Clay","","eng","ft","56.00","feet","76.00","feet"
"TWDB","2448602","TWDB.2448602.LITH.5","Dry Red Sand","","eng","ft","76.00","feet","92.00","feet"
"TWDB","2448602","TWDB.2448602.LITH.6","Yellow Water Sand","","eng","ft","92.00","feet","112.00","feet"
"TWDB","2448602","TWDB.2448602.LITH.7","Red Sand","","eng","ft","112.00","feet","116.00","feet"
"TWDB","2448602","TWDB.2448602.LITH.8","Yellow Clay","","eng","ft","116.00","feet","120.00","feet"
"TWDB","2448602","TWDB.2448602.LITH.9","Bottom Hole","","eng","ft","120.00","","",""
"TWDB","2341202","TWDB.2341202.LITH.1","Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","2341202","TWDB.2341202.LITH.2","Caliche","","eng","ft","5.00","feet","35.00","feet"
"TWDB","2341202","TWDB.2341202.LITH.3","Sand Rock","","eng","ft","35.00","feet","40.00","feet"
"TWDB","2341202","TWDB.2341202.LITH.4","Sandy Clay","","eng","ft","40.00","feet","120.00","feet"
"TWDB","2341202","TWDB.2341202.LITH.5","Sand and Gravel","","eng","ft","120.00","feet","175.00","feet"
"TWDB","2341202","TWDB.2341202.LITH.6","Yellow Clay","","eng","ft","175.00","feet","178.00","feet"
"TWDB","2341202","TWDB.2341202.LITH.7","Blue Clay","","eng","ft","178.00","","",""
"TWDB","2802102","TWDB.2802102.LITH.1","Surface","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2802102","TWDB.2802102.LITH.2","Caliche and Sand, Clay","","eng","ft","3.00","feet","26.00","feet"
"TWDB","2802102","TWDB.2802102.LITH.3","Sand","","eng","ft","26.00","feet","33.00","feet"
"TWDB","2802102","TWDB.2802102.LITH.4","Caliche and Sand and Lime","","eng","ft","33.00","feet","60.00","feet"
"TWDB","2802102","TWDB.2802102.LITH.5","Lime and gravel and Shells","","eng","ft","60.00","feet","80.00","feet"
"TWDB","2802102","TWDB.2802102.LITH.6","Blue Clay","","eng","ft","80.00","feet","90.00","feet"
"TWDB","2335704","TWDB.2335704.LITH.1","Sandy Clay and Caliche","","eng","ft","0.00","feet","49.00","feet"
"TWDB","2335704","TWDB.2335704.LITH.2","Brown Joint Clay","","eng","ft","49.00","feet","89.00","feet"
"TWDB","2335704","TWDB.2335704.LITH.3","Coarse Sand and Gravel","","eng","ft","89.00","feet","265.00","feet"
"TWDB","2335704","TWDB.2335704.LITH.4","Cemented Gravel","","eng","ft","265.00","feet","280.00","feet"
