"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2764602","TWDB.2764602.LITH.1","Surface & subsoil","","eng","ft","0.00","feet","12.00","feet"
"TWDB","2764602","TWDB.2764602.LITH.2","Caliche","","eng","ft","12.00","feet","45.00","feet"
"TWDB","2764602","TWDB.2764602.LITH.3","Hard limestone","","eng","ft","45.00","feet","65.00","feet"
"TWDB","2764602","TWDB.2764602.LITH.4","Hard & soft layers of muddy brown sand","","eng","ft","65.00","feet","105.00","feet"
"TWDB","2764602","TWDB.2764602.LITH.5","Layers of gravel& hard sand w/ water","","eng","ft","105.00","feet","129.00","feet"
"TWDB","2764602","TWDB.2764602.LITH.6","Red bed","","eng","ft","129.00","feet","140.00","feet"
"TWDB","2764802","TWDB.2764802.LITH.1","top soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2764802","TWDB.2764802.LITH.2","caliche","","eng","ft","3.00","feet","15.00","feet"
"TWDB","2764802","TWDB.2764802.LITH.3","gray, sandy clay","","eng","ft","15.00","feet","60.00","feet"
"TWDB","2764802","TWDB.2764802.LITH.4","sand and gravel","","eng","ft","60.00","feet","66.00","feet"
"TWDB","2764802","TWDB.2764802.LITH.5","red clay","","eng","ft","66.00","feet","68.00","feet"
"TWDB","4402410","TWDB.4402410.LITH.1","top soil","","eng","ft","0.00","feet","8.00","feet"
"TWDB","4402410","TWDB.4402410.LITH.2","caliche","","eng","ft","8.00","feet","30.00","feet"
"TWDB","4402410","TWDB.4402410.LITH.3","sandy clay","","eng","ft","30.00","feet","55.00","feet"
"TWDB","4402410","TWDB.4402410.LITH.4","sand rock","","eng","ft","55.00","feet","75.00","feet"
"TWDB","4402410","TWDB.4402410.LITH.5","sandy clay","","eng","ft","75.00","feet","90.00","feet"
"TWDB","4402410","TWDB.4402410.LITH.6","sand and gravel","","eng","ft","90.00","feet","105.00","feet"
"TWDB","4402410","TWDB.4402410.LITH.7","sand rock","","eng","ft","105.00","feet","130.00","feet"
"TWDB","4402410","TWDB.4402410.LITH.8","sandy clay","","eng","ft","130.00","feet","135.00","feet"
"TWDB","4402410","TWDB.4402410.LITH.9","red clay","","eng","ft","135.00","feet","135.00","feet"
