"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0602802","TWDB.0602802.LITH.1","Surface","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0602802","TWDB.0602802.LITH.2","Coarse Sand with Brown Clay","","eng","ft","200.00","feet","247.00","feet"
"TWDB","0602802","TWDB.0602802.LITH.3","Coarse Sand Gravel, Clean","","eng","ft","247.00","feet","378.00","feet"
"TWDB","0602802","TWDB.0602802.LITH.4","Conglomerate, some Hard Sand, little Pink Clay","","eng","ft","378.00","feet","414.00","feet"
"TWDB","0602802","TWDB.0602802.LITH.5","Red Bed","","eng","ft","414.00","feet","423.00","feet"
"TWDB","0602802","TWDB.0602802.LITH.6","Rock","","eng","ft","423.00","","",""
"TWDB","0611204","TWDB.0611204.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","0611204","TWDB.0611204.LITH.2","Caliche - Clay","","eng","ft","3.00","feet","60.00","feet"
"TWDB","0611204","TWDB.0611204.LITH.3","Sand, Rock - Clay","","eng","ft","60.00","feet","135.00","feet"
"TWDB","0611204","TWDB.0611204.LITH.4","Sand - Clay","","eng","ft","135.00","feet","220.00","feet"
"TWDB","0611204","TWDB.0611204.LITH.5","Coarse Sand - Gravel - Clay","","eng","ft","220.00","feet","270.00","feet"
"TWDB","0611204","TWDB.0611204.LITH.6","Clay - Rock, Ledges - Sand","","eng","ft","270.00","feet","300.00","feet"
"TWDB","0611204","TWDB.0611204.LITH.7","Clay - Rock, Ledges - Coarse Sand","","eng","ft","300.00","feet","360.00","feet"
"TWDB","0611204","TWDB.0611204.LITH.8","Medium Sand - Clay","","eng","ft","360.00","feet","405.00","feet"
"TWDB","0611204","TWDB.0611204.LITH.9","Fine Sand - Clay","","eng","ft","405.00","feet","445.00","feet"
"TWDB","0611204","TWDB.0611204.LITH.10","Rock","","eng","ft","445.00","","",""
"TWDB","0715603","TWDB.0715603.LITH.1","Surface","","eng","ft","0.00","feet","320.00","feet"
"TWDB","0715603","TWDB.0715603.LITH.2","Fine Sand w/ traces Sandy Clay","","eng","ft","320.00","feet","345.00","feet"
"TWDB","0715603","TWDB.0715603.LITH.3","Medium Sand w/ traces Sandy Clay","","eng","ft","345.00","feet","395.00","feet"
"TWDB","0715603","TWDB.0715603.LITH.4","Coarse Sand Clean and Tight","","eng","ft","395.00","feet","475.00","feet"
"TWDB","0715603","TWDB.0715603.LITH.5","Fine Sand w/ traces Sandy Clay","","eng","ft","475.00","feet","495.00","feet"
"TWDB","0715603","TWDB.0715603.LITH.6","Conglomeration Hard","","eng","ft","495.00","feet","515.00","feet"
"TWDB","0715603","TWDB.0715603.LITH.7","Blue Clay Real Fine Sand Hard","","eng","ft","515.00","feet","540.00","feet"
"TWDB","0715603","TWDB.0715603.LITH.8","Red and Blue Clay Hard","","eng","ft","540.00","feet","550.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.1","Top Soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.2","Caliche","","eng","ft","2.00","feet","48.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.3","Sand and Shale","","eng","ft","48.00","feet","63.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.4","Shale and Rock","","eng","ft","63.00","feet","158.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.5","Sand Shale and Clay Strips","","eng","ft","158.00","feet","187.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.6","Fine Sand","","eng","ft","187.00","feet","218.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.7","Coarse Sand and Gravel","","eng","ft","218.00","feet","257.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.8","Sand and Clay","","eng","ft","257.00","feet","267.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.9","Coarse Sand","","eng","ft","267.00","feet","318.00","feet"
"TWDB","0601603","TWDB.0601603.LITH.10","Sand Medium Fine","","eng","ft","318.00","feet","419.00","feet"
"TWDB","0609202","TWDB.0609202.LITH.1","Brown Shale and Sand","","eng","ft","0.00","feet","191.00","feet"
"TWDB","0609202","TWDB.0609202.LITH.2","Hard Lime Rock","","eng","ft","191.00","feet","193.00","feet"
"TWDB","0609202","TWDB.0609202.LITH.3","Medium to Coarse Sand","","eng","ft","193.00","feet","220.00","feet"
"TWDB","0609202","TWDB.0609202.LITH.4","Coarse Sand and Gravel","","eng","ft","220.00","feet","270.00","feet"
"TWDB","0609202","TWDB.0609202.LITH.5","Fine Brown Sand","","eng","ft","270.00","feet","355.00","feet"
"TWDB","0609202","TWDB.0609202.LITH.6","Clay","","eng","ft","355.00","feet","390.00","feet"
"TWDB","0610201","TWDB.0610201.LITH.1","Surface","","eng","ft","0.00","feet","255.00","feet"
"TWDB","0610201","TWDB.0610201.LITH.2","Fine Sand and Sandy Clay","","eng","ft","255.00","feet","270.00","feet"
"TWDB","0610201","TWDB.0610201.LITH.3","Fine Sand","","eng","ft","270.00","feet","330.00","feet"
"TWDB","0610201","TWDB.0610201.LITH.4","Fine Sand w/ Strips of Clay","","eng","ft","330.00","feet","358.00","feet"
"TWDB","0610201","TWDB.0610201.LITH.5","Fine Sand and Clay, Muddy","","eng","ft","358.00","feet","385.00","feet"
"TWDB","0610201","TWDB.0610201.LITH.6","Fine Sand w/ Clay Streaks","","eng","ft","385.00","feet","440.00","feet"
"TWDB","0610201","TWDB.0610201.LITH.7","Clay","","eng","ft","440.00","feet","450.00","feet"
"TWDB","0358709","TWDB.0358709.LITH.1","surface caliche clay& sand","","eng","ft","0.00","feet","320.00","feet"
"TWDB","0358709","TWDB.0358709.LITH.2","coarse sand w/clay strips","","eng","ft","320.00","feet","360.00","feet"
"TWDB","0358709","TWDB.0358709.LITH.3","med to coarse sand, multicolor clay& brown firm sand","","eng","ft","360.00","feet","400.00","feet"
"TWDB","0358709","TWDB.0358709.LITH.4","dark brown sand w/clay strips","","eng","ft","400.00","feet","440.00","feet"
"TWDB","0358709","TWDB.0358709.LITH.5","tight fine sand w/clay strips","","eng","ft","440.00","feet","480.00","feet"
"TWDB","0358709","TWDB.0358709.LITH.6","tight med sand w/clay strips","","eng","ft","480.00","feet","505.00","feet"
"TWDB","0358709","TWDB.0358709.LITH.7","red clay","","eng","ft","505.00","feet","515.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.1","surface","","eng","ft","0.00","feet","255.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.2","coarse sand and gravel","","eng","ft","255.00","feet","285.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.3","coarse sand and gravel and clay","","eng","ft","285.00","feet","300.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.4","med white sand","","eng","ft","300.00","feet","315.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.5","med sand and clay","","eng","ft","315.00","feet","330.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.6","fine brown sand and clay","","eng","ft","330.00","feet","342.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.7","clay and shale","","eng","ft","342.00","feet","350.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.8","rock","","eng","ft","350.00","feet","352.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.9","red clay and shale","","eng","ft","352.00","feet","580.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.10","med white sand and clay","","eng","ft","580.00","feet","635.00","feet"
"TWDB","0609401","TWDB.0609401.LITH.11","red clay","","eng","ft","635.00","feet","650.00","feet"
"TWDB","0601117","TWDB.0601117.LITH.1","surface caliche, clay& sand","","eng","ft","0.00","feet","400.00","feet"
"TWDB","0601117","TWDB.0601117.LITH.2","clay & sandy clay","","eng","ft","400.00","feet","440.00","feet"
"TWDB","0601117","TWDB.0601117.LITH.3","fine sand & multi color clay","","eng","ft","440.00","feet","480.00","feet"
"TWDB","0601117","TWDB.0601117.LITH.4","fine to med sand w/clay strip","","eng","ft","480.00","feet","520.00","feet"
"TWDB","0601117","TWDB.0601117.LITH.5","fine to med sand","","eng","ft","520.00","feet","560.00","feet"
"TWDB","0601117","TWDB.0601117.LITH.6","fine to med sand","","eng","ft","560.00","feet","600.00","feet"
"TWDB","0601117","TWDB.0601117.LITH.7","multi color clay& hard shale","","eng","ft","600.00","feet","625.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.2","Caliche","","eng","ft","4.00","feet","27.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.3","Clay","","eng","ft","27.00","feet","47.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.4","Shale Rock","","eng","ft","47.00","feet","52.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.5","Sand and Shale","","eng","ft","52.00","feet","105.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.6","Sand and Gravel","","eng","ft","105.00","feet","178.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.7","Rock","","eng","ft","178.00","feet","181.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.8","Blue Clay","","eng","ft","181.00","feet","217.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.9","Sand","","eng","ft","217.00","feet","241.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.10","Red Clay","","eng","ft","241.00","feet","298.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.11","Sand and Clay Strips","","eng","ft","298.00","feet","320.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.12","Sand","","eng","ft","320.00","feet","365.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.13","Sand","","eng","ft","365.00","feet","445.00","feet"
"TWDB","0708702","TWDB.0708702.LITH.14","Sand and Gravel","","eng","ft","445.00","feet","455.00","feet"
