"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"USGS","405632098373501","USGS.405632098373501.2.0","","","eng","Unknown","1.","feet","51.","feet"
"USGS","413130100531202","USGS.413130100531202.1.0","Sand","Sand","eng","Unknown","0","feet","5","feet"
"USGS","413130100531202","USGS.413130100531202.2.0","Sand","Sand","eng","Unknown","5","feet","10","feet"
"USGS","413130100531202","USGS.413130100531202.3.0","Sand","Sand","eng","Unknown","10","feet","15","feet"
"USGS","413130100531202","USGS.413130100531202.4.0","Sand","Sand","eng","Unknown","15","feet","20","feet"
"USGS","413130100531202","USGS.413130100531202.5.0","Sand","Sand","eng","Unknown","20","feet","25","feet"
"USGS","413130100531202","USGS.413130100531202.6.0","Sand","Sand","eng","Unknown","25","feet","30","feet"
"USGS","413130100531202","USGS.413130100531202.7.0","Sand","Sand","eng","Unknown","30","feet","35","feet"
"USGS","413130100531202","USGS.413130100531202.8.0","Sand","Sand","eng","Unknown","35","feet","40","feet"
"USGS","413130100531202","USGS.413130100531202.9.0","Sand","Sand","eng","Unknown","45","feet","50","feet"
"USGS","413130100531202","USGS.413130100531202.10.0","Sand","Sand","eng","Unknown","50","feet","55","feet"
"USGS","413130100531202","USGS.413130100531202.11.0","Sand","Sand","eng","Unknown","55","feet","60","feet"
"USGS","413130100531202","USGS.413130100531202.12.0","Sand","Sand","eng","Unknown","60","feet","65","feet"
"USGS","413130100531202","USGS.413130100531202.13.0","Sand","Sand","eng","Unknown","65","feet","70","feet"
"USGS","413130100531202","USGS.413130100531202.14.0","Sand","Sand","eng","Unknown","70","feet","75","feet"
"USGS","413130100531202","USGS.413130100531202.15.0","Sand","Sand","eng","Unknown","75","feet","80","feet"
"USGS","413130100531202","USGS.413130100531202.16.0","Sand","Sand","eng","Unknown","80","feet","85","feet"
"USGS","413130100531202","USGS.413130100531202.17.0","Sand","Sand","eng","Unknown","85","feet","90","feet"
"USGS","413130100531202","USGS.413130100531202.18.0","Sand","Sand","eng","Unknown","90","feet","95","feet"
"USGS","413130100531202","USGS.413130100531202.19.0","Sand","Sand","eng","Unknown","95","feet","100","feet"
"USGS","413130100531202","USGS.413130100531202.20.0","Sand","Sand","eng","Unknown","100","feet","105","feet"
"USGS","413130100531202","USGS.413130100531202.21.0","Sand","Sand","eng","Unknown","105","feet","110","feet"
"USGS","413130100531202","USGS.413130100531202.22.0","Sand","Sand","eng","Unknown","110","feet","115","feet"
"USGS","413130100531202","USGS.413130100531202.23.0","Sand","Sand","eng","Unknown","115","feet","120","feet"
"USGS","413130100531202","USGS.413130100531202.24.0","Sand","Sand","eng","Unknown","120","feet","125","feet"
"USGS","413130100531202","USGS.413130100531202.25.0","Sand","Sand","eng","Unknown","125","feet","130","feet"
"USGS","413130100531202","USGS.413130100531202.26.0","Sand","Sand","eng","Unknown","130","feet","133","feet"
"USGS","413130100531202","USGS.413130100531202.27.0","Sand","Sand","eng","Unknown","133","feet","135","feet"
"USGS","413130100531202","USGS.413130100531202.28.0","Sand","Sand","eng","Unknown","135","feet","140","feet"
"USGS","413130100531202","USGS.413130100531202.29.0","Sand & Silt","Sand & Silt","eng","Unknown","140","feet","145","feet"
"USGS","413130100531202","USGS.413130100531202.30.0","Sand & Clay","Sand & Clay","eng","Unknown","145","feet","150","feet"
"USGS","413130100531202","USGS.413130100531202.31.0","Silt & Clay","Silt & Clay","eng","Unknown","150","feet","155","feet"
"USGS","411231096193203","USGS.411231096193203.1.0","","","eng","Unknown","0","feet","27","feet"
"USGS","411231096193202","USGS.411231096193202.1.0","","","eng","Unknown","0","feet","61","feet"
"USGS","412151096180802","USGS.412151096180802.1.0","","","eng","Unknown","0","feet","29","feet"
"USGS","412151096180801","USGS.412151096180801.1.0","","","eng","Unknown","0","feet","35","feet"
"USGS","410943097575001","USGS.410943097575001.2.0","Soil","Soil","eng","Unknown","0","feet","3.0","feet"
"USGS","410943097575001","USGS.410943097575001.3.0","Sand","Sand","eng","Unknown","3.0","feet","5.0","feet"
"USGS","410943097575001","USGS.410943097575001.5.0","Sand & Gravel","Sand & Gravel","eng","Unknown","8.0","feet","10.0","feet"
"USGS","410943097575001","USGS.410943097575001.7.0","Sand","Sand","eng","Unknown","11.5","feet","14.5","feet"
"USGS","410943097575001","USGS.410943097575001.8.0","Gravel","Gravel","eng","Unknown","14.5","feet","15.0","feet"
"USGS","410943097575001","USGS.410943097575001.9.0","Sand","Sand","eng","Unknown","15.0","feet","20.0","feet"
"USGS","414031101305602","USGS.414031101305602.1.0","Sand & Gravel","Sand & Gravel","eng","Unknown","116.","feet","119.","feet"
"USGS","405129099090201","USGS.405129099090201.1.0","Soil","Soil","eng","Unknown","0","feet","3.0","feet"
"USGS","405129099090201","USGS.405129099090201.2.0","Clay","Clay","eng","Unknown","3.0","feet","10.0","feet"
"USGS","405129099090201","USGS.405129099090201.3.0","Clay","Clay","eng","Unknown","10.0","feet","15.0","feet"
"USGS","405129099090201","USGS.405129099090201.4.0","Clay","Clay","eng","Unknown","15.0","feet","25.5","feet"
"USGS","405129099090201","USGS.405129099090201.5.0","Silt","Silt","eng","Unknown","25.5","feet","28.0","feet"
"USGS","405129099090201","USGS.405129099090201.6.0","Silt","Silt","eng","Unknown","28.0","feet","35.0","feet"
"USGS","405129099090201","USGS.405129099090201.7.0","Silt","Silt","eng","Unknown","35.0","feet","40.0","feet"
"USGS","405129099090201","USGS.405129099090201.8.0","Silt","Silt","eng","Unknown","40.0","feet","45.0","feet"
"USGS","405129099090201","USGS.405129099090201.9.0","Silt","Silt","eng","Unknown","45.0","feet","49.0","feet"
"USGS","405129099090201","USGS.405129099090201.10.0","Silt","Silt","eng","Unknown","49.0","feet","55.0","feet"
"USGS","405129099090201","USGS.405129099090201.11.0","Silt","Silt","eng","Unknown","55.0","feet","57.5","feet"
