"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0348302","TWDB.0348302.LITH.1","Overburden","","eng","ft","0.00","feet","230.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.2","med to coarse sand(loose)","","eng","ft","230.00","feet","245.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.3","coarse sand some clay(loose)","","eng","ft","245.00","feet","260.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.4","clay w/sand fine(loose)","","eng","ft","260.00","feet","275.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.5","med to coarse sand w/clay","","eng","ft","275.00","feet","290.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.6","med sand w clay strks","","eng","ft","290.00","feet","305.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.7","med to coarse sand w/clay","","eng","ft","305.00","feet","320.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.8","clay, med sand & rock","","eng","ft","320.00","feet","335.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.9","clay w/fine sand (loose)","","eng","ft","335.00","feet","350.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.10","clay w/fine sand (loose)","","eng","ft","350.00","feet","365.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.11","clay w/fine sand (loose)","","eng","ft","365.00","feet","380.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.12","clay w/med & fine sand","","eng","ft","380.00","feet","395.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.13","clay w/med & fine sand","","eng","ft","395.00","feet","410.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.14","med sand & clay (loose)","","eng","ft","410.00","feet","425.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.15","fine & med sand & clay (loose)","","eng","ft","425.00","feet","440.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.16","fine sand w/sandy clay (loose)","","eng","ft","440.00","feet","455.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.17","clay w/med to coarse sand (loose)","","eng","ft","455.00","feet","470.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.18","med to coarse sand w/clay (loose)","","eng","ft","470.00","feet","485.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.19","med to fine sand w/clay(loose)","","eng","ft","485.00","feet","500.00","feet"
"TWDB","0348302","TWDB.0348302.LITH.20","fine to med sand w/clay strks.","","eng","ft","500.00","feet","545.00","feet"
"TWDB","0348802","TWDB.0348802.LITH.1","Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","0348802","TWDB.0348802.LITH.2","Caliche","","eng","ft","5.00","feet","75.00","feet"
"TWDB","0348802","TWDB.0348802.LITH.3","Pack sand and caliche","","eng","ft","75.00","feet","165.00","feet"
"TWDB","0348802","TWDB.0348802.LITH.4","fine sand","","eng","ft","165.00","feet","178.00","feet"
"TWDB","0348802","TWDB.0348802.LITH.5","sand","","eng","ft","178.00","feet","245.00","feet"
"TWDB","0348802","TWDB.0348802.LITH.6","coarse sand and gravel","","eng","ft","245.00","feet","440.00","feet"
"TWDB","0348802","TWDB.0348802.LITH.7","clay","","eng","ft","440.00","feet","442.00","feet"
"TWDB","0340904","TWDB.0340904.LITH.1","Surface","","eng","ft","0.00","feet","240.00","feet"
"TWDB","0340904","TWDB.0340904.LITH.2","Clay w/tr real Fine Sand","","eng","ft","240.00","feet","280.00","feet"
"TWDB","0340904","TWDB.0340904.LITH.3","Fine Sand w/tr Clay","","eng","ft","280.00","feet","318.00","feet"
"TWDB","0340904","TWDB.0340904.LITH.4","Clay","","eng","ft","318.00","feet","335.00","feet"
"TWDB","0340904","TWDB.0340904.LITH.5","Extra Fine Sand Lots Clay","","eng","ft","335.00","feet","370.00","feet"
"TWDB","0340904","TWDB.0340904.LITH.6","Extra Fine Sand Clean and Tight, Taking Water","","eng","ft","370.00","feet","400.00","feet"
"TWDB","0340904","TWDB.0340904.LITH.7","Extra Fine Sand w/tr Clay Taking Lots Water","","eng","ft","400.00","feet","640.00","feet"
"TWDB","0340904","TWDB.0340904.LITH.8","Extra Fine White Sand Clean and Loose, Taking Lots Water","","eng","ft","640.00","feet","672.00","feet"
"TWDB","0443701","TWDB.0443701.LITH.1","surface caliche clay& sand","","eng","ft","0.00","feet","260.00","feet"
"TWDB","0443701","TWDB.0443701.LITH.2","med to coarse sand w/clay strips","","eng","ft","260.00","feet","300.00","feet"
"TWDB","0443701","TWDB.0443701.LITH.3","med to coarse sand w/clay strips","","eng","ft","300.00","feet","420.00","feet"
"TWDB","0443701","TWDB.0443701.LITH.4","med to coarse sand w/clay strips","","eng","ft","420.00","feet","500.00","feet"
"TWDB","0443701","TWDB.0443701.LITH.5","fine to med sand& red clay","","eng","ft","500.00","feet","530.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.1","Surface","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.2","Fine Sand with Streaks Clay","","eng","ft","200.00","feet","235.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.3","Brown Clay w/ trace Fine Sand","","eng","ft","235.00","feet","275.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.4","Medium Sand and Gravel","","eng","ft","275.00","feet","283.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.5","Rock","","eng","ft","283.00","feet","286.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.6","Fine Sand Gravel Loose","","eng","ft","286.00","feet","305.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.7","Coarse White Sand w/ trace Brown Clay","","eng","ft","305.00","feet","340.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.8","Brown Clay w/ trace Coarse Sand, Firm","","eng","ft","340.00","feet","355.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.9","Solid Brown Clay","","eng","ft","355.00","feet","440.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.10","Medium Sand Sandy Clay w/ trace Clay","","eng","ft","440.00","feet","510.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.11","Clay and Fine Sand","","eng","ft","510.00","feet","520.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.12","Fine Sand w/ trace Sandy Clay and Brown Clay","","eng","ft","520.00","feet","585.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.13","Medium Sand, Loose","","eng","ft","585.00","feet","650.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.14","Brown Sandy Clay","","eng","ft","650.00","feet","670.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.15","Medium Sand Gravel w/ trace Clay","","eng","ft","670.00","feet","681.00","feet"
"TWDB","0459201","TWDB.0459201.LITH.16","Red Clay Solid","","eng","ft","681.00","feet","704.00","feet"
"TWDB","0436501","TWDB.0436501.LITH.1","Surface","","eng","ft","0.00","feet","210.00","feet"
"TWDB","0436501","TWDB.0436501.LITH.2","Medium Fine Sand Streaks Clay (Loose)","","eng","ft","210.00","feet","247.00","feet"
"TWDB","0436501","TWDB.0436501.LITH.3","Fine Sand w/ Dark Streaks Clay Loose","","eng","ft","247.00","feet","296.00","feet"
"TWDB","0436501","TWDB.0436501.LITH.4","Brown Sandy Clay w/ Dark Fine Sand Loose","","eng","ft","296.00","feet","338.00","feet"
"TWDB","0436501","TWDB.0436501.LITH.5","Medium Coarse Sand","","eng","ft","338.00","feet","351.00","feet"
"TWDB","0436501","TWDB.0436501.LITH.6","Brown and Red Clay","","eng","ft","351.00","feet","385.00","feet"
"TWDB","0436501","TWDB.0436501.LITH.7","Fine Red Sand Traces of Red Clay","","eng","ft","385.00","feet","397.00","feet"
"TWDB","0436501","TWDB.0436501.LITH.8","Red Clay and Shale","","eng","ft","397.00","feet","430.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.1","Overburden Tight Streaks","","eng","ft","0.00","feet","260.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.2","Fine Coarse Sand with Clay Streaks, Loose","","eng","ft","260.00","feet","275.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.3","Pink and Yellow Clay with Medium-Coarse Sand and Gravel Loose","","eng","ft","275.00","feet","290.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.4","Pink Clay Balls Loose","","eng","ft","290.00","feet","305.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.5","Pink and Yellow Clay Loose","","eng","ft","305.00","feet","320.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.6","Medium-Coarse Sand with Clay Streaks, Loose","","eng","ft","320.00","feet","335.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.7","Pink-Yellow Brown Clay with Some Fine Coarse Sand and Gravel","","eng","ft","335.00","feet","350.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.8","Pink-Yellow Clay with some Fine Sand Loose","","eng","ft","350.00","feet","365.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.9","Medium Coarse Sand with Clay Loose","","eng","ft","365.00","feet","380.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.10","Fine Coarse Sand and some Gravel with Clay Balls Loose","","eng","ft","380.00","feet","395.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.11","Coarse Sand and Gravel Loose","","eng","ft","395.00","feet","410.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.12","Medium Coarse Sand and Gravel Loose","","eng","ft","410.00","feet","425.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.13","Coarse Sand and Gravel Loose","","eng","ft","425.00","feet","440.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.14","Medium Coarse Sand and Gravel Loose","","eng","ft","440.00","feet","455.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.15","Medium Coarse Sand and Gravel with some Red Clay Loose","","eng","ft","445.00","feet","470.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.16","Medium Coarse Sand Loose","","eng","ft","470.00","feet","485.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.17","Medium Coarse Sand with Clay Streaks, Loose","","eng","ft","485.00","feet","515.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.18","Medium Coarse Sand Loose","","eng","ft","515.00","feet","560.00","feet"
"TWDB","0442201","TWDB.0442201.LITH.19","Medium Coarse Sand with Clay Streaks, Loose","","eng","ft","560.00","feet","650.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.1","Coarse Sand and Streaks of Rock","","eng","ft","280.00","feet","300.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.2","Coarse Sand","","eng","ft","300.00","feet","320.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.3","Clay","","eng","ft","320.00","feet","325.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.4","Coarse Sand","","eng","ft","325.00","feet","340.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.5","Clay","","eng","ft","340.00","feet","345.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.6","Clay, Thin Streaks of Sand","","eng","ft","345.00","feet","360.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.7","Fine Sand w/ Streaks of Gravel","","eng","ft","360.00","feet","390.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.8","Sand","","eng","ft","390.00","feet","400.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.9","Clay w/ Streaks of Sand","","eng","ft","400.00","feet","435.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.10","Sand and Gravel, Some Clay","","eng","ft","435.00","feet","450.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.11","Sand and Clay","","eng","ft","450.00","feet","480.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.12","Clay and Sand Streaks","","eng","ft","480.00","feet","498.00","feet"
"TWDB","0449601","TWDB.0449601.LITH.13","Red Clay","","eng","ft","488.00","","",""
"TWDB","0356801","TWDB.0356801.LITH.1","Caliche","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0356801","TWDB.0356801.LITH.2","Fine Sand","","eng","ft","200.00","feet","213.00","feet"
"TWDB","0356801","TWDB.0356801.LITH.3","Sand and Clay Stks","","eng","ft","213.00","feet","361.00","feet"
"TWDB","0356801","TWDB.0356801.LITH.4","Sand","","eng","ft","361.00","feet","392.00","feet"
"TWDB","0356801","TWDB.0356801.LITH.5","Sand and Clay Stks","","eng","ft","393.00","feet","426.00","feet"
"TWDB","0356801","TWDB.0356801.LITH.6","Clay (Pink)","","eng","ft","426.00","feet","605.00","feet"
"TWDB","0356801","TWDB.0356801.LITH.7","Coarse Sand and Gravel","","eng","ft","605.00","feet","726.00","feet"
"TWDB","0340903","TWDB.0340903.LITH.1","surface","","eng","ft","0.00","feet","240.00","feet"
"TWDB","0340903","TWDB.0340903.LITH.2","Fine to med. sand gravel w/tr clay","","eng","ft","240.00","feet","430.00","feet"
"TWDB","0340903","TWDB.0340903.LITH.3","Fine sand w/stks clay","","eng","ft","430.00","feet","550.00","feet"
"TWDB","0340903","TWDB.0340903.LITH.4","Real fine sand w/strks red clay","","eng","ft","550.00","feet","578.00","feet"
"TWDB","0340903","TWDB.0340903.LITH.5","Red shale aand clay","","eng","ft","578.00","feet","595.00","feet"
"TWDB","0348601","TWDB.0348601.LITH.1","Top soil, caliche clay","","eng","ft","0.00","feet","195.00","feet"
"TWDB","0348601","TWDB.0348601.LITH.2","Fine sands","","eng","ft","195.00","feet","210.00","feet"
"TWDB","0348601","TWDB.0348601.LITH.3","Clay","","eng","ft","210.00","feet","230.00","feet"
"TWDB","0348601","TWDB.0348601.LITH.4","Medium to fine sands","","eng","ft","230.00","feet","315.00","feet"
"TWDB","0348601","TWDB.0348601.LITH.5","Medium to coarse sands","","eng","ft","315.00","feet","425.00","feet"
"TWDB","0348601","TWDB.0348601.LITH.6","Red clay","","eng","ft","425.00","feet","445.00","feet"
"TWDB","0348601","TWDB.0348601.LITH.7","Medium to fine sands w/red clay streaks thru-out","","eng","ft","445.00","feet","591.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.1","Surface","","eng","ft","0.00","feet","225.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.2","Fine sand lots caliche and sand rock","","eng","ft","225.00","feet","240.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.3","Same. sand is coarse red clay streaks","","eng","ft","240.00","feet","290.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.4","Coarse sand brown and red clay streaks","","eng","ft","290.00","feet","315.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.5","Soft sandy clay some fine sand","","eng","ft","315.00","feet","360.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.6","Med. sand brown sand clay streaks","","eng","ft","360.00","feet","424.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.7","Brown clay","","eng","ft","424.00","feet","441.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.8","Med sand clean and loose","","eng","ft","441.00","feet","485.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.9","Coarse sand and gravels","","eng","ft","485.00","feet","500.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.10","Same, clay streaks","","eng","ft","500.00","feet","507.00","feet"
"TWDB","0348203","TWDB.0348203.LITH.11","Red Bed.","","eng","ft","507.00","feet","545.00","feet"
"TWDB","0348202","TWDB.0348202.LITH.1","Surface","","eng","ft","0.00","feet","230.00","feet"
"TWDB","0348202","TWDB.0348202.LITH.2","Coarse sand clean and loose (trace clay from 230 to 235)","","eng","ft","230.00","feet","276.00","feet"
"TWDB","0348202","TWDB.0348202.LITH.3","Soft sandy clay w coarse sand streaks","","eng","ft","276.00","feet","289.00","feet"
"TWDB","0348202","TWDB.0348202.LITH.4","Soft sandy clay red no sand","","eng","ft","289.00","feet","292.00","feet"
"TWDB","0348202","TWDB.0348202.LITH.5","Solid red clay (Red bed)","","eng","ft","292.00","feet","365.00","feet"
