"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0746801","TWDB.0746801.LITH.1","top soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.2","caliche, clay, rock","","eng","ft","4.00","feet","84.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.3","clay","","eng","ft","84.00","feet","160.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.4","sandy clay","","eng","ft","160.00","feet","260.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.5","brown sand","","eng","ft","260.00","feet","280.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.6","coarse sand","","eng","ft","280.00","feet","320.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.7","rock","","eng","ft","320.00","feet","321.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.8","clay","","eng","ft","321.00","feet","330.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.9","gravel","","eng","ft","330.00","feet","340.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.10","clay and gravel","","eng","ft","340.00","feet","345.00","feet"
"TWDB","0746801","TWDB.0746801.LITH.11","red bed","","eng","ft","345.00","feet","360.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.1","top soil to 5' clay and caliche","","eng","ft","0.00","feet","30.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.2","fine sand and some clay","","eng","ft","30.00","feet","52.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.3","sand and clay","","eng","ft","52.00","feet","73.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.4","sand and sandstone little clay","","eng","ft","73.00","feet","95.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.5","fine sand little clay","","eng","ft","95.00","feet","117.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.6","fine sand little sandstone","","eng","ft","117.00","feet","139.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.7","fine sand some red clay","","eng","ft","139.00","feet","160.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.8","clay strip 178' sand","","eng","ft","160.00","feet","182.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.9","fine to medium sand","","eng","ft","182.00","feet","204.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.10","sand and sand rock","","eng","ft","204.00","feet","226.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.11","fine medium sand some rock - 235' red clay yellow clay","","eng","ft","226.00","feet","248.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.12","red and yellow clay","","eng","ft","248.00","feet","270.00","feet"
"TWDB","0752101","TWDB.0752101.LITH.13","T.D. red bed","","eng","ft","270.00","feet","282.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.1","surface","","eng","ft","0.00","feet","15.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.2","clay and caliche","","eng","ft","15.00","feet","54.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.3","rock","","eng","ft","54.00","feet","60.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.4","sand and caliche","","eng","ft","60.00","feet","117.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.5","sand","","eng","ft","117.00","feet","176.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.6","med. sand","","eng","ft","176.00","feet","230.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.7","rock","","eng","ft","230.00","feet","231.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.8","coarse sand","","eng","ft","231.00","feet","262.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.9","sand and gravel","","eng","ft","262.00","feet","273.00","feet"
"TWDB","0754404","TWDB.0754404.LITH.10","clay","","eng","ft","273.00","feet","276.00","feet"
"TWDB","0744807","TWDB.0744807.LITH.1","surface","","eng","ft","0.00","feet","160.00","feet"
"TWDB","0744807","TWDB.0744807.LITH.2","fine light sand some clay","","eng","ft","160.00","feet","180.00","feet"
"TWDB","0744807","TWDB.0744807.LITH.3","brown grey clay, fine sand","","eng","ft","180.00","feet","203.00","feet"
"TWDB","0744807","TWDB.0744807.LITH.4","fine sand, streaks of clay","","eng","ft","203.00","feet","228.00","feet"
"TWDB","0744807","TWDB.0744807.LITH.5","red bed","","eng","ft","228.00","feet","247.00","feet"
"TWDB","0751601","TWDB.0751601.LITH.1","soil, clay, and sandy clay","","eng","ft","0.00","feet","50.00","feet"
"TWDB","0751601","TWDB.0751601.LITH.2","rock and sandrock","","eng","ft","50.00","feet","75.00","feet"
"TWDB","0751601","TWDB.0751601.LITH.3","sand and sand rock streaks","","eng","ft","75.00","feet","145.00","feet"
"TWDB","0751601","TWDB.0751601.LITH.4","sandy clay","","eng","ft","145.00","feet","152.00","feet"
"TWDB","0751601","TWDB.0751601.LITH.5","med-loose sand","","eng","ft","152.00","feet","158.00","feet"
"TWDB","0751601","TWDB.0751601.LITH.6","clay","","eng","ft","158.00","feet","163.00","feet"
"TWDB","0751601","TWDB.0751601.LITH.7","loose sand","","eng","ft","163.00","feet","170.00","feet"
"TWDB","0751601","TWDB.0751601.LITH.8","red beds","","eng","ft","170.00","feet","175.00","feet"
"TWDB","0752610","TWDB.0752610.LITH.1","surface","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0752610","TWDB.0752610.LITH.2","fine sand w/caliche, clay, and sand rock","","eng","ft","200.00","feet","218.00","feet"
"TWDB","0752610","TWDB.0752610.LITH.3","med. fine sand, clean","","eng","ft","218.00","feet","258.00","feet"
"TWDB","0752610","TWDB.0752610.LITH.4","med. fine sand w/dark brown clay, small streaks hard white clay","","eng","ft","258.00","feet","274.00","feet"
"TWDB","0752610","TWDB.0752610.LITH.5","med. fine sand w/dark streaks brown clay","","eng","ft","274.00","feet","304.00","feet"
"TWDB","0752610","TWDB.0752610.LITH.6","sandy clay","","eng","ft","304.00","feet","320.00","feet"
"TWDB","0752610","TWDB.0752610.LITH.7","yellow clay, red bed","","eng","ft","320.00","feet","340.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.1","top soil, clay, caliche rock","","eng","ft","0.00","feet","28.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.2","clay and caliche rock, little sand","","eng","ft","28.00","feet","49.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.3","sandy clay, sandstone","","eng","ft","49.00","feet","70.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.4","sandy clay, sandstone","","eng","ft","70.00","feet","91.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.5","fine sand, some clay","","eng","ft","91.00","feet","112.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.10","fine sand, sandstone, little","","eng","ft","108.00","feet","220.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.6","fine sand, sandy clay","","eng","ft","112.00","feet","133.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.7","clay and sand","","eng","ft","133.00","feet","155.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.8","sandy clay, some fine sand","","eng","ft","155.00","feet","176.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.9","fine sand, sandrock","","eng","ft","176.00","feet","108.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.11","fine sand, sandrock clay","","eng","ft","220.00","feet","242.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.12","fine sand, sandrock","","eng","ft","242.00","feet","263.00","feet"
"TWDB","0753227","TWDB.0753227.LITH.13","fine sand, red bed - 280ft","","eng","ft","263.00","feet","284.00","feet"
"TWDB","0752301","TWDB.0752301.LITH.1","surface","","eng","ft","0.00","feet","250.00","feet"
"TWDB","0752301","TWDB.0752301.LITH.2","fine sand w/tr clay sand rock","","eng","ft","250.00","feet","295.00","feet"
"TWDB","0752301","TWDB.0752301.LITH.3","real fine white sand blue clay","","eng","ft","295.00","feet","315.00","feet"
"TWDB","0752301","TWDB.0752301.LITH.4","fine sand w/tr clay","","eng","ft","315.00","feet","336.00","feet"
"TWDB","0752301","TWDB.0752301.LITH.5","red clay and shale","","eng","ft","336.00","feet","370.00","feet"
"TWDB","0753407","TWDB.0753407.LITH.1","surface","","eng","ft","0.00","feet","210.00","feet"
"TWDB","0753407","TWDB.0753407.LITH.2","fine sand sandy clay","","eng","ft","210.00","feet","230.00","feet"
"TWDB","0753407","TWDB.0753407.LITH.3","fine sand w/tr lime tock","","eng","ft","230.00","feet","266.00","feet"
"TWDB","0753407","TWDB.0753407.LITH.4","lime rock","","eng","ft","266.00","feet","268.00","feet"
"TWDB","0753407","TWDB.0753407.LITH.5","fine sand sandy clay","","eng","ft","268.00","feet","275.00","feet"
"TWDB","0753407","TWDB.0753407.LITH.6","lime rock","","eng","ft","275.00","feet","277.00","feet"
"TWDB","0753407","TWDB.0753407.LITH.7","fine sand clean and loose","","eng","ft","277.00","feet","305.00","feet"
"TWDB","0753407","TWDB.0753407.LITH.8","blue clay/ lots real fine sand","","eng","ft","315.00","feet","325.00","feet"
"TWDB","0753407","TWDB.0753407.LITH.9","shale and clay","","eng","ft","325.00","feet","350.00","feet"
