"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0932502","TWDB.0932502.LITH.1","Top soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.2","Caliche","","eng","ft","4.00","feet","50.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.3","Sand","","eng","ft","50.00","feet","80.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.4","Sand and sandstone","","eng","ft","80.00","feet","140.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.5","Clay","","eng","ft","140.00","feet","160.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.6","Sand and stone","","eng","ft","160.00","feet","200.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.7","Med sand and stone","","eng","ft","200.00","feet","320.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.8","Fine sand","","eng","ft","320.00","feet","340.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.9","Sand and white clay","","eng","ft","340.00","feet","355.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.10","Fine sand","","eng","ft","355.00","feet","365.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.11","Rock","","eng","ft","365.00","feet","368.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.12","Sand stone and clay strips","","eng","ft","368.00","feet","390.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.13","Coarse sand and clay strips","","eng","ft","390.00","feet","420.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.14","Clay, some strips","","eng","ft","420.00","feet","430.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.15","Coarse sand","","eng","ft","430.00","feet","440.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.16","Clay and sand strips","","eng","ft","440.00","feet","450.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.17","Coarse sand and gravel","","eng","ft","450.00","feet","465.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.18","Red clay","","eng","ft","465.00","feet","468.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.19","Rock","","eng","ft","468.00","feet","470.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.20","Gravel","","eng","ft","470.00","feet","485.00","feet"
"TWDB","0932502","TWDB.0932502.LITH.21","Red bed","","eng","ft","485.00","feet","505.00","feet"
"TWDB","1028501","TWDB.1028501.LITH.1","Top soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1028501","TWDB.1028501.LITH.2","Caliche and clay","","eng","ft","4.00","feet","60.00","feet"
"TWDB","1028501","TWDB.1028501.LITH.3","Sand and sand rock","","eng","ft","60.00","feet","100.00","feet"
"TWDB","1028501","TWDB.1028501.LITH.4","Hard sand","","eng","ft","100.00","feet","300.00","feet"
"TWDB","1028501","TWDB.1028501.LITH.5","Sand and rock","","eng","ft","300.00","feet","450.00","feet"
