"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0635206","TWDB.0635206.LITH.1","loose fine sand","","eng","ft","0.00","feet","7.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.2","coarse sand & gravel w/cemented strips, caliche strip","","eng","ft","7.00","feet","60.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.3","sandy clay w/small sand& gravel strips","","eng","ft","60.00","feet","80.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.4","clay & sandy clay strips","","eng","ft","80.00","feet","100.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.5","brown clay, coarse sand strip","","eng","ft","100.00","feet","120.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.6","coarse sand w/small gravel& clay strips","","eng","ft","120.00","feet","160.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.7","firm brown clay strip, coarse sand, clay strip","","eng","ft","160.00","feet","180.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.8","firm brown clay, small sand strip","","eng","ft","180.00","feet","200.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.9","fine sand w/sandy clay strips","","eng","ft","200.00","feet","220.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.10","fine sand w/small clay strip","","eng","ft","220.00","feet","240.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.11","fine sand w/minor sandy clay strips","","eng","ft","240.00","feet","260.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.12","fine sand, med to coarse sand w/minor clays strips","","eng","ft","260.00","feet","280.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.13","coarse sand w/minor clay, sandy clay& fine sand","","eng","ft","280.00","feet","300.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.14","red clay & sandy clay, small sand strip","","eng","ft","300.00","feet","320.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.15","fine sand & sandy clay w/small clay strips","","eng","ft","320.00","feet","340.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.16","fine sand, med to coarse sand strip","","eng","ft","340.00","feet","360.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.17","farily loose med sand w/coarse sand strips (some cemented)","","eng","ft","360.00","feet","380.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.18","fine to med fairly loose sand w/minor red clay strip","","eng","ft","380.00","feet","400.00","feet"
"TWDB","0635206","TWDB.0635206.LITH.19","coarse sand, brown, yellow,& red clay","","eng","ft","400.00","feet","415.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.1","Soil and Caliche","","eng","ft","0.00","feet","18.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.2","Sandy Clay","","eng","ft","18.00","feet","60.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.3","Yellow Clay","","eng","ft","60.00","feet","87.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.4","Cap Rock","","eng","ft","87.00","feet","95.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.5","Hard Shale and Rock Streaks","","eng","ft","95.00","feet","122.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.6","Light Sand and Shale","","eng","ft","122.00","feet","170.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.7","Fine Sand","","eng","ft","170.00","feet","205.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.8","Yellow Clay","","eng","ft","205.00","feet","230.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.9","Coarse Sand","","eng","ft","230.00","feet","265.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.10","Yellow Clay","","eng","ft","265.00","feet","288.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.11","River Gravel","","eng","ft","278.00","feet","292.00","feet"
"TWDB","0756511","TWDB.0756511.LITH.12","Red Bed","","eng","ft","292.00","feet","295.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.1","topsoil","","eng","ft","0.00","feet","6.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.2","caliche","","eng","ft","6.00","feet","30.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.3","clay and sandy clay","","eng","ft","30.00","feet","98.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.4","caliche, sand, layers of clay","","eng","ft","98.00","feet","145.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.5","med. coarse sand, gravel, clay","","eng","ft","145.00","feet","168.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.6","rock","","eng","ft","168.00","feet","208.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.7","sandy clay","","eng","ft","208.00","feet","216.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.8","clay, sand, rock","","eng","ft","216.00","feet","259.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.9","clay, layers of sand","","eng","ft","259.00","feet","305.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.10","clay","","eng","ft","305.00","feet","312.00","feet"
"TWDB","0650506","TWDB.0650506.LITH.11","blue clay, red bed","","eng","ft","312.00","feet","320.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.1","Sandy topsoil, loose fine sand","","eng","ft","0.00","feet","20.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.2","coarse sand & gravel (some cemented)","","eng","ft","20.00","feet","40.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.3","coarse sand w/gravel strips","","eng","ft","40.00","feet","60.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.4","coarse sand & gravel, caliche","","eng","ft","60.00","feet","80.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.5","caliche strip, clay& sandy clay","","eng","ft","80.00","feet","100.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.6","sticky brown clay w/sandy clay strip","","eng","ft","100.00","feet","120.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.7","brown clay strip, gray clay w/sand strip","","eng","ft","120.00","feet","140.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.8","gray sandy clay& sand","","eng","ft","140.00","feet","160.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.9","gray sandy clay, fine tan sand & sandy clay","","eng","ft","160.00","feet","180.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.10","fine to med sand w/minor sandy clay","","eng","ft","180.00","feet","200.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.11","fine to med sand","","eng","ft","200.00","feet","220.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.12","fine to med sand w/minor sandy clay","","eng","ft","220.00","feet","240.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.13","fine to med sand w/minor sandy clay","","eng","ft","240.00","feet","260.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.14","fine to med sand w/minor sandy clay","","eng","ft","260.00","feet","280.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.15","med to coarse sand w/small gravel","","eng","ft","280.00","feet","300.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.16","med to coarse sand w/gravel strips (mostly cemented)","","eng","ft","300.00","feet","320.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.17","med to coarse sand w/cemented gravel","","eng","ft","320.00","feet","340.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.18","med sand, red clay& sandy clay","","eng","ft","340.00","feet","360.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.19","red clay & sandy clay, med to coarse sandstrip","","eng","ft","360.00","feet","380.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.20","med to coarse fairly loose sand strip, red clay& sandy clay","","eng","ft","380.00","feet","400.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.21","med to coarse fairly loose sand","","eng","ft","400.00","feet","420.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.22","med fairly loose sand","","eng","ft","420.00","feet","440.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.23","med fairly loose sand w/coarse strips","","eng","ft","440.00","feet","460.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.24","med to coarse sand w/minorclay strip","","eng","ft","460.00","feet","480.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.25","med to coarse sand, red clay& sandy clay, sandstone, fine gray sand","","eng","ft","480.00","feet","500.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.26","fine gray sand","","eng","ft","500.00","feet","520.00","feet"
"TWDB","0635625","TWDB.0635625.LITH.27","fine gray sand, red& gray clay","","eng","ft","520.00","feet","540.00","feet"
