"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"CODWR","958","CODWR.958.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","15","feet"
"CODWR","958","CODWR.958.LITH.2","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","15","feet","45","feet"
"CODWR","958","CODWR.958.LITH.3","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","45","feet","60","feet"
"CODWR","958","CODWR.958.LITH.4","CLAY","HIGH PLAINS AQUIFER","eng","ft","60","feet","70","feet"
"CODWR","958","CODWR.958.LITH.5","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","70","feet","98","feet"
"CODWR","958","CODWR.958.LITH.6","CLAY","HIGH PLAINS AQUIFER","eng","ft","98","feet","100","feet"
"CODWR","958","CODWR.958.LITH.7","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","100","feet","110","feet"
"CODWR","958","CODWR.958.LITH.8","CLAY","HIGH PLAINS AQUIFER","eng","ft","110","feet","120","feet"
"CODWR","958","CODWR.958.LITH.9","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","120","feet","135","feet"
"CODWR","958","CODWR.958.LITH.10","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","135","feet","140","feet"
"CODWR","958","CODWR.958.LITH.11","CLAY","HIGH PLAINS AQUIFER","eng","ft","140","feet","144","feet"
"CODWR","958","CODWR.958.LITH.12","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","144","feet","147","feet"
"CODWR","958","CODWR.958.LITH.13","CLAY","HIGH PLAINS AQUIFER","eng","ft","147","feet","157","feet"
"CODWR","958","CODWR.958.LITH.14","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","157","feet","168","feet"
"CODWR","958","CODWR.958.LITH.15","SHALE","HIGH PLAINS AQUIFER","eng","ft","168","feet","172","feet"
"CODWR","959","CODWR.959.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","5","feet"
"CODWR","959","CODWR.959.LITH.2","CLAY","HIGH PLAINS AQUIFER","eng","ft","5","feet","20","feet"
"CODWR","959","CODWR.959.LITH.3","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","20","feet","66","feet"
"CODWR","959","CODWR.959.LITH.4","CLAY","HIGH PLAINS AQUIFER","eng","ft","66","feet","82","feet"
"CODWR","959","CODWR.959.LITH.5","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","82","feet","83","feet"
"CODWR","959","CODWR.959.LITH.6","CLAY","HIGH PLAINS AQUIFER","eng","ft","83","feet","84","feet"
"CODWR","959","CODWR.959.LITH.7","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","84","feet","87","feet"
"CODWR","959","CODWR.959.LITH.8","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","87","feet","88","feet"
"CODWR","959","CODWR.959.LITH.9","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","88","feet","93","feet"
"CODWR","959","CODWR.959.LITH.10","CLAY","HIGH PLAINS AQUIFER","eng","ft","93","feet","95","feet"
"CODWR","959","CODWR.959.LITH.11","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","95","feet","103","feet"
"CODWR","959","CODWR.959.LITH.12","CLAY","HIGH PLAINS AQUIFER","eng","ft","103","feet","105","feet"
"CODWR","959","CODWR.959.LITH.13","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","105","feet","114","feet"
"CODWR","959","CODWR.959.LITH.14","CLAY","HIGH PLAINS AQUIFER","eng","ft","114","feet","115","feet"
"CODWR","959","CODWR.959.LITH.15","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","115","feet","116","feet"
"CODWR","959","CODWR.959.LITH.16","CLAY","HIGH PLAINS AQUIFER","eng","ft","116","feet","119","feet"
"CODWR","959","CODWR.959.LITH.17","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","119","feet","121","feet"
"CODWR","959","CODWR.959.LITH.18","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","121","feet","122","feet"
"CODWR","959","CODWR.959.LITH.19","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","122","feet","123","feet"
"CODWR","959","CODWR.959.LITH.20","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","123","feet","124","feet"
"CODWR","959","CODWR.959.LITH.21","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","124","feet","128","feet"
"CODWR","959","CODWR.959.LITH.22","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","128","feet","129","feet"
"CODWR","959","CODWR.959.LITH.23","CLAY","HIGH PLAINS AQUIFER","eng","ft","129","feet","130","feet"
"CODWR","959","CODWR.959.LITH.24","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","130","feet","135","feet"
"CODWR","959","CODWR.959.LITH.25","CLAY","HIGH PLAINS AQUIFER","eng","ft","135","feet","137","feet"
"CODWR","959","CODWR.959.LITH.26","GRAVEL","HIGH PLAINS AQUIFER","eng","ft","137","feet","141","feet"
"CODWR","959","CODWR.959.LITH.27","CLAY","HIGH PLAINS AQUIFER","eng","ft","141","feet","147","feet"
"CODWR","959","CODWR.959.LITH.28","SHALE","HIGH PLAINS AQUIFER","eng","ft","147","feet","148","feet"
"CODWR","957","CODWR.957.LITH.1","CLAY","HIGH PLAINS AQUIFER","eng","ft","0","feet","70","feet"
"CODWR","957","CODWR.957.LITH.2","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","70","feet","87","feet"
"CODWR","957","CODWR.957.LITH.3","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","87","feet","89","feet"
"CODWR","957","CODWR.957.LITH.4","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","89","feet","102","feet"
"CODWR","957","CODWR.957.LITH.5","CLAY","HIGH PLAINS AQUIFER","eng","ft","102","feet","112","feet"
"CODWR","957","CODWR.957.LITH.6","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","112","feet","125","feet"
"CODWR","957","CODWR.957.LITH.7","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","125","feet","141","feet"
"CODWR","957","CODWR.957.LITH.8","SAND, MED-COARSE","HIGH PLAINS AQUIFER","eng","ft","141","feet","156","feet"
