"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0658601","TWDB.0658601.LITH.1","soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","0658601","TWDB.0658601.LITH.2","light brown clay","","eng","ft","3.00","feet","90.00","feet"
"TWDB","0658601","TWDB.0658601.LITH.3","caliche","","eng","ft","90.00","feet","120.00","feet"
"TWDB","0658601","TWDB.0658601.LITH.4","pack sand","","eng","ft","120.00","feet","185.00","feet"
"TWDB","0658601","TWDB.0658601.LITH.5","sandrock","","eng","ft","185.00","feet","190.00","feet"
"TWDB","0658601","TWDB.0658601.LITH.6","porous sand rock (water)","","eng","ft","190.00","feet","250.00","feet"
"TWDB","0659307","TWDB.0659307.LITH.1","overburdey?","","eng","ft","0.00","feet","130.00","feet"
"TWDB","0659307","TWDB.0659307.LITH.2","fine sand","","eng","ft","130.00","feet","160.00","feet"
"TWDB","0659307","TWDB.0659307.LITH.3","yellow clay","","eng","ft","160.00","feet","230.00","feet"
"TWDB","0659307","TWDB.0659307.LITH.4","clay w/ fine sand","","eng","ft","230.00","feet","295.00","feet"
"TWDB","0659307","TWDB.0659307.LITH.5","yellow clay & red beds - TR?","","eng","ft","295.00","feet","321.00","feet"
"TWDB","1109724","TWDB.1109724.LITH.1","Top Soil","","eng","ft","0.00","feet","6.00","feet"
"TWDB","1109724","TWDB.1109724.LITH.2","Light Color Clay","","eng","ft","6.00","feet","90.00","feet"
"TWDB","1109724","TWDB.1109724.LITH.3","Hard Sand Rock Brownish in Color","","eng","ft","90.00","feet","100.00","feet"
"TWDB","1109724","TWDB.1109724.LITH.4","First Water Sand","","eng","ft","100.00","feet","155.00","feet"
"TWDB","1109724","TWDB.1109724.LITH.5","Layers of Rock, Red Bed","","eng","ft","155.00","feet","200.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.2","Caliche","","eng","ft","4.00","feet","50.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.3","Yellow Clay and Sand Rock","","eng","ft","50.00","feet","90.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.4","Hard Rock","","eng","ft","90.00","feet","115.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.5","Sandy Clay and Rock Layers","","eng","ft","115.00","feet","180.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.6","Sandy Clay and Fine Sand Layers","","eng","ft","180.00","feet","225.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.7","Hard Rock","","eng","ft","225.00","feet","235.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.8","Medium Fine Sand and Rock Layers","","eng","ft","235.00","feet","285.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.9","Sandy Clay","","eng","ft","285.00","feet","290.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.10","Brown Shale and Sand Layers","","eng","ft","290.00","feet","308.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.11","Hard Rock","","eng","ft","308.00","feet","312.00","feet"
"TWDB","0649718","TWDB.0649718.LITH.12","Red Bed","","eng","ft","312.00","feet","314.00","feet"
"TWDB","1101802","TWDB.1101802.LITH.1","soil","","eng","ft","0.00","feet","6.00","feet"
"TWDB","1101802","TWDB.1101802.LITH.2","caliche","","eng","ft","6.00","feet","14.00","feet"
"TWDB","1101802","TWDB.1101802.LITH.3","sandy clay","","eng","ft","14.00","feet","40.00","feet"
"TWDB","1101802","TWDB.1101802.LITH.4","sand & gravel","","eng","ft","40.00","feet","58.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.1","top soil & caliche","","eng","ft","0.00","feet","38.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.2","caliche little clay","","eng","ft","38.00","feet","60.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.3","caliche little sand clay","","eng","ft","60.00","feet","82.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.4","caliche clay sand","","eng","ft","82.00","feet","104.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.5","sand caliche clay","","eng","ft","104.00","feet","130.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.6","140 ft. sand---sand stone& little clay","","eng","ft","130.00","feet","161.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.7","175 ft. med. sand, little stone& little clay","","eng","ft","161.00","feet","191.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.8","med. sand little rock","","eng","ft","191.00","feet","222.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.9","med. sand little rock","","eng","ft","222.00","feet","252.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.10","275-290 blue shell& red little sand","","eng","ft","252.00","feet","283.00","feet"
"TWDB","0651405","TWDB.0651405.LITH.11","red bed","","eng","ft","283.00","feet","313.00","feet"
"TWDB","0659504","TWDB.0659504.LITH.1","?","","eng","ft","0.00","feet","120.00","feet"
"TWDB","0659504","TWDB.0659504.LITH.2","clay","","eng","ft","120.00","feet","180.00","feet"
"TWDB","0659504","TWDB.0659504.LITH.3","sand","","eng","ft","180.00","feet","220.00","feet"
"TWDB","0659504","TWDB.0659504.LITH.4","sandy clay","","eng","ft","220.00","feet","260.00","feet"
"TWDB","0659504","TWDB.0659504.LITH.5","sand, gravel ?","","eng","ft","260.00","feet","340.00","feet"
"TWDB","0659504","TWDB.0659504.LITH.6","red bed","","eng","ft","340.00","feet","344.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.1","top soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.2","clay","","eng","ft","2.00","feet","25.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.3","sand","","eng","ft","25.00","feet","28.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.4","sandy clay","","eng","ft","28.00","feet","62.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.5","rock","","eng","ft","62.00","feet","65.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.6","pack sand","","eng","ft","65.00","feet","95.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.7","sand","","eng","ft","95.00","feet","113.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.8","sandy gravel?","","eng","ft","113.00","feet","119.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.9","blue clay? - TR","","eng","ft","119.00","feet","124.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.10","cement rock","","eng","ft","124.00","feet","128.00","feet"
"TWDB","1102901","TWDB.1102901.LITH.11","red & blue bed","","eng","ft","128.00","feet","130.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.1","top soil","","eng","ft","0.00","feet","37.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.2","caliche sand","","eng","ft","37.00","feet","64.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.3","fine sand","","eng","ft","64.00","feet","91.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.4","fine sand & sandstone","","eng","ft","91.00","feet","118.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.5","fine sand","","eng","ft","118.00","feet","145.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.6","fine sand","","eng","ft","145.00","feet","172.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.7","fine sand","","eng","ft","172.00","feet","199.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.8","fine sand & sandstone","","eng","ft","199.00","feet","222.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.9","fine brown sand to soft sand rock","","eng","ft","222.00","feet","246.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.10","fine brown sand& hard sand stone","","eng","ft","246.00","feet","269.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.11","fine sand white","","eng","ft","269.00","feet","293.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.12","fine sand white","","eng","ft","293.00","feet","314.00","feet"
"TWDB","0650610","TWDB.0650610.LITH.13","red bed - TD 316","","eng","ft","314.00","feet","316.00","feet"
"TWDB","0657906","TWDB.0657906.LITH.1","soil","","eng","ft","0.00","feet","2.00","feet"
"TWDB","0657906","TWDB.0657906.LITH.2","caliche","","eng","ft","2.00","feet","30.00","feet"
"TWDB","0657906","TWDB.0657906.LITH.3","rock","","eng","ft","30.00","feet","33.00","feet"
"TWDB","0657906","TWDB.0657906.LITH.4","sandstone","","eng","ft","33.00","feet","48.00","feet"
"TWDB","0657906","TWDB.0657906.LITH.5","tight to med-loose sand& sandstone","","eng","ft","48.00","feet","78.00","feet"
"TWDB","0657906","TWDB.0657906.LITH.6","med-loose sand w/ sandstone stks.","","eng","ft","78.00","feet","117.00","feet"
"TWDB","0657906","TWDB.0657906.LITH.7","tight sand & sandstone","","eng","ft","117.00","feet","123.00","feet"
"TWDB","0657906","TWDB.0657906.LITH.8","med-loose sand","","eng","ft","123.00","feet","153.00","feet"
