"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0502103","TWDB.0502103.LITH.1","Surface: Sand & Clay","","eng","ft","0.00","feet","20.00","feet"
"TWDB","0502103","TWDB.0502103.LITH.2","Gray Clay with occasional Fine Sand Streaks","","eng","ft","20.00","feet","40.00","feet"
"TWDB","0502103","TWDB.0502103.LITH.3","Gray & Brown Clay","","eng","ft","40.00","feet","60.00","feet"
"TWDB","0502103","TWDB.0502103.LITH.4","Fine to Medium Sand 'Loose' with occasional Clay Streaks& Stringers","","eng","ft","60.00","feet","80.00","feet"
"TWDB","0502103","TWDB.0502103.LITH.5","Fine to Medium 'Loose' Sand with Clay Stringers","","eng","ft","80.00","feet","100.00","feet"
"TWDB","0502103","TWDB.0502103.LITH.6","Fine to Medium 'Loose' Sand with Clay Stringers","","eng","ft","100.00","feet","120.00","feet"
"TWDB","0502103","TWDB.0502103.LITH.7","Fine to Medium 'Loose' Sand with occasional Gravel Streak / Brown Clay Streaks (131-133& 138-140) (Soft)","","eng","ft","120.00","feet","140.00","feet"
"TWDB","0509605","TWDB.0509605.LITH.1","Surface Caliche, Sand and Clay","","eng","ft","0.00","feet","220.00","feet"
"TWDB","0509605","TWDB.0509605.LITH.2","Loose Med. & Med. Coarse Sand","","eng","ft","220.00","feet","280.00","feet"
"TWDB","0509605","TWDB.0509605.LITH.3","Med. Coarse Sand with Clay Strips","","eng","ft","280.00","feet","300.00","feet"
"TWDB","0509605","TWDB.0509605.LITH.4","Med. Sand with Brown Clay and Shale","","eng","ft","300.00","feet","360.00","feet"
"TWDB","0509605","TWDB.0509605.LITH.5","Brown Sandy Clay and Shale","","eng","ft","360.00","feet","400.00","feet"
"TWDB","0509605","TWDB.0509605.LITH.6","Med. & Med. Coarse Sand w/Clay Stp","","eng","ft","400.00","feet","420.00","feet"
"TWDB","0509605","TWDB.0509605.LITH.7","Med. Coarse to Coarse Sand","","eng","ft","420.00","feet","440.00","feet"
"TWDB","0509605","TWDB.0509605.LITH.8","Coarse Sand and Small Gravel","","eng","ft","440.00","feet","460.00","feet"
"TWDB","0509605","TWDB.0509605.LITH.9","Med. Coarse Sand andClay","","eng","ft","460.00","feet","470.00","feet"
"TWDB","0511401","TWDB.0511401.LITH.1","Topsoil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","0511401","TWDB.0511401.LITH.2","Rock Ledges, Caliche","","eng","ft","3.00","feet","160.00","feet"
"TWDB","0511401","TWDB.0511401.LITH.3","Sticky Clay, Rock Ledges","","eng","ft","160.00","feet","310.00","feet"
"TWDB","0511401","TWDB.0511401.LITH.4","Sand, Streaks Clay","","eng","ft","310.00","feet","380.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.1","topsoil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.2","Rd tan clay caliche nodules","","eng","ft","4.00","feet","61.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.3","Rd tan sandy clay sand and caliche layers","","eng","ft","61.00","feet","224.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.4","tan Rd SS and sand white sandy clay layers","","eng","ft","224.00","feet","255.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.5","tan sand and gravel","","eng","ft","255.00","feet","286.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.6","tan Rd sandy clay silty","","eng","ft","286.00","feet","325.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.7","tan white sand clay layers and caliche","","eng","ft","325.00","feet","357.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.8","tan red sand and SS","","eng","ft","357.00","feet","437.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.9","tan red sandy clay","","eng","ft","437.00","feet","442.00","feet"
"TWDB","0517203","TWDB.0517203.LITH.10","tan red sand clay nodules and clay layers","","eng","ft","442.00","feet","466.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.1","Top Soil and Large Rocks","","eng","ft","0.00","feet","1.50","feet"
"TWDB","0616601","TWDB.0616601.LITH.2","Tan White Sandy Caliche","","eng","ft","1.50","feet","6.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.3","Tan Sand and Gravel","","eng","ft","6.00","feet","20.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.4","Caliche","","eng","ft","20.00","feet","25.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.5","Tan Sand, Gravel and Caliche","","eng","ft","25.00","feet","80.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.6","Tan Red Sandy Clay some Gravel","","eng","ft","80.00","feet","105.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.7","Tan Red Sand and Sandstone some Gravel","","eng","ft","105.00","feet","140.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.8","Tan Red Silty Clay and Caliche","","eng","ft","140.00","feet","155.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.9","Tan White Sand and Caliche","","eng","ft","155.00","feet","185.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.10","Tan Red Sand and Gravel and Caliche","","eng","ft","185.00","feet","240.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.11","Red Stiff Clay","","eng","ft","240.00","feet","245.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.12","Lost Circulation Clay","","eng","ft","245.00","feet","280.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.13","Red Sand and Small Gravel Clay Layers","","eng","ft","280.00","feet","296.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.14","Red Stiff Clay","","eng","ft","296.00","feet","305.00","feet"
"TWDB","0616601","TWDB.0616601.LITH.15","Gray Yellow Stiff Clay some Red Clay","","eng","ft","305.00","feet","365.00","feet"
"TWDB","0502204","TWDB.0502204.LITH.1","Surface: Sand & Clay","","eng","ft","0.00","feet","20.00","feet"
