"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0351603","TWDB.0351603.LITH.1","Surface","","eng","ft","0.00","feet","180.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.2","Coarse sand & gravel","","eng","ft","180.00","feet","230.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.3","M. C. Sand thin white clay streaks","","eng","ft","230.00","feet","260.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.4","Brown sandy clay","","eng","ft","260.00","feet","285.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.5","Coarse sand","","eng","ft","285.00","feet","310.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.6","Brown clay","","eng","ft","310.00","feet","330.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.7","Sand","","eng","ft","330.00","feet","335.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.8","Clay","","eng","ft","335.00","feet","340.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.9","Coarse sand & gravel","","eng","ft","340.00","feet","348.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.10","Clay","","eng","ft","348.00","feet","351.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.11","Coarse sand and gravel","","eng","ft","351.00","feet","379.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.12","Clay streaks, coarse sand& gravel","","eng","ft","379.00","feet","413.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.13","Coarse sand & gravel, thin streaks clay","","eng","ft","413.00","feet","430.00","feet"
"TWDB","0351603","TWDB.0351603.LITH.14","Red Bed","","eng","ft","430.00","","",""
"TWDB","0239902","TWDB.0239902.LITH.1","Overburden","","eng","ft","0.00","feet","200.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.2","Clay","","eng","ft","200.00","feet","215.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.3","Clay","","eng","ft","215.00","feet","230.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.4","Fine sand and clay","","eng","ft","230.00","feet","245.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.5","Med. fine sand","","eng","ft","245.00","feet","260.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.6","Course sand (med)","","eng","ft","260.00","feet","275.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.7","Course sand (med). fine gravel with some fine sand","","eng","ft","275.00","feet","290.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.8","Gravel with some fine sand","","eng","ft","290.00","feet","305.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.9","Gravel with some fine sand","","eng","ft","305.00","feet","320.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.10","Med. fine sand with course gravel","","eng","ft","320.00","feet","335.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.11","Med. course sand and gravel","","eng","ft","335.00","feet","350.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.12","Course sand and gravel with clay","","eng","ft","350.00","feet","365.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.13","Clay and course sand","","eng","ft","365.00","feet","380.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.14","Course sand and gravel with clay","","eng","ft","380.00","feet","395.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.15","Clay and fine sand","","eng","ft","395.00","feet","410.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.16","Very fine sand","","eng","ft","410.00","feet","425.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.17","Very fine sand","","eng","ft","425.00","feet","435.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.18","Very fine sand with clay","","eng","ft","435.00","feet","450.00","feet"
"TWDB","0239902","TWDB.0239902.LITH.19","Red bed","","eng","ft","450.00","feet","454.00","feet"
"TWDB","0359301","TWDB.0359301.LITH.1","surface caliche clay& sand","","eng","ft","0.00","feet","300.00","feet"
"TWDB","0359301","TWDB.0359301.LITH.2","med fairly loose sand w/clay","","eng","ft","300.00","feet","340.00","feet"
"TWDB","0359301","TWDB.0359301.LITH.3","med to coarse sand& gravel w/clay strips","","eng","ft","340.00","feet","380.00","feet"
"TWDB","0359301","TWDB.0359301.LITH.4","med to coarse sand& gravel w/clay strips","","eng","ft","380.00","feet","420.00","feet"
"TWDB","0359301","TWDB.0359301.LITH.5","tight sand w/clay 435 red clay","","eng","ft","420.00","feet","440.00","feet"
"TWDB","0359301","TWDB.0359301.LITH.6","red clay w/white rock strip","","eng","ft","440.00","feet","450.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.1","10' sand","","eng","ft","200.00","feet","210.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.2","3' clay 7' sand","","eng","ft","210.00","feet","220.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.3","2' clay 8' sand","","eng","ft","220.00","feet","230.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.4","3' clay 7' sand","","eng","ft","230.00","feet","240.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.5","2' clay 8' sand","","eng","ft","240.00","feet","250.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.6","4' clay 6' sand","","eng","ft","250.00","feet","260.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.7","5' clay 5' sand","","eng","ft","260.00","feet","270.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.8","5' clay 5' sand","","eng","ft","270.00","feet","280.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.9","7' clay 3' sand","","eng","ft","280.00","feet","290.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.10","7' clay 3' sand","","eng","ft","290.00","feet","300.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.11","8' clay 2' sand","","eng","ft","300.00","feet","310.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.12","8' clay 2' sand","","eng","ft","310.00","feet","320.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.13","8' clay 2' sand","","eng","ft","320.00","feet","330.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.14","2' clay' 8' sand","","eng","ft","330.00","feet","340.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.15","2' clay' 8' sand","","eng","ft","340.00","feet","350.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.16","5' clay 5' sand","","eng","ft","350.00","feet","360.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.17","3' clay 7' sand","","eng","ft","360.00","feet","370.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.18","2' clay' 8' sand","","eng","ft","370.00","feet","380.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.19","3' clay 7' sand","","eng","ft","380.00","feet","390.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.20","2' clay' 8' sand","","eng","ft","390.00","feet","400.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.21","5' clay 5' sand","","eng","ft","400.00","feet","410.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.22","5' clay 5' sand","","eng","ft","410.00","feet","420.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.23","1' clay 9' sand","","eng","ft","420.00","feet","430.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.24","1' clay 9' sand","","eng","ft","430.00","feet","440.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.25","1' clay 9' sand","","eng","ft","440.00","feet","450.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.26","8' clay 2' sand","","eng","ft","450.00","feet","460.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.27","8' clay 2' sand","","eng","ft","460.00","feet","470.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.28","7' clay 3' sand","","eng","ft","470.00","feet","480.00","feet"
"TWDB","0247609","TWDB.0247609.LITH.29","Red bed","","eng","ft","480.00","feet","510.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.2","Caliche","","eng","ft","4.00","feet","23.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.3","clay, some sand streaks","","eng","ft","23.00","feet","170.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.4","medium coarse sand","","eng","ft","170.00","feet","195.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.5","medium coarse sand& clay strips","","eng","ft","195.00","feet","210.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.6","coarse sand and gravel","","eng","ft","210.00","feet","235.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.7","blue clay","","eng","ft","235.00","feet","255.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.8","medium fine sand","","eng","ft","255.00","feet","270.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.9","clay","","eng","ft","270.00","feet","285.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.10","very fine sand","","eng","ft","285.00","feet","345.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.11","clay","","eng","ft","345.00","feet","360.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.12","med. to coarse sad","","eng","ft","360.00","feet","390.00","feet"
"TWDB","0248901","TWDB.0248901.LITH.13","red clay","","eng","ft","390.00","feet","400.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.1","Top Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.2","clay & sand","","eng","ft","5.00","feet","150.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.3","fine sand","","eng","ft","150.00","feet","180.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.4","fine sand sandstone","","eng","ft","180.00","feet","210.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.5","fine sand sandstone","","eng","ft","210.00","feet","234.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.6","Fine sand","","eng","ft","234.00","feet","257.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.7","fine sand","","eng","ft","257.00","feet","281.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.8","fine sand little sandstone","","eng","ft","281.00","feet","304.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.9","fine sand little sandstone","","eng","ft","304.00","feet","328.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.10","fine sand","","eng","ft","328.00","feet","351.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.11","fine sand","","eng","ft","351.00","feet","375.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.12","coarse sand and gravel","","eng","ft","375.00","feet","398.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.13","coarse sand and gravel& clay","","eng","ft","398.00","feet","422.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.14","fine sand and little clay","","eng","ft","422.00","feet","445.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.15","fine sand","","eng","ft","445.00","feet","469.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.16","fine sand","","eng","ft","469.00","feet","492.00","feet"
"TWDB","0256709","TWDB.0256709.LITH.17","red bed","","eng","ft","492.00","feet","516.00","feet"
