"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"USGS","431703099502901","USGS.431703099502901.1.0","Sand","Sand","eng","Unknown","0","feet","4","feet"
"USGS","431703099502901","USGS.431703099502901.2.0","Clay","Clay","eng","Unknown","4","feet","30","feet"
"USGS","431703099502901","USGS.431703099502901.3.0","Sand","Sand","eng","Unknown","30","feet","45","feet"
"USGS","431703099502901","USGS.431703099502901.4.0","Sand & Clay","Sand & Clay","eng","Unknown","45","feet","110","feet"
"USGS","431703099502901","USGS.431703099502901.5.0","Clay","Clay","eng","Unknown","110","feet","120","feet"
"USGS","430706101391001","USGS.430706101391001.1.0","Soil","Soil","eng","Unknown","0","feet","1","feet"
"USGS","430706101391001","USGS.430706101391001.2.0","Sandstone","Sandstone","eng","Unknown","1","feet","50","feet"
"USGS","430706101391001","USGS.430706101391001.3.0","Sandstone","Sandstone","eng","Unknown","50","feet","105","feet"
"USGS","430706101391001","USGS.430706101391001.4.0","Sandstone","Sandstone","eng","Unknown","105","feet","320","feet"
"USGS","433020101394201","USGS.433020101394201.1.1","Silt","Silt","eng","Unknown","0","feet","20","feet"
"USGS","433020101394201","USGS.433020101394201.2.0","Silt","Silt","eng","Unknown","20","feet","60","feet"
"USGS","433020101394201","USGS.433020101394201.3.0","Siltstone","Siltstone","eng","Unknown","60","feet","80","feet"
"USGS","433020101394201","USGS.433020101394201.4.0","Siltstone","Siltstone","eng","Unknown","80","feet","100","feet"
"USGS","433020101394201","USGS.433020101394201.5.0","Siltstone","Siltstone","eng","Unknown","100","feet","120","feet"
"USGS","433020101394201","USGS.433020101394201.6.0","Siltstone","Siltstone","eng","Unknown","120","feet","140","feet"
"USGS","433020101394201","USGS.433020101394201.7.0","Siltstone","Siltstone","eng","Unknown","140","feet","160","feet"
"USGS","433020101394201","USGS.433020101394201.8.0","Siltstone","Siltstone","eng","Unknown","160","feet","180","feet"
"USGS","433020101394201","USGS.433020101394201.9.0","Siltstone","Siltstone","eng","Unknown","180","feet","200","feet"
"USGS","433020101394201","USGS.433020101394201.10.0","Clay","Clay","eng","Unknown","200","feet","220","feet"
"USGS","433020101394201","USGS.433020101394201.11.0","Siltstone","Siltstone","eng","Unknown","220","feet","240","feet"
"USGS","433020101394201","USGS.433020101394201.12.0","Siltstone","Siltstone","eng","Unknown","240","feet","260","feet"
"USGS","433020101394201","USGS.433020101394201.13.0","Siltstone","Siltstone","eng","Unknown","260","feet","300","feet"
"USGS","433020101394201","USGS.433020101394201.14.0","Siltstone","Siltstone","eng","Unknown","300","feet","320","feet"
"USGS","433020101394201","USGS.433020101394201.15.0","Sltstn & Shale","Sltstn & Shale","eng","Unknown","320","feet","340","feet"
"USGS","432038101223501","USGS.432038101223501.1.1","Sand & Silt","Sand & Silt","eng","Unknown","0","feet","20","feet"
"USGS","432038101223501","USGS.432038101223501.2.0","Sand & Silt","Sand & Silt","eng","Unknown","20","feet","40","feet"
"USGS","432038101223501","USGS.432038101223501.3.0","Siltstone","Siltstone","eng","Unknown","40","feet","60","feet"
"USGS","432038101223501","USGS.432038101223501.4.0","Siltstone","Siltstone","eng","Unknown","60","feet","80","feet"
"USGS","432038101223501","USGS.432038101223501.5.0","Siltstone","Siltstone","eng","Unknown","80","feet","140","feet"
"USGS","432038101223501","USGS.432038101223501.6.0","Siltstone","Siltstone","eng","Unknown","140","feet","200","feet"
"USGS","432038101223501","USGS.432038101223501.7.0","Siltstone","Siltstone","eng","Unknown","200","feet","240","feet"
"USGS","432038101223501","USGS.432038101223501.8.0","Siltstone","Siltstone","eng","Unknown","240","feet","260","feet"
"USGS","432038101223501","USGS.432038101223501.9.0","Siltstone","Siltstone","eng","Unknown","260","feet","300","feet"
"USGS","432038101223501","USGS.432038101223501.10.0","Siltstone","Siltstone","eng","Unknown","300","feet","360","feet"
