"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","1121102","TWDB.1121102.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1121102","TWDB.1121102.LITH.2","Caliche","","eng","ft","4.00","feet","16.00","feet"
"TWDB","1121102","TWDB.1121102.LITH.3","Yellow Sand","","eng","ft","16.00","feet","26.00","feet"
"TWDB","1121102","TWDB.1121102.LITH.4","Sand and Caliche","","eng","ft","26.00","feet","66.00","feet"
"TWDB","1121102","TWDB.1121102.LITH.5","Brown Sand and Clay","","eng","ft","66.00","feet","80.00","feet"
"TWDB","1121102","TWDB.1121102.LITH.6","Sand and Rock","","eng","ft","80.00","feet","100.00","feet"
"TWDB","1121102","TWDB.1121102.LITH.7","Water and Sand","","eng","ft","100.00","feet","130.00","feet"
"TWDB","1121102","TWDB.1121102.LITH.9","Red Clay","","eng","ft","128.00","feet","144.00","feet"
"TWDB","1121102","TWDB.1121102.LITH.8","Sand and Clay","","eng","ft","130.00","feet","138.00","feet"
"TWDB","1121102","TWDB.1121102.LITH.10","Red Clay","","eng","ft","138.00","feet","144.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.2","Caliche","","eng","ft","4.00","feet","25.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.3","Caprock","","eng","ft","25.00","feet","40.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.4","Clay","","eng","ft","40.00","feet","70.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.5","Fine Sand","","eng","ft","70.00","feet","90.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.6","Clay","","eng","ft","90.00","feet","110.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.7","Hard Sandstone","","eng","ft","110.00","feet","112.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.8","Sandy Clay","","eng","ft","112.00","feet","128.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.9","Med. Coarse Sand","","eng","ft","128.00","feet","150.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.10","Clay and Rock Ledges","","eng","ft","150.00","feet","190.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.11","Med. Coarse Sand","","eng","ft","190.00","feet","220.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.12","Coarse Sand and Gravel","","eng","ft","220.00","feet","280.00","feet"
"TWDB","1144602","TWDB.1144602.LITH.13","Red Bed","","eng","ft","280.00","feet","290.00","feet"
"TWDB","1133103","TWDB.1133103.LITH.1","Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1133103","TWDB.1133103.LITH.2","Caliche","","eng","ft","4.00","feet","33.00","feet"
"TWDB","1133103","TWDB.1133103.LITH.3","Fine Sand and Shale","","eng","ft","33.00","feet","160.00","feet"
"TWDB","1133103","TWDB.1133103.LITH.4","Sand, Small Gravel","","eng","ft","160.00","feet","235.00","feet"
"TWDB","1133103","TWDB.1133103.LITH.5","Shale and Sand","","eng","ft","235.00","feet","260.00","feet"
"TWDB","1133103","TWDB.1133103.LITH.6","Sand","","eng","ft","260.00","feet","315.00","feet"
"TWDB","1133103","TWDB.1133103.LITH.7","Rock","","eng","ft","315.00","feet","320.00","feet"
"TWDB","1133103","TWDB.1133103.LITH.8","Gravel","","eng","ft","320.00","feet","340.00","feet"
"TWDB","1133103","TWDB.1133103.LITH.9","Red Bed","","eng","ft","340.00","feet","345.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.1","White Clay","","eng","ft","30.00","feet","36.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.2","White Lime Rock","","eng","ft","36.00","feet","40.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.3","Fairly Good Sand (Water)","","eng","ft","40.00","feet","50.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.4","White Chalk Rock","","eng","ft","50.00","feet","60.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.5","Good Brown Gravelly Sand","","eng","ft","60.00","feet","90.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.6","Hard White Flint","","eng","ft","90.00","feet","97.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.7","Gravelly Brown Sand","","eng","ft","97.00","feet","102.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.8","Brown Clay","","eng","ft","102.00","feet","128.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.9","Sandy Clay (No Water)","","eng","ft","128.00","feet","174.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.10","Red Tough Clay","","eng","ft","174.00","feet","180.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.11","Good Red Gravel and Sand","","eng","ft","180.00","feet","184.00","feet"
"TWDB","1128501","TWDB.1128501.LITH.12","Red Bed","","eng","ft","184.00","feet","188.00","feet"
"TWDB","1126607","TWDB.1126607.LITH.1","Top Soil","","eng","ft","0.00","feet","4.00","feet"
"TWDB","1126607","TWDB.1126607.LITH.2","Clay and Caliche","","eng","ft","4.00","feet","50.00","feet"
"TWDB","1126607","TWDB.1126607.LITH.3","Caliche and Shells","","eng","ft","50.00","feet","70.00","feet"
"TWDB","1126607","TWDB.1126607.LITH.4","Sand and Water","","eng","ft","70.00","feet","123.00","feet"
"TWDB","1126607","TWDB.1126607.LITH.5","Clay and Caliche","","eng","ft","123.00","feet","158.00","feet"
"TWDB","1126607","TWDB.1126607.LITH.6","Red Bed","","eng","ft","158.00","feet","160.00","feet"
"TWDB","1119618","TWDB.1119618.LITH.1","Top Soil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","1119618","TWDB.1119618.LITH.2","Caliche","","eng","ft","3.00","feet","23.00","feet"
"TWDB","1119618","TWDB.1119618.LITH.3","Clay","","eng","ft","23.00","feet","50.00","feet"
"TWDB","1119618","TWDB.1119618.LITH.4","Sand, Dry","","eng","ft","50.00","feet","70.00","feet"
"TWDB","1119618","TWDB.1119618.LITH.5","Water Sand","","eng","ft","70.00","feet","120.00","feet"
"TWDB","1119618","TWDB.1119618.LITH.6","Clay","","eng","ft","120.00","feet","155.00","feet"
"TWDB","1119618","TWDB.1119618.LITH.7","Sand and Gravel","","eng","ft","155.00","feet","168.00","feet"
"TWDB","1119618","TWDB.1119618.LITH.8","Clay","","eng","ft","168.00","feet","180.00","feet"
"TWDB","1141404","TWDB.1141404.LITH.1","Soil","","eng","ft","0.00","feet","4.00","feet"
