"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","2452803","TWDB.2452803.LITH.1","Top Soil","","eng","ft","0.00","feet","7.00","feet"
"TWDB","2452803","TWDB.2452803.LITH.2","Caliche","","eng","ft","7.00","feet","40.00","feet"
"TWDB","2452803","TWDB.2452803.LITH.3","Sandy Clay","","eng","ft","40.00","feet","62.00","feet"
"TWDB","2452803","TWDB.2452803.LITH.4","Rock","","eng","ft","62.00","feet","72.00","feet"
"TWDB","2452803","TWDB.2452803.LITH.5","Sand","","eng","ft","72.00","feet","100.00","feet"
"TWDB","2452803","TWDB.2452803.LITH.6","Rock","","eng","ft","100.00","feet","108.00","feet"
"TWDB","2452803","TWDB.2452803.LITH.7","Sand","","eng","ft","108.00","feet","160.00","feet"
"TWDB","2452803","TWDB.2452803.LITH.8","Yellow Clay","","eng","ft","160.00","feet","165.00","feet"
"TWDB","2452803","TWDB.2452803.LITH.9","Blue Clay","","eng","ft","165.00","feet","171.00","feet"
"TWDB","2453202","TWDB.2453202.LITH.1","topsoil","","eng","ft","0.00","feet","3.00","feet"
"TWDB","2453202","TWDB.2453202.LITH.2","caliche","","eng","ft","3.00","feet","36.00","feet"
"TWDB","2453202","TWDB.2453202.LITH.3","sandy clay/br","","eng","ft","36.00","feet","137.00","feet"
"TWDB","2453202","TWDB.2453202.LITH.4","sand/br with clay strips","","eng","ft","137.00","feet","149.00","feet"
"TWDB","2453202","TWDB.2453202.LITH.5","sand/gravel","","eng","ft","149.00","feet","222.00","feet"
"TWDB","2453202","TWDB.2453202.LITH.6","blue clay","","eng","ft","222.00","feet","225.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.1","Top Soil","","eng","ft","0.00","feet","5.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.2","Caliche","","eng","ft","5.00","feet","30.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.3","Tight Sand","","eng","ft","30.00","feet","91.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.4","Caliche","","eng","ft","91.00","feet","117.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.5","Sand","","eng","ft","117.00","feet","120.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.6","Extra Hard Rock","","eng","ft","120.00","feet","126.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.7","Rock with Sand","","eng","ft","126.00","feet","142.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.8","Sandstone w/ Clay","","eng","ft","142.00","feet","174.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.9","Sandy Clay w/ Sand","","eng","ft","174.00","feet","190.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.10","Sandy Cay w/ Fine Sand","","eng","ft","234.00","feet","249.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.11","Fine Sand","","eng","ft","249.00","feet","258.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.12","Gravel","","eng","ft","258.00","feet","267.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.13","Fine Sand White Clean","","eng","ft","267.00","feet","269.00","feet"
"TWDB","2705302","TWDB.2705302.LITH.14","Red Clay","","eng","ft","269.00","feet","274.00","feet"
