"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"CODWR","349","CODWR.349.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","3","feet"
"CODWR","349","CODWR.349.LITH.2","SAND, FINE-MED","HIGH PLAINS AQUIFER","eng","ft","3","feet","20","feet"
"CODWR","349","CODWR.349.LITH.3","CLAY","HIGH PLAINS AQUIFER","eng","ft","20","feet","37","feet"
"CODWR","349","CODWR.349.LITH.4","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","37","feet","140","feet"
"CODWR","349","CODWR.349.LITH.5","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","140","feet","150","feet"
"CODWR","349","CODWR.349.LITH.6","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","150","feet","170","feet"
"CODWR","349","CODWR.349.LITH.7","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","170","feet","195","feet"
"CODWR","349","CODWR.349.LITH.8","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","195","feet","244","feet"
"CODWR","349","CODWR.349.LITH.9","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","244","feet","245","feet"
"CODWR","349","CODWR.349.LITH.10","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","245","feet","279","feet"
"CODWR","349","CODWR.349.LITH.11","SANDSTONE","HIGH PLAINS AQUIFER","eng","ft","279","feet","281","feet"
"CODWR","349","CODWR.349.LITH.12","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","281","feet","320","feet"
"CODWR","349","CODWR.349.LITH.13","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","320","feet","375","feet"
"CODWR","348","CODWR.348.LITH.1","TOPSOIL","HIGH PLAINS AQUIFER","eng","ft","0","feet","3","feet"
"CODWR","348","CODWR.348.LITH.2","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","3","feet","50","feet"
"CODWR","348","CODWR.348.LITH.3","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","50","feet","120","feet"
"CODWR","348","CODWR.348.LITH.4","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","120","feet","140","feet"
"CODWR","348","CODWR.348.LITH.5","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","140","feet","157","feet"
"CODWR","348","CODWR.348.LITH.6","SAND WITH GRAVEL","HIGH PLAINS AQUIFER","eng","ft","157","feet","205","feet"
"CODWR","348","CODWR.348.LITH.7","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","205","feet","310","feet"
"CODWR","348","CODWR.348.LITH.8","SAND WITH CLAY/SILT","HIGH PLAINS AQUIFER","eng","ft","310","feet","325","feet"
