"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","lang","uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"TWDB","0553307","TWDB.0553307.LITH.1","med to coarse sand","","eng","ft","0.00","feet","38.00","feet"
"TWDB","0553307","TWDB.0553307.LITH.2","med to coarse sand","","eng","ft","38.00","feet","55.00","feet"
"TWDB","0553307","TWDB.0553307.LITH.3","red clay & ss","","eng","ft","55.00","feet","98.00","feet"
"TWDB","0529307","TWDB.0529307.LITH.1","clay","","eng","ft","0.00","feet","20.00","feet"
"TWDB","0529307","TWDB.0529307.LITH.2","sand","","eng","ft","20.00","feet","170.00","feet"
"TWDB","0529307","TWDB.0529307.LITH.3","sand & 80% clay","","eng","ft","170.00","feet","230.00","feet"
"TWDB","0529307","TWDB.0529307.LITH.4","85% sand & clay","","eng","ft","230.00","feet","340.00","feet"
"TWDB","0529307","TWDB.0529307.LITH.5","sand & 70% clay","","eng","ft","340.00","feet","368.00","feet"
"TWDB","0530304","TWDB.0530304.LITH.1","sand","","eng","ft","0.00","feet","110.00","feet"
"TWDB","0530304","TWDB.0530304.LITH.2","sand & clay streaks","","eng","ft","110.00","feet","140.00","feet"
"TWDB","0530304","TWDB.0530304.LITH.3","clay","","eng","ft","140.00","feet","170.00","feet"
"TWDB","0530304","TWDB.0530304.LITH.4","sand & clay 50-50","","eng","ft","170.00","feet","254.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.1","Top Soil Sand (50% Sand)","","eng","ft","0.00","feet","20.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.2","Sand","","eng","ft","20.00","feet","35.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.3","Clay","","eng","ft","35.00","feet","50.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.4","Sand","","eng","ft","50.00","feet","80.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.5","Clay","","eng","ft","80.00","feet","95.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.6","Clay and Sand","","eng","ft","95.00","feet","110.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.7","Sand","","eng","ft","110.00","feet","125.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.8","Clay (60%) and Sand (40%)","","eng","ft","125.00","feet","140.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.9","Sand","","eng","ft","140.00","feet","215.00","feet"
"TWDB","0528902","TWDB.0528902.LITH.10","Red Bed","","eng","ft","215.00","feet","220.00","feet"
"TWDB","0545907","TWDB.0545907.LITH.1","Fine Sand","","eng","ft","0.00","feet","2.00","feet"
"TWDB","0545907","TWDB.0545907.LITH.2","Red Sandy Clay","","eng","ft","2.00","feet","12.00","feet"
"TWDB","0545907","TWDB.0545907.LITH.3","Coarse Sand and Gravel","","eng","ft","12.00","feet","22.00","feet"
"TWDB","0545907","TWDB.0545907.LITH.4","Hard White Caliche","","eng","ft","22.00","feet","51.00","feet"
"TWDB","0545907","TWDB.0545907.LITH.5","Dirt, Fine Water Sand","","eng","ft","51.00","feet","90.00","feet"
"TWDB","0545907","TWDB.0545907.LITH.6","Yellow Sticky Clay","","eng","ft","90.00","feet","92.00","feet"
"TWDB","0545907","TWDB.0545907.LITH.7","Red Rock","","eng","ft","92.00","feet","94.00","feet"
"TWDB","0552307","TWDB.0552307.LITH.1","Fine Sugar Sand","","eng","ft","0.00","feet","17.00","feet"
"TWDB","0552307","TWDB.0552307.LITH.2","Coarse Sand and Gravel","","eng","ft","17.00","feet","45.00","feet"
"TWDB","0552307","TWDB.0552307.LITH.3","Caliche Sand White","","eng","ft","45.00","feet","67.00","feet"
"TWDB","0552307","TWDB.0552307.LITH.4","Coarse Sand and Gravel","","eng","ft","67.00","feet","80.00","feet"
"TWDB","0552307","TWDB.0552307.LITH.5","Dirty Water Sand and Gravel","","eng","ft","80.00","feet","118.00","feet"
"TWDB","0552307","TWDB.0552307.LITH.6","Pink Clay","","eng","ft","118.00","feet","120.00","feet"
"TWDB","0552307","TWDB.0552307.LITH.7","TD","","eng","ft","120.00","","",""
