AgencyCd,SiteNo,AgencyNm,SiteName,DecLatVa,DecLongVa,HorzDatum,AltVa,NatAquiferCd,NatAqfrDesc,StateCd,StateNm,CountyCd,CountyNm,LocalAquiferName,AquiferType
TWDB,2752301,Texas Water Development Board,2752301,32.2288889,-102.5405556,NAD83,3158.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2750501,Texas Water Development Board,2750501,32.1813889,-102.7958333,NAD83,3327.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2736901,Texas Water Development Board,2736901,32.3791667,-102.5188889,NAD83,3146.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2736401,Texas Water Development Board,2736401,32.4227778,-102.6005556,NAD83,3197.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2738101,Texas Water Development Board,Five Wells Ranch,32.478055,-102.352223,NAD83,3019.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation,UNCONFINED
TWDB,2743801,Texas Water Development Board,TWDB:2743801,32.2836111,-102.6791667,NAD83,3209.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,2745201,Texas Water Development Board,TWDB:2745201,32.3608333,-102.4233333,NAD83,3073.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,2746501,Texas Water Development Board,TWDB:2746501,32.3008333,-102.3236111,NAD83,3005.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,2751401,Texas Water Development Board,TWDB:2751401,32.1872222,-102.7466667,NAD83,3275.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,2751601,Texas Water Development Board,TWDB:2751601,32.1986111,-102.6555556,NAD83,3196.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),UNCONFINED
