"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","2752301","Texas Water Development Board","2752301","32.2288889","-102.5405556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3158","1","Feet","NAVD88","Digital Elevation Model -DEM","3M","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2752301&Type=GWDB"
"TWDB","2750501","Texas Water Development Board","2750501","32.1813889","-102.7958333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3327","1","Feet","NAVD88","Digital Elevation Model -DEM","3M","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2750501&Type=GWDB"
"TWDB","2736901","Texas Water Development Board","2736901","32.3791667","-102.5188889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3146","1","Feet","NAVD88","Digital Elevation Model -DEM","3M","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2736901&Type=GWDB"
"TWDB","2736401","Texas Water Development Board","2736401","32.4227778","-102.6005556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3197","1","Feet","NAVD88","Digital Elevation Model -DEM","3M","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2736401&Type=GWDB"
"TWDB","2738101","Texas Water Development Board","Five Wells Ranch","32.478055","-102.352223","NAD83","GPS","+/- 0.5 Seconds","3019","1","Feet","NAVD88","Digital Elevation Model -DEM","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation","WELL","UNCONFINED","1","Yes","1","Yes","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2738101&Type=GWDB"
"TWDB","2743801","Texas Water Development Board","TWDB:2743801","32.2836111","-102.6791667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3209","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2743801&Type=GWDB"
"TWDB","2745201","Texas Water Development Board","TWDB:2745201","32.3608333","-102.4233333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3073","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2745201&Type=GWDB"
"TWDB","2746501","Texas Water Development Board","TWDB:2746501","32.3008333","-102.3236111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3005","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2746501&Type=GWDB"
"TWDB","2751401","Texas Water Development Board","TWDB:2751401","32.1872222","-102.7466667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3275","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2751401&Type=GWDB"
"TWDB","2751601","Texas Water Development Board","TWDB:2751601","32.1986111","-102.6555556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3196","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","003","Andrews County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","1","Yes","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2751601&Type=GWDB"
