"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","1112803","Texas Water Development Board","TWDB:1112803","34.791111","-101.571389","NAD83","Interpolated From Topo Map","+/- 1 Second","3422","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","165","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1112803&Type=GWDB"
"TWDB","1113702","Texas Water Development Board","TWDB:1113702","34.763334","-101.4975","NAD83","Interpolated From Topo Map","+/- 1 Second","3354","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","160","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1113702&Type=GWDB"
"TWDB","0660202","Texas Water Development Board","TWDB:0660202","35.1","-101.559167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3494","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","199","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0660202&Type=GWDB"
"TWDB","0663203","Texas Water Development Board","TWDB:0663203","35.1","-101.183611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3152","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","315","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0663203&Type=GWDB"
"TWDB","0664702","Texas Water Development Board","TWDB:0664702","35.01","-101.1138889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2980","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","280","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0664702&Type=GWDB"
"TWDB","0663204","Texas Water Development Board","Goodnight Quad","35.093889","-101.183611","NAD83","GPS","+/- 0.5 Seconds","3145","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","308","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0663204&Type=GWDB"
"TWDB","0662402","Texas Water Development Board","TWDB:0662402","35.075","-101.3691667","NAD83","Interpolated From Topo Map","+/- 1 Second","3363","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","250","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0662402&Type=GWDB"
"TWDB","1107750","Texas Water Development Board","1107750","34.895834","-101.232222","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3266","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1107750&Type=GWDB"
"TWDB","1112522","Texas Water Development Board","TWDB:1112522","34.792778","-101.542778","NAD83","Interpolated From Topo Map","+/- 1 Second","3396","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","160","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1112522&Type=GWDB"
"TWDB","1112901","Texas Water Development Board","TWDB:1112901","34.763056","-101.528611","NAD83","Interpolated From Topo Map","+/- 1 Second","3394","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","175","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1112901&Type=GWDB"
"TWDB","0652501","Texas Water Development Board","TWDB:0652501","35.176389","-101.559723","NAD83","Interpolated From Topo Map","+/- 1 Second","3524","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","263","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0652501&Type=GWDB"
"TWDB","0655615","Texas Water Development Board","TWDB:0655615","35.179722","-101.126111","NAD83","Interpolated From Topo Map","+/- 1 Second","3297","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","448","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0655615&Type=GWDB"
"TWDB","1112701","Texas Water Development Board","Wayside Quad","34.778333","-101.616667","NAD83","GPS","+/- 0.5 Seconds","3454","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","190","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2461502&Type=GWDB"
"TWDB","0656404","Texas Water Development Board","TWDB:0656404","35.18","-101.1044444","NAD83","Interpolated From Topo Map","+/- 1 Second","3281","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","520","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0656404&Type=GWDB"
"TWDB","0661601","Texas Water Development Board","TWDB:0661601","35.058056","-101.416112","NAD83","Interpolated From Topo Map","+/- 1 Second","3427","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","212","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0661601&Type=GWDB"
"TWDB","0661802","Texas Water Development Board","TWDB:0661802","35.03","-101.431389","NAD83","Interpolated From Topo Map","+/- 1 Second","3422","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","195","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0661802&Type=GWDB"
"TWDB","0662101","Texas Water Development Board","TWDB:0662101","35.0938889","-101.3633333","NAD83","Interpolated From Topo Map","+/- 1 Second","3387","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","306","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0662101&Type=GWDB"
"TWDB","0662107","Texas Water Development Board","TWDB:0662107","35.096667","-101.351945","NAD83","Interpolated From Topo Map","+/- 1 Second","3382","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","280","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0662107&Type=GWDB"
"TWDB","0662201","Texas Water Development Board","TWDB:0662201","35.09","-101.321389","NAD83","Interpolated From Topo Map","+/- 1 Second","3352","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","270","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0662201&Type=GWDB"
"TWDB","0663601","Texas Water Development Board","TWDB:0663601","35.052778","-101.140556","NAD83","Interpolated From Topo Map","+/- 1 Second","3030","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","130","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0663601&Type=GWDB"
"TWDB","0664701","Texas Water Development Board","TWDB:0664701","35.0336111","-101.1102778","NAD83","Interpolated From Topo Map","+/- 1 Second","2996","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","276","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0664701&Type=GWDB"
"TWDB","1112401","Texas Water Development Board","TWDB:1112401","34.807501","-101.616389","NAD83","Interpolated From Topo Map","+/- 1 Second","3452","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","170","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","011","Armstrong County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1112401&Type=GWDB"
