"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","WlWellPurposeNotes","Link"
"CODWR","1173","Colorado Division of Water Resources","SHP-53","37.210442","-102.122234","NAD83","GPS","10 m","3760.73","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","408","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","Currently not in use, no lock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1173"
"CODWR","1176","Colorado Division of Water Resources","SHP-56","37.265878","-102.410194","NAD83","GPS","10 m","4128.7","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","220","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Cannot determine if still in use","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1176"
"CODWR","1178","Colorado Division of Water Resources","SHP-58","37.260349","-102.441051","NAD83","GPS","10 m","4184.83","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","140","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Currently in use","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1178"
"CODWR","1219","Colorado Division of Water Resources","SHP-59","37.23629","-102.538853","NAD83","GPS","10 m","4343.32","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","220","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Currently in use","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1219"
"CODWR","1133","Colorado Division of Water Resources","SHP-08","37.585433","-102.27581","NAD83","GPS","10 m","3951","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","210","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","Pump, but no power. Pump is not connected. No Lock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1133"
"CODWR","1158","Colorado Division of Water Resources","SHP-37","37.355124","-102.059076","NAD83","GPS","10 m","3690.48","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","140","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","No pump, not in use","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1158"
"CODWR","1204","Colorado Division of Water Resources","SHP-41","37.358138","-102.295016","NAD83","GPS","10 m","3968.64","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","230","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Currently in use","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1204"
"CODWR","1164","Colorado Division of Water Resources","SHP-45","37.375613","-102.613021","NAD83","User supplied","17 m","4410.11","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","360","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Currently in use","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1164"
"CODWR","1172","Colorado Division of Water Resources","SHP-52","37.269251","-102.199948","NAD83","GPS","10 m","3831.52","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","478","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Currently in use","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1172"
"CODWR","1128","Colorado Division of Water Resources","SHP-04","37.638362","-102.255953","NAD83","GPS","10 m","3919.65","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","610","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","0","No","3","Known Changes","1","Surveillance","2","Other","Currently in use","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1128"
"CODWR","1129","Colorado Division of Water Resources","SHP-05","37.636835","-102.264898","NAD83","GPS","10 m","3949.07","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","272","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","No pump, not in use, no lock","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1129"
"CODWR","1132","Colorado Division of Water Resources","SHP-07","37.593445","-102.26588","NAD83","GPS","10 m","3961.65","1","Feet","NAVD88","USGS NED 10-meter DEM","1 m","242","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","08","Colorado","009","Baca County","Ogallala aquifer","WELL","UNCONFINED","0","No","0","No","CO DWR HydroBase","1","Yes","1","Yes","3","Known Changes","1","Surveillance","2","Other","Currently in use","https://dwr.state.co.us/Tools/GroundWater/WaterLevels/1132"
