AgencyCd,SiteNo,AgencyNm,SiteName,DecLatVa,DecLongVa,HorzDatum,HorzMethod,HorzAcy,AltVa,AltUnits,AltUnitsNm,AltDatumCd,AltMethod,AltAcy,WellDepthUnits,WellDepthUnitsNm,NatAquiferCd,NatAqfrDesc,CountryCd,CountryNm,StateCd,StateNm,CountyCd,CountyNm,LocalAquiferName,SiteType,AquiferType,QwSnFlag,QwSnDesc,QwBaselineFlag,QwBaselineDesc,WlSysName,WlSnFlag,WlSnDesc,WlBaselineFlag,WlBaselineDesc,WlWellChars,WlWellCharsDesc,WlWellType,WlWellTypeDesc,WlWellPurpose,WlWellPurposeDesc,Link,Column1
TWDB,2401104,Texas Water Development Board,2401104,33.960278,-102.992778,NAD83,Interpolated From Topo Map,+/- 1 Second,4045,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2401104&Type=GWDB
TWDB,1049104,Texas Water Development Board,Birdwell Ranch Quad,34.230555,-102.981389,NAD83,GPS,+/- 0.5 Seconds,3947,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,202,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2461502&Type=GWDB
TWDB,1042905,Texas Water Development Board,TWDB:1042905,34.279167,-102.777778,NAD83,Interpolated From Topo Map,+/- 1 Second,3857,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,246,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1042905&Type=GWDB
TWDB,1043905,Texas Water Development Board,TWDB:1043905,34.277778,-102.648889,NAD83,Interpolated From Topo Map,+/- 1 Second,3786,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,190,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1043905&Type=GWDB
TWDB,1050901,Texas Water Development Board,TWDB:1050901,34.154445,-102.755556,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3872,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,180,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1050901&Type=GWDB
TWDB,2516305,Texas Water Development Board,2516305,33.845556,-103.007223,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3921,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2516305&Type=GWDB
TWDB,2403602,Texas Water Development Board,2403602,33.934445,-102.663056,NAD83,Interpolated From Topo Map,+/- 1 Second,3805,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2403602&Type=GWDB
TWDB,2403201,Texas Water Development Board,2403201,33.9725,-102.67,NAD83,Interpolated From Topo Map,+/- 1 Second,3792,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation(Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2403201&Type=GWDB
TWDB,2508604,Texas Water Development Board,2508604,33.921667,-103.010556,NAD83,Interpolated From Topo Map,+/- 1 Second,4002,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2508604&Type=GWDB
TWDB,1052410,Texas Water Development Board,TWDB:1052410,34.17,-102.621389,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3785,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,237,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1052410&Type=GWDB
