"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","1137914","Texas Water Development Board","TWDB:1137914","34.39","-101.4111111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3313","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","232","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1137914&Type=GWDB"
"TWDB","1129601","Texas Water Development Board","TWDB:1129601","34.57","-101.4154056","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3285","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","110","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1129601&Type=GWDB"
"TWDB","1131402","Texas Water Development Board","TWDB:1131402","34.55","-101.2422722","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3275","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","200","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1131402&Type=GWDB"
"TWDB","1131801","Texas Water Development Board","TWDB:1131801","34.51","-101.1788889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3225","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","200","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1131801&Type=GWDB"
"TWDB","1137501","Texas Water Development Board","TWDB:1137501","34.46","-101.4527778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3314","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","190","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1137501&Type=GWDB"
"TWDB","1137701","Texas Water Development Board","TWDB:1137701","34.39","-101.4609667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3321","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","218","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1137701&Type=GWDB"
"TWDB","1138109","Texas Water Development Board","TWDB:1138109","34.48","-101.34","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds -GPS","3296","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","205","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1138109&Type=GWDB"
"TWDB","1145314","Texas Water Development Board","TWDB:1145314","34.36","-101.3865472","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3297","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","230","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1145314&Type=GWDB"
"TWDB","1138402","Texas Water Development Board","TWDB:1138402","34.42","-101.3497222","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3289","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","212","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1138402&Type=GWDB"
"TWDB","1138921","Texas Water Development Board","TWDB:1138921","34.38","-101.2833333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3242","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","148","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","045","Briscoe County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1138921&Type=GWDB"
