"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","0628601","Texas Water Development Board","TWDB:0628601","35.570555","-101.5325","NAD83","Interpolated From Topo Map","+/- 1 Second","3185","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","164","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0628601&Type=GWDB"
"TWDB","0636819","Texas Water Development Board","TWDB:0636819","35.407223","-101.545278","NAD83","Interpolated From Topo Map","+/- 1 Second","3530","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","845","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0636819&Type=GWDB"
"TWDB","0638701","Texas Water Development Board","TWDB:0638701","35.411667","-101.364167","NAD83","Interpolated From Topo Map","+/- 1 Second","3460","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","554","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0638701&Type=GWDB"
"TWDB","0638811","Texas Water Development Board","TWDB:0638811","35.383889","-101.310834","NAD83","Interpolated From Topo Map","+/- 1 Second","3438","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","760","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0638811&Type=GWDB"
"TWDB","0646302","Texas Water Development Board","TWDB:0646302","35.348889","-101.256112","NAD83","Interpolated From Topo Map","+/- 1 Second","3386","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","511","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0646302&Type=GWDB"
"TWDB","0636808","Texas Water Development Board","TWDB:0636808","35.38","-101.550278","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3527","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","759","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0636808&Type=GWDB"
"TWDB","0636913","Texas Water Development Board","TWDB:0636913","35.39","-101.541389","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3516","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","766","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0636913&Type=GWDB"
"TWDB","0636602","Texas Water Development Board","TWDB:0636602","35.43","-101.5302778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3545","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","767","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0636602&Type=GWDB"
"TWDB","0636919","Texas Water Development Board","TWDB:0636919","35.39","-101.519722","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3517","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","755","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0636919&Type=GWDB"
"TWDB","0636921","Texas Water Development Board","TWDB:0636921","35.41","-101.519444","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3534","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","812","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","065","Carson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0636921&Type=GWDB"
