"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","1024401","Texas Water Development Board","1024401","34.69","-102.099167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3786.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","221","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1024401&Type=GWDB"
"TWDB","1021803","Texas Water Development Board","1021803","34.65","-102.447222","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3902.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","254","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1021803&Type=GWDB"
"TWDB","1048302","Texas Water Development Board","Hilburn Quad","34.352501","-102.038334","NAD83","GPS","+/- 0.5 Seconds","3601","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","361","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2461502&Type=GWDB"
"TWDB","1030403","Texas Water Development Board","TWDB:1030403","34.55","-102.364723","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3915","1","Feet","NAVD88","Global Positioning System-GPS","10m","416","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1030403&Type=GWDB"
"TWDB","1038401","Texas Water Development Board","1038401","34.421389","-102.366112","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3792","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1038401&Type=GWDB"
"TWDB","1030505","Texas Water Development Board","TWDB:1030505","34.57","-102.314167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3882","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","405","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1030505&Type=GWDB"
"TWDB","1030701","Texas Water Development Board","TWDB:1030701","34.51","-102.358334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3856","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","381","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1030701&Type=GWDB"
"TWDB","1030802","Texas Water Development Board","TWDB:1030802","34.5","-102.303056","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3810","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","376","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","1","Yes","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1030802&Type=GWDB"
"TWDB","1040502","Texas Water Development Board","TWDB:1040502","34.45","-102.0708333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3703","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","388","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1040502&Type=GWDB"
"TWDB","1040503","Texas Water Development Board","TWDB:1040503","34.43","-102.043334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3671","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","370","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","069","Castro County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1040503&Type=GWDB"
