"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","2433802","Texas Water Development Board","TWDB:2433802","33.4","-102.939445","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3813","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","223","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2433802&Type=GWDB"
"TWDB","2524601","Texas Water Development Board","Bledsoe NE Quad","33.707223","-103.0225","NAD83","GPS","+/- 0.5 Seconds","3955","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","210","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2524601&Type=GWDB"
"TWDB","2411805","Texas Water Development Board","2411805","33.790556","-102.703612","NAD83","Interpolated From Topo Map","+/- 1 Second","3741","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","181","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2411805&Type=GWDB"
"TWDB","2418401","Texas Water Development Board","2418401","33.688611","-102.864723","NAD83","Interpolated From Topo Map","+/- 1 Second","3822","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","194","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2418401&Type=GWDB"
"TWDB","2418312","Texas Water Development Board","2418312","33.72","-102.774444","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3783","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2418312&Type=GWDB"
"TWDB","2433101","Texas Water Development Board","2433101","33.485","-102.973055","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3871","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","0","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2433101&Type=GWDB"
"TWDB","2434401","Texas Water Development Board","2434401","33.457778","-102.853056","NAD83","Interpolated From Topo Map","+/- 1 Second","3802","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2434401&Type=GWDB"
"TWDB","2433703","Texas Water Development Board","2433703","33.411389","-102.995278","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3847","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2433703&Type=GWDB"
"TWDB","2427801","Texas Water Development Board","2427801","33.539722","-102.673611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3695","1","Feet","NAVD88","Digital Elevation Model -DEM","3M","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2427801&Type=GWDB"
"TWDB","2426702","Texas Water Development Board","2426702","33.511945","-102.868611","NAD83","Interpolated From Topo Map","+/- 1 Second","3798","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","079","Cochran County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2426702&Type=GWDB"
