"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","0251702","Texas Water Development Board","0251702","36.139722","-102.741389","NAD83","Interpolated From Topo Map","+/- 1 Second","4191","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","524","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0251702&Type=GWDB"
"TWDB","0252301","Texas Water Development Board","0252301","36.231111","-102.512223","NAD83","Interpolated From Topo Map","+/- 1 Second","4064","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","471","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0252301&Type=GWDB"
"TWDB","0252801","Texas Water Development Board","0252801","36.156389","-102.582222","NAD83","Interpolated From Topo Map","+/- 1 Second","4081","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","484","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0252801&Type=GWDB"
"TWDB","0253201","Texas Water Development Board","0253201","36.219722","-102.447778","NAD83","Interpolated From Topo Map","+/- 1 Second","4032","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","515","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0253201&Type=GWDB"
"TWDB","0258102","Texas Water Development Board","0258102","36.086389","-102.860278","NAD83","Interpolated From Topo Map","+/- 1 Second","4275","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","430","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0258102&Type=GWDB"
"TWDB","0260201","Texas Water Development Board","0260201","36.101945","-102.581111","NAD83","Interpolated From Topo Map","+/- 1 Second","4050","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","500","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0260201&Type=GWDB"
"TWDB","0263201","Texas Water Development Board","0263201","36.088611","-102.191111","NAD83","Interpolated From Topo Map","+/- 1 Second","3802","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","500","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0263201&Type=GWDB"
"TWDB","0148902","Texas Water Development Board","Winrock Farms  #48","36.251389","-103.004167","NAD83","GPS","+/- 1 Second","4531","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","235","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0148902&Type=GWDB"
"TWDB","0164301","Texas Water Development Board","Lotta Water Land Co.","36.119722","-103.001112","NAD83","GPS","+/- 1 Second","4439","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","298","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0164301&Type=GWDB"
"TWDB","0235803","Texas Water Development Board","North Plains GCD GL-7","36.388889","-102.700001","NAD83","GPS","+/- 0.5 Seconds","4336","1","Feet","NAVD88","Digital Elevation Model -DEM","Unknown","600","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","111","Dallam County","Ogallala Formation","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","3","Known Changes","1","Surveillance","1","Dedicated Monitoring/Observation","http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0235803&Type=GWDB"
