"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","2817705","Texas Water Development Board","TWDB:2817705","32.6333333","-101.9608333","NAD83","Interpolated from Highway or large-scale maps or with only fair locationsketches","+/- 5 Seconds","2923","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","160","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2817705&Type=GWDB"
"TWDB","2809301","Texas Water Development Board","2809301","32.8480556","-101.895","NAD83","Interpolated From Topo Map","+/- 1 Second","3000","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","52","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2809301&Type=GWDB"
"TWDB","2817307","Texas Water Development Board","2817307","32.7488889","-101.9102778","NAD83","Interpolated From Topo Map","+/- 1 Second","2983","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","150","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2817307&Type=GWDB"
"TWDB","2826206","Texas Water Development Board","2826206","32.5908333","-101.8297222","NAD83","Interpolated From Topo Map","+/- 1 Second","2872","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","170","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2826206&Type=GWDB"
"TWDB","2732502","Texas Water Development Board","2732502","32.5619","-102.0673","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2920","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2732502&Type=GWDB"
"TWDB","2801702","Texas Water Development Board","2801702","32.8958333","-101.9938889","NAD83","Interpolated From Topo Map","+/- 1 Second","3058","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2801702&Type=GWDB"
"TWDB","2716605","Texas Water Development Board","2716605","32.8258333","-102.0277778","NAD83","Interpolated From Topo Map","+/- 1 Second","3046","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2716605&Type=GWDB"
"TWDB","2708405","Texas Water Development Board","TWDB:2708405","32.93","-102.1177778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3120","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","145","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2708405&Type=GWDB"
"TWDB","2708503","Texas Water Development Board","TWDB:2708503","32.94","-102.06","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds -GPS","3090","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","100","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2708503&Type=GWDB"
"TWDB","2732202","Texas Water Development Board","TWDB:2732202","32.6236111","-102.0711111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2975","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","102","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2732202&Type=GWDB"
"TWDB","2801801","Texas Water Development Board","TWDB:2801801","32.9005556","-101.9294444","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3041","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","80","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2801801&Type=GWDB"
"TWDB","2809907","Texas Water Development Board","TWDB:2809907","32.7841667","-101.8758333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2985","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","196","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2809907&Type=GWDB"
"TWDB","2810706","Texas Water Development Board","TWDB:2810706","32.7847222","-101.8488889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2957","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","200","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2810706&Type=GWDB"
"TWDB","2817120","Texas Water Development Board","TWDB:2817120","32.7230556","-101.9891667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2979","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","150","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2817120&Type=GWDB"
"TWDB","2724704","Texas Water Development Board","2724704","32.6280556","-102.0880556","NAD83","Interpolated From Topo Map","+/- 1 Second","2978","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2724704&Type=GWDB"
"TWDB","2716611","Texas Water Development Board","TWDB:2716611","32.83","-102.0263889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3045","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","187","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2716611&Type=GWDB"
"TWDB","2825506","Texas Water Development Board","TWDB:2825506","32.5472222","-101.9352778","NAD83","Interpolated from Highway or large-scale maps or with only fair locationsketches","+/- 5 Seconds","2860","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","253","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2825506&Type=GWDB"
"TWDB","2716803","Texas Water Development Board","TWDB:2716803","32.79","-102.0463889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3015","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","200","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2716803&Type=GWDB"
"TWDB","2724703","Texas Water Development Board","2724703","32.6655556","-102.095","NAD83","Interpolated From Topo Map","+/- 1 Second","2962","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2724703&Type=GWDB"
"TWDB","2817121","Texas Water Development Board","TWDB:2817121","32.7288889","-101.9672222","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2950","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","145","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2817121&Type=GWDB"
"TWDB","2817306","Texas Water Development Board","TWDB:2817306","32.7177778","-101.9125","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2965","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","188","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2817306&Type=GWDB"
"TWDB","2817506","Texas Water Development Board","TWDB:2817506","32.6872222","-101.9419444","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2966","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","174","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2817506&Type=GWDB"
"TWDB","2818205","Texas Water Development Board","TWDB:2818205","32.7208333","-101.8330556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2940","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","155","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2818205&Type=GWDB"
"TWDB","2826403","Texas Water Development Board","TWDB:2826403","32.5827778","-101.8458333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2866","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","142","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2826403&Type=GWDB"
"TWDB","2827201","Texas Water Development Board","TWDB:2827201","32.6141667","-101.7008333","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2830","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","150","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2827201&Type=GWDB"
"TWDB","2732703","Texas Water Development Board","2732703","32.5411111","-102.1172222","NAD83","Interpolated From Topo Map","+/- 1 Second","2910","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2732703&Type=GWDB"
"TWDB","2817702","Texas Water Development Board","2817702","32.6673","-101.9668","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2931","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2817702&Type=GWDB"
"TWDB","2810705","Texas Water Development Board","2810705","32.7733333","-101.8663889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2983","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2810705&Type=GWDB"
"TWDB","2809414","Texas Water Development Board","2809414","32.8116667","-101.9630556","NAD83","Interpolated From Topo Map","+/- 1 Second","3027","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2809414&Type=GWDB"
"TWDB","2803402","Texas Water Development Board","2803402","32.951","-101.7184","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2990","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2803402&Type=GWDB"
"TWDB","2801504","Texas Water Development Board","2801504","32.9563889","-101.9475","NAD83","Interpolated From Topo Map","+/- 1 Second","3050","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2801504&Type=GWDB"
"TWDB","2827101","Texas Water Development Board","2827101","32.585","-101.7438889","NAD83","Interpolated From Topo Map","+/- 1 Second","2840","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2827101&Type=GWDB"
"TWDB","2707901","Texas Water Development Board","2707901","32.9158333","-102.1558333","NAD83","Interpolated From Topo Map","+/- 1 Second","3109","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","148","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2707901&Type=GWDB"
"TWDB","2707801","Texas Water Development Board","2707801","32.9122222","-102.1944444","NAD83","Interpolated From Topo Map","+/- 1 Second","3133","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","150","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2707801&Type=GWDB"
"TWDB","2724904","Texas Water Development Board","2724904","32.6461111","-102.0377778","NAD83","Interpolated From Topo Map","+/- 1 Second","2970","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","160","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2724904&Type=GWDB"
"TWDB","2724202","Texas Water Development Board","2724202","32.7311111","-102.0702778","NAD83","Interpolated From Topo Map","+/- 1 Second","3008","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","117","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2724202&Type=GWDB"
"TWDB","2809602","Texas Water Development Board","2809602","32.8033333","-101.9152778","NAD83","Interpolated From Topo Map","+/- 1 Second","3014","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","210","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2809602&Type=GWDB"
"TWDB","2802901","Texas Water Development Board","2802901","32.9044444","-101.7652778","NAD83","Interpolated From Topo Map","+/- 1 Second","2989","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","60","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","115","Dawson County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2802901&Type=GWDB"
