"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","1013305","Texas Water Development Board","1013305","34.87","-102.404445","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3834.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","291","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1013305&Type=GWDB"
"TWDB","1014704","Texas Water Development Board","1014704","34.78","-102.334167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3841.00","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","204","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1014704&Type=GWDB"
"TWDB","0753701","Texas Water Development Board","TWDB:0753701","35.16","-102.488611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4051","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","335","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0753701&Type=GWDB"
"TWDB","0762301","Texas Water Development Board","TWDB:0762301","35.1","-102.273889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3895","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","230","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","1","Yes","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0762301&Type=GWDB"
"TWDB","1003902","Texas Water Development Board","TWDB:1003902","34.91","-102.633055","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4077","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","330","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1003902&Type=GWDB"
"TWDB","1009801","Texas Water Development Board","TWDB:1009801","34.77","-102.919722","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4208","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","68","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1009801&Type=GWDB"
"TWDB","1013104","Texas Water Development Board","TWDB:1013104","34.87","-102.477778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3901","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","360","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1013104&Type=GWDB"
"TWDB","1013910","Texas Water Development Board","TWDB:1013910","34.76","-102.388334","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3851","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","360","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1013910&Type=GWDB"
"TWDB","1014706","Texas Water Development Board","TWDB:1014706","34.77","-102.361945","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3851","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","269","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1014706&Type=GWDB"
"TWDB","0752616","Texas Water Development Board","TWDB:0752616","35.17","-102.5361111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4097","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","337","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","117","Deaf Smith County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0752616&Type=GWDB"
