"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","1211212","Texas Water Development Board","TWDB:1211212","34.868611","-100.700834","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","2640","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","123","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1211212&Type=GWDB"
"TWDB","0550903","Texas Water Development Board","0550903","35.14","-100.754445","NAD83","Interpolated From Topo Map","+/- 1 Second","2893","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","265","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0550903&Type=GWDB"
"TWDB","1201306","Texas Water Development Board","TWDB:1201306","34.962223","-100.888334","NAD83","Interpolated From Topo Map","+/- 1 Second","2715","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","152","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1201306&Type=GWDB"
"TWDB","1202907","Texas Water Development Board","TWDB:1202907","34.89","-100.755556","NAD83","Interpolated From Topo Map","+/- 1 Second","2560","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","116","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1202907&Type=GWDB"
"TWDB","1211404","Texas Water Development Board","TWDB:1211404","34.829722","-100.7325","NAD83","Interpolated From Topo Map","+/- 1 Second","2742","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","210","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1211404&Type=GWDB"
"TWDB","1203911","Texas Water Development Board","1203911","34.907223","-100.629444","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2508","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1203911&Type=GWDB"
"TWDB","1202621","Texas Water Development Board","1202621","34.921667","-100.768055","NAD83","Interpolated From Topo Map","+/- 1 Second","2634","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1202621&Type=GWDB"
"TWDB","1211207","Texas Water Development Board","1211207","34.87","-100.705278","NAD83","Interpolated From Topo Map","+/- 1 Second","2675","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","195","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1211207&Type=GWDB"
"TWDB","0557101","Texas Water Development Board","TWDB:0557101","35.11","-100.983055","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3079","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","250","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0557101&Type=GWDB"
"TWDB","0558101","Texas Water Development Board","TWDB:0558101","35.12","-100.858889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2874","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","148","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0558101&Type=GWDB"
"TWDB","1201655","Texas Water Development Board","TWDB:1201655","34.93","-100.888611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2745","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","111","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1201655&Type=GWDB"
"TWDB","1203602","Texas Water Development Board","TWDB:1203602","34.94","-100.630833","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2519","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","211","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1203602&Type=GWDB"
"TWDB","1210513","Texas Water Development Board","1210513","34.8211111","-100.8286111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","2755","1","Feet","NAVD88","Digital Elevation Model -DEM","3M","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","129","Donley County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1210513&Type=GWDB"
