"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","2313303","Texas Water Development Board","TWDB:2313303","33.836389","-101.3875","NAD83","Interpolated From Topo Map","+/- 1 Second","3143","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","340","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2313303&Type=GWDB"
"TWDB","1163401","Texas Water Development Board","1163401","34.055278","-101.220833","NAD83","Interpolated From Topo Map","+/- 1 Second","3138","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","","0","No","0","No","","","","","","","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1163401&Type=GWDB"
"TWDB","1146701","Texas Water Development Board","TWDB:1146701","34.29","-101.364723","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3265","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","270","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1146701&Type=GWDB"
"TWDB","1152611","Texas Water Development Board","TWDB:1152611","34.2","-101.52","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3313","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","344","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1152611&Type=GWDB"
"TWDB","1153707","Texas Water Development Board","TWDB:1153707","34.13","-101.4875","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3291","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","408","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1153707&Type=GWDB"
"TWDB","1160605","Texas Water Development Board","TWDB:1160605","34.05","-101.525833","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3265","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","414","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1160605&Type=GWDB"
"TWDB","2304506","Texas Water Development Board","TWDB:2304506","33.94","-101.560278","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3255","1","Feet","NAVD88","Global Positioning System-GPS","10m","379","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2304506&Type=GWDB"
"TWDB","2306504","Texas Water Development Board","TWDB:2306504","33.92","-101.306112","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3144","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","397","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2306504&Type=GWDB"
"TWDB","2307505","Texas Water Development Board","TWDB:2307505","33.93","-101.185","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3106","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","367","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2307505&Type=GWDB"
"TWDB","2307203","Texas Water Development Board","TWDB:2307203","33.96","-101.189722","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3121","1","Feet","NAVD88","Digital Elevation Model -DEM","3m","382","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","153","Floyd County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2307203&Type=GWDB"
