"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","1159405","Texas Water Development Board","1159405","34.042778","-101.748611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3339","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1159405&Type=GWDB"
"TWDB","2302411","Texas Water Development Board","2302411","33.931389","-101.853056","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3397","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2302411&Type=GWDB"
"TWDB","1152410","Texas Water Development Board","TWDB:1152410","34.19","-101.5875","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3324","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1152410&Type=GWDB"
"TWDB","2309106","Texas Water Development Board","TWDB:2309106","33.86","-101.961112","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3370","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2309106&Type=GWDB"
"TWDB","2416311","Texas Water Development Board","TWDB:2416311","33.84","-102.001667","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3411","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2416311&Type=GWDB"
"TWDB","1064602","Texas Water Development Board","1064602","34.061667","-102.040834","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3498","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1064602&Type=GWDB"
"TWDB","1159110","Texas Water Development Board","1159110","34.097778","-101.748611","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3387","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1159110&Type=GWDB"
"TWDB","1158706","Texas Water Development Board","1158706","34.032222","-101.870555","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3435","1","Feet","NAVD88","Digital Elevation Model -DEM","3M","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1158706&Type=GWDB"
"TWDB","1158510","Texas Water Development Board","1158510","34.050278","-101.810556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3406","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1158510&Type=GWDB"
"TWDB","1151604","Texas Water Development Board","1151604","34.198334","-101.635556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3353","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1151604&Type=GWDB"
"TWDB","1151303","Texas Water Development Board","1151303","34.249722","-101.659167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3368","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1151303&Type=GWDB"
"TWDB","1150906","Texas Water Development Board","1150906","34.156667","-101.781111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3422","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1150906&Type=GWDB"
"TWDB","1150703","Texas Water Development Board","1150703","34.151667","-101.852778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3462","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1150703&Type=GWDB"
"TWDB","2408205","Texas Water Development Board","2408205","33.999167","-102.052223","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3492","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2408205&Type=GWDB"
"TWDB","1160803","Texas Water Development Board","1160803","34.016944","-101.582222","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3274","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1160803&Type=GWDB"
"TWDB","2303513","Texas Water Development Board","2303513","33.948889","-101.684167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3313","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (Ogallala)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","2","Other","https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2303513&Type=GWDB"
"TWDB","1056203","Texas Water Development Board","TWDB:1056203","34.23","-102.049167","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3576","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1056203&Type=GWDB"
"TWDB","1142704","Texas Water Development Board","TWDB:1142704","34.27","-101.865556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3481","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1142704&Type=GWDB"
"TWDB","1144714","Texas Water Development Board","TWDB:1144714","34.26","-101.608612","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3347","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1144714&Type=GWDB"
"TWDB","1149101","Texas Water Development Board","TWDB:1149101","34.24","-101.987778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3562","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1149101&Type=GWDB"
"TWDB","1149404","Texas Water Development Board","TWDB:1149404","34.2","-101.991111","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3550","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1149404&Type=GWDB"
"TWDB","1149801","Texas Water Development Board","TWDB:1149801","34.16","-101.952501","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3507","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1149801&Type=GWDB"
"TWDB","1150203","Texas Water Development Board","TWDB:1150203","34.25","-101.795278","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3437","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1150203&Type=GWDB"
"TWDB","1150204","Texas Water Development Board","TWDB:1150204","34.22","-101.828889","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3442","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1150204&Type=GWDB"
"TWDB","1150605","Texas Water Development Board","TWDB:1150605","34.18","-101.767778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3397","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1150605&Type=GWDB"
"TWDB","1151102","Texas Water Development Board","TWDB:1151102","34.24","-101.737778","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3399","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1151102&Type=GWDB"
"TWDB","1151104","Texas Water Development Board","TWDB:1151104","34.22","-101.7425","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3403","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1151104&Type=GWDB"
"TWDB","1151703","Texas Water Development Board","TWDB:1151703","34.14","-101.739722","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3382","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1151703&Type=GWDB"
"TWDB","1064803","Texas Water Development Board","TWDB:1064803","34.04","-102.069444","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3512","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1064803&Type=GWDB"
"TWDB","1157901","Texas Water Development Board","TWDB:1157901","34.03","-101.905556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3438","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1157901&Type=GWDB"
"TWDB","1158801","Texas Water Development Board","TWDB:1158801","34.03","-101.817222","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3394","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1158801&Type=GWDB"
"TWDB","2301802","Texas Water Development Board","TWDB:2301802","33.92","-101.940556","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3423","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2301802&Type=GWDB"
"TWDB","2302104","Texas Water Development Board","TWDB:2302104","33.98","-101.853056","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3416","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2302104&Type=GWDB"
"TWDB","2302302","Texas Water Development Board","TWDB:2302302","33.96","-101.780278","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","3342","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","189","Hale County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","0","No","0","No","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2302302&Type=GWDB"
