"AgencyCd","SiteNo","AgencyNm","SiteName","DecLatVa","DecLongVa","HorzDatum","HorzMethod","HorzAcy","AltVa","AltUnits","AltUnitsNm","AltDatumCd","AltMethod","AltAcy","WellDepth","WellDepthUnits","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","CountryCd","CountryNm","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferName","SiteType","AquiferType","QwSysName","QwSnFlag","QwSnDesc","QwBaselineFlag","QwBaselineDesc","QwWellChars","QwWellCharsDesc","QwWellType","QwWellTypeDesc","QwWellPurpose","QwWellPurposeDesc","WlSysName","WlSnFlag","WlSnDesc","WlBaselineFlag","WlBaselineDesc","WlWellChars","WlWellCharsDesc","WlWellType","WlWellTypeDesc","WlWellPurpose","WlWellPurposeDesc","Link"
"TWDB","0706202","Texas Water Development Board","TWDB:0706202","35.966667","-102.317778","NAD83","Interpolated From Topo Map","+/- 1 Second","3913","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","605","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0706202&Type=GWDB"
"TWDB","0717304","Texas Water Development Board","TWDB:0717304","35.72","-102.876389","NAD83","Global Positioning System - GPS","+/- 0.5 Seconds - GPS","4025","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","311","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0717304&Type=GWDB"
"TWDB","0263702","Texas Water Development Board","0263702","36.035556","-102.214723","NAD83","Interpolated From Topo Map","+/- 1 Second","3818","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","534","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0263702&Type=GWDB"
"TWDB","0262401","Texas Water Development Board","0262401","36.055278","-102.360278","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","3942","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","504","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0262401&Type=GWDB"
"TWDB","0713601","Texas Water Development Board","TWDB:0713601","35.825","-102.416389","NAD83","Interpolated from Highway or large-scale maps or with only fair location sketches","+/- 5 Seconds","3862","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","485","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0713601&Type=GWDB"
"TWDB","0261703","Texas Water Development Board","0261703","36.022222","-102.474722","NAD83","Interpolated From Topo Map","+/- 1 Second","3963","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","519","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","1","Yes","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0261703&Type=GWDB"
"TWDB","0262501","Texas Water Development Board","0262501","36.053612","-102.318611","NAD83","Interpolated From Topo Map","+/- 1 Second","3916","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","462","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0262501&Type=GWDB"
"TWDB","0705502","Texas Water Development Board","TWDB:0705502","35.946111","-102.433055","NAD83","Interpolated From Topo Map","+/- 1 Second","3920","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","553","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0705502&Type=GWDB"
"TWDB","0706504","Texas Water Development Board","TWDB:0706504","35.920833","-102.301112","NAD83","Interpolated From Topo Map","+/- 1 Second","3895","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","660","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0706504&Type=GWDB"
"TWDB","0707201","Texas Water Development Board","TWDB:0707201","35.968055","-102.176111","NAD83","Interpolated From Topo Map","+/- 1 Second","3821","1","Feet","NAVD88","Interpolated From Topo Map","Unknown","468","1","Feet","N100HGHPLN","High Plains aquifer","US","United States of America","48","Texas","205","Hartley County","Ogallala Formation (121OGLL)","WELL","UNCONFINED","TWDB GWB","0","No","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","TWDB GWDB","1","Yes","0","No","1","Background","1","Surveillance","1","Dedicated Monitoring/Observation","https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0707201&Type=GWDB"
